team,Actual Points,CurrentProj,CurrentDiff,CurrentFinal,OriginalFinal
ANA,1,3.1,+2.1,89.67,89.67
ARI,2,0.85,-1.15,84.76,84.76
BOS,2,2.62,+0.62,92.53,92.53
BUF,2,2.32,+0.32,79.91,79.91
CGY,1,3.56,+2.56,83.8,83.8
CAR,2,0.86,-1.14,75.65,75.65
CHI,2,3.16,+1.16,94.76,94.76
COL,2,1.04,-0.96,89.34,89.34
CBJ,0,1.71,+1.71,79.49,79.49
DAL,2,2.18,+0.18,96.31,96.31
DET,0,2.06,+2.06,87.23,87.23
EDM,4,2.75,-1.25,79.11,79.11
FLA,4,2.11,-1.89,88.36,88.36
LAK,0,1.97,+1.97,88.2,88.2
MIN,2,1.94,-0.06,86.89,86.89
MTL,3,2.3,-0.7,84.81,84.81
NSH,2,2.04,+0.04,88.13,88.13
NJD,1,1.9,+0.9,81.39,81.39
NYI,2,2.97,+0.97,87.43,87.43
NYR,2,2.23,+0.23,93.33,93.33
OTT,4,1.97,-2.03,90.32,90.32
PHI,3,2.54,-0.46,88.47,88.47
PIT,4,2.36,-1.64,95.52,95.52
SJS,4,2.36,-1.64,94.06,94.06
STL,6,3.44,-2.56,91.82,91.82
TBL,4,2.5,-1.5,93.24,93.24
TOR,3,1.89,-1.11,82.38,82.38
VAN,4,1,-3,75,75
WSH,3,1.91,-1.09,89.68,89.68
WPG,2,2.28,+0.28,83.64,83.64
