title,year,metacritic_score,metacritic_rank,oscars_nom,oscars_win,min_oscar_nom_metacritic_score,min_oscar_nom_rank,oscar_win_metacritic_score,oscar_win_rank,tie_rank
Film Socialisme,2011,64,226,0,0,46.0,409.0,89.0,5.0,16
Filmworker,2018,73,158,0,0,49.0,490.0,69.0,224.0,3
Final Account,2021,76,131,0,0,49.0,437.0,72.0,171.0,18
Final Destination 5,2011,50,368,0,0,46.0,409.0,89.0,5.0,7
Final Portrait,2018,70,203,0,0,49.0,490.0,69.0,224.0,2
Final Score,2018,53,449,0,0,49.0,490.0,69.0,224.0,12
Finch,2021,57,362,0,0,49.0,437.0,72.0,171.0,11
Finders Keepers,2015,80,75,0,0,76.0,119.0,93.0,6.0,10
Finding 'Ohana,2021,69,222,0,0,49.0,437.0,72.0,171.0,10
Finding Dory,2016,77,87,0,0,69.0,220.0,99.0,1.0,5
Finding Forrester,2000,62,137,0,0,64.0,126.0,67.0,110.0,7
Finding Joe,2011,45,418,0,0,46.0,409.0,89.0,5.0,5
Finding Nemo,2003,90,6,0,0,72.0,73.0,94.0,1.0,2
Finding Neverland,2004,67,131,1,0,67.0,131.0,86.0,11.0,4
Finding Vivian Maier,2014,75,113,0,0,71.0,166.0,87.0,16.0,11
Finding Your Feet,2018,53,448,0,0,49.0,490.0,69.0,224.0,11
Fire Island,2022,72,173,0,0,63.0,296.0,81.0,51.0,1
Fire Will Come,2020,73,153,0,0,72.0,170.0,88.0,12.0,15
Fire at Sea,2016,87,19,0,0,69.0,220.0,99.0,1.0,2
Fire of Love,2022,84,25,0,0,63.0,296.0,81.0,51.0,2
Fireball: Visitors from Darker Worlds,2020,72,166,0,0,72.0,170.0,88.0,12.0,10
Firecrackers,2019,80,77,0,0,58.0,353.0,96.0,1.0,12
Fireworks Wednesday (2006),2016,84,29,0,0,69.0,220.0,99.0,1.0,1
First Cow,2020,90,6,0,0,72.0,170.0,88.0,12.0,1
First Date,2021,52,418,0,0,49.0,437.0,72.0,171.0,10
First Love,2019,77,113,0,0,58.0,353.0,96.0,1.0,8
First Man,2018,84,46,0,0,49.0,490.0,69.0,224.0,6
First Match,2018,68,239,0,0,49.0,490.0,69.0,224.0,2
First Position,2012,72,114,0,0,63.0,234.0,86.0,12.0,12
First Reformed,2018,86,36,0,0,49.0,490.0,69.0,224.0,2
Fish Tank,2010,81,32,0,0,74.0,75.0,88.0,8.0,5
Five Fingers For Marseilles,2018,73,162,0,0,49.0,490.0,69.0,224.0,7
Five Minutes of Heaven,2009,62,179,0,0,53.0,242.0,95.0,1.0,6
Flag Day,2021,53,401,0,0,49.0,437.0,72.0,171.0,6
Flags of Our Fathers,2006,79,38,0,0,69.0,126.0,85.0,15.0,3
Flame and Citron,2009,74,77,0,0,53.0,242.0,95.0,1.0,3
"Flamenco, Flamenco",2014,82,44,0,0,71.0,166.0,87.0,16.0,3
Flawless,2008,57,207,0,0,58.0,199.0,84.0,10.0,2
Flee,2021,91,8,0,0,49.0,437.0,72.0,171.0,2
Flight,2012,76,70,0,0,63.0,234.0,86.0,12.0,4
Flight of the Red Balloon,2008,86,6,0,0,58.0,199.0,84.0,10.0,1
Flora & Ulysses,2021,62,308,0,0,49.0,437.0,72.0,171.0,7
Flora and Son,2023,76,113,0,0,77.0,109.0,89.0,12.0,4
Florence Foster Jenkins,2016,71,198,0,0,69.0,220.0,99.0,1.0,15
Flow,2024,86,19,0,0,70.0,192.0,91.0,10.0,1
Flow: For Love of Water,2008,67,122,0,0,58.0,199.0,84.0,10.0,9
Flushed Away,2006,74,68,0,0,69.0,126.0,85.0,15.0,5
Flux Gourmet,2022,79,72,0,0,63.0,296.0,81.0,51.0,2
Fly Away,2011,66,180,0,0,46.0,409.0,89.0,5.0,5
"Food, Inc.",2009,80,43,0,0,53.0,242.0,95.0,1.0,1
Footloose,2011,58,292,0,0,46.0,409.0,89.0,5.0,6
Footnote,2012,83,23,0,0,63.0,234.0,86.0,12.0,3
For Ahkeem,2017,75,135,0,0,75.0,146.0,87.0,19.0,1
For Sama,2019,89,10,0,0,58.0,353.0,96.0,1.0,2
For Those in Peril,2014,79,72,0,0,71.0,166.0,87.0,16.0,11
For the Love of Spock,2016,74,145,0,0,69.0,220.0,99.0,1.0,19
Forbidden Lie$,2009,85,15,0,0,53.0,242.0,95.0,1.0,3
Force Majeure,2014,87,22,0,0,71.0,166.0,87.0,16.0,7
Ford v Ferrari,2019,81,63,1,0,58.0,353.0,96.0,1.0,12
Forgetting Sarah Marshall,2008,67,114,0,0,58.0,199.0,84.0,10.0,1
Forgiving Dr. Mengele,2006,69,132,0,0,69.0,126.0,85.0,15.0,7
Forks Over Knives,2011,57,310,0,0,46.0,409.0,89.0,5.0,13
Fortune Favors Lady Nikuko,2022,68,230,0,0,63.0,296.0,81.0,51.0,3
Forty Shades of Blue,2005,74,76,0,0,66.0,165.0,66.0,165.0,5
Four Daughters,2023,80,76,0,0,77.0,109.0,89.0,12.0,4
Four Good Days,2021,52,411,0,0,49.0,437.0,72.0,171.0,3
Four Hours at the Capitol,2021,72,178,0,0,49.0,437.0,72.0,171.0,8
Fourteen,2020,79,73,0,0,72.0,170.0,88.0,12.0,7
Foxcatcher,2014,81,50,0,0,71.0,166.0,87.0,16.0,3
Foxtrot,2017,88,14,0,0,75.0,146.0,87.0,19.0,4
Framing Agnes,2022,69,224,0,0,63.0,296.0,81.0,51.0,16
Framing John DeLorean,2019,67,239,0,0,58.0,353.0,96.0,1.0,2
France,2021,57,361,0,0,49.0,437.0,72.0,171.0,10
Frances Ha,2013,82,33,0,0,75.0,95.0,96.0,1.0,4
Francine,2012,65,209,0,0,63.0,234.0,86.0,12.0,7
Francofonia,2016,71,199,0,0,69.0,220.0,99.0,1.0,16
Frank,2014,75,104,0,0,71.0,166.0,87.0,16.0,2
Frankenweenie,2012,74,82,0,0,63.0,234.0,86.0,12.0,3
Freak Show,2018,54,432,0,0,49.0,490.0,69.0,224.0,7
Freaks,2019,63,298,0,0,58.0,353.0,96.0,1.0,12
Free Chol Soo Lee,2022,73,158,0,0,63.0,296.0,81.0,51.0,6
Free Guy,2021,62,306,0,0,49.0,437.0,72.0,171.0,5
Free Solo,2018,83,52,0,0,49.0,490.0,69.0,224.0,6
Free Time,2024,75,127,0,0,70.0,192.0,91.0,10.0,7
Freeland,2021,71,191,0,0,49.0,437.0,72.0,171.0,6
French Exit,2021,56,370,0,0,49.0,437.0,72.0,171.0,6
Frequency,2000,67,113,0,0,64.0,126.0,67.0,110.0,4
Fresh,2022,67,244,0,0,63.0,296.0,81.0,51.0,5
Frida,2024,75,132,0,0,70.0,192.0,91.0,10.0,12
Friday Night Lights,2004,70,110,0,0,67.0,131.0,86.0,11.0,2
Friends with Benefits,2011,63,229,0,0,46.0,409.0,89.0,5.0,3
Fright Night,2011,64,216,0,0,46.0,409.0,89.0,5.0,6
From Afar,2016,73,148,0,0,69.0,220.0,99.0,1.0,1
From Nowhere,2017,75,137,0,0,75.0,146.0,87.0,19.0,3
Frontrunners,2008,69,95,0,0,58.0,199.0,84.0,10.0,3
Frost/Nixon,2008,80,38,1,0,58.0,199.0,84.0,10.0,6
Frozen,2013,75,101,0,0,75.0,95.0,96.0,1.0,8
Frozen II,2019,64,272,0,0,58.0,353.0,96.0,1.0,1
Frozen River,2008,82,29,0,0,58.0,199.0,84.0,10.0,6
Fruitvale Station,2013,85,19,0,0,75.0,95.0,96.0,1.0,2
Fugitive Pieces,2008,60,186,0,0,58.0,199.0,84.0,10.0,1
Full Battle Rattle,2008,72,74,0,0,58.0,199.0,84.0,10.0,5
Full Time,2023,83,43,0,0,77.0,109.0,89.0,12.0,4
Funan,2019,79,87,0,0,58.0,353.0,96.0,1.0,4
Funny Face,2021,61,315,0,0,49.0,437.0,72.0,171.0,5
Funny Ha Ha,2005,78,48,0,0,66.0,165.0,66.0,165.0,3
Funny Pages,2022,73,164,0,0,63.0,296.0,81.0,51.0,12
Funny People,2009,60,190,0,0,53.0,242.0,95.0,1.0,1
Furiosa: A Mad Max Saga,2024,79,79,0,0,70.0,192.0,91.0,10.0,10
Futura,2022,73,157,0,0,63.0,296.0,81.0,51.0,5
Fyre,2019,75,133,0,0,58.0,353.0,96.0,1.0,6
Félicité,2017,75,145,0,0,75.0,146.0,87.0,19.0,11
Gabby Giffords Won't Back Down,2022,74,152,0,0,63.0,296.0,81.0,51.0,17
Gabriel and the Mountain,2018,69,230,0,0,49.0,490.0,69.0,224.0,10
Gabrielle,2006,79,37,0,0,69.0,126.0,85.0,15.0,2
Gagarine,2022,74,140,0,0,63.0,296.0,81.0,51.0,5
Gaia,2021,64,281,0,0,49.0,437.0,72.0,171.0,4
Gainsbourg: A Heroic Life,2011,58,293,0,0,46.0,409.0,89.0,5.0,7
Galveston,2018,57,408,0,0,49.0,490.0,69.0,224.0,11
Game Night,2018,66,278,0,0,49.0,490.0,69.0,224.0,6
Games of Love and Chance,2005,71,114,0,0,66.0,165.0,66.0,165.0,14
Gangs of New York,2002,72,82,1,0,72.0,82.0,81.0,26.0,7
Gangs of Wasseypur,2015,89,13,0,0,76.0,119.0,93.0,6.0,1
Garbo: The Spy,2011,67,168,0,0,46.0,409.0,89.0,5.0,7
Garden State,2004,67,135,0,0,67.0,131.0,86.0,11.0,8
Garry Winogrand: All Things are Photographable,2018,76,120,0,0,49.0,490.0,69.0,224.0,11
Gasoline Rainbow,2024,80,67,0,0,70.0,192.0,91.0,10.0,9
Gaucho Gaucho,2024,72,167,0,0,70.0,192.0,91.0,10.0,6
Gauguin: Voyage to Tahiti,2018,54,428,0,0,49.0,490.0,69.0,224.0,3
Gavagai,2018,91,6,0,0,49.0,490.0,69.0,224.0,2
Gay Chorus Deep South,2019,66,259,0,0,58.0,353.0,96.0,1.0,11
Gemini,2018,71,190,0,0,49.0,490.0,69.0,224.0,9
Generation P,2012,65,212,0,0,63.0,234.0,86.0,12.0,10
Generation Wealth,2018,53,443,0,0,49.0,490.0,69.0,224.0,6
Genesis,2005,74,80,0,0,66.0,165.0,66.0,165.0,9
Genius Within: The Inner Life of Glenn Gould,2010,72,86,0,0,74.0,75.0,88.0,8.0,2
Genèse (Genesis),2019,87,16,0,0,58.0,353.0,96.0,1.0,3
George Washington,2000,82,16,0,0,64.0,126.0,67.0,110.0,4
Georgetown,2021,49,434,0,0,49.0,437.0,72.0,171.0,2
Gerald's Game,2017,77,117,0,0,75.0,146.0,87.0,19.0,13
Gerhard Richter - Painting,2012,77,64,0,0,63.0,234.0,86.0,12.0,6
Get Low,2010,77,52,0,0,74.0,75.0,88.0,8.0,5
Get Me Roger Stone,2017,75,141,0,0,75.0,146.0,87.0,19.0,7
Get On Up,2014,71,167,0,0,71.0,166.0,87.0,16.0,12
Get Out,2017,85,30,1,0,75.0,146.0,87.0,19.0,2
Gett: The Trial of Viviane Amsalem,2015,90,12,0,0,76.0,119.0,93.0,6.0,2
Ghost Dog: The Way of the Samurai,2000,68,108,0,0,64.0,126.0,67.0,110.0,4
Ghost Stories,2018,68,250,0,0,49.0,490.0,69.0,224.0,13
Ghost Town,2008,72,78,0,0,58.0,199.0,84.0,10.0,9
Ghost Town Anthology,2020,74,129,0,0,72.0,170.0,88.0,12.0,4
Ghost World,2001,90,4,0,0,66.0,123.0,72.0,79.0,1
Ghost in the Shell 2: Innocence,2004,68,120,0,0,67.0,131.0,86.0,11.0,2
Ghostbox Cowboy,2018,76,115,0,0,49.0,490.0,69.0,224.0,6
Ghostlight,2024,83,38,0,0,70.0,192.0,91.0,10.0,7
Giant,2009,64,164,0,0,53.0,242.0,95.0,1.0,8
Giant Little Ones,2019,67,248,0,0,58.0,353.0,96.0,1.0,11
Giants Being Lonely,2021,54,394,0,0,49.0,437.0,72.0,171.0,15
Gideon's Army,2013,87,13,0,0,75.0,95.0,96.0,1.0,3
Gilles' Wife,2005,82,26,0,0,66.0,165.0,66.0,165.0,11
Gimme Danger,2016,72,178,0,0,69.0,220.0,99.0,1.0,14
Gimme the Loot,2013,81,42,0,0,75.0,95.0,96.0,1.0,5
Ginger Snaps,2001,70,95,0,0,66.0,123.0,72.0,79.0,4
Giorni e nuvole,2008,69,96,0,0,58.0,199.0,84.0,10.0,4
Girl,2019,73,161,0,0,58.0,353.0,96.0,1.0,7
Girl Model,2012,68,161,0,0,63.0,234.0,86.0,12.0,11
Girl Picture,2022,78,91,0,0,63.0,296.0,81.0,51.0,11
Girl on the Bridge,2000,75,49,0,0,64.0,126.0,67.0,110.0,5
Girl with a Pearl Earring,2003,72,72,0,0,72.0,73.0,94.0,1.0,4
Girlfight,2000,70,93,0,0,64.0,126.0,67.0,110.0,6
Girlhood,2015,85,29,0,0,76.0,119.0,93.0,6.0,2
Girls Rock!,2008,62,174,0,0,58.0,199.0,84.0,10.0,10
Girls State,2024,77,104,0,0,70.0,192.0,91.0,10.0,11
Girls Will Be Girls,2024,79,76,0,0,70.0,192.0,91.0,10.0,7
Give Me Liberty,2019,82,50,0,0,58.0,353.0,96.0,1.0,10
Gladiator,2000,67,110,1,1,64.0,126.0,67.0,110.0,1
Glass Onion: A Knives Out Mystery,2022,81,56,0,0,63.0,296.0,81.0,51.0,7
Gleason,2016,80,60,0,0,69.0,220.0,99.0,1.0,2
Glee: The 3D Concert Movie,2011,48,393,0,0,46.0,409.0,89.0,5.0,2
Glen Campbell: I'll Be Me,2014,79,62,0,0,71.0,166.0,87.0,16.0,1
Gloria,2014,83,37,0,0,71.0,166.0,87.0,16.0,2
Gloria Bell,2019,79,93,0,0,58.0,353.0,96.0,1.0,10
Glory,2017,83,47,0,0,75.0,146.0,87.0,19.0,1
Gnomeo and Juliet,2011,53,343,0,0,46.0,409.0,89.0,5.0,7
Go Tigers!,2001,69,99,0,0,66.0,123.0,72.0,79.0,3
God Loves Uganda,2013,77,70,0,0,75.0,95.0,96.0,1.0,5
God's Country,2022,77,106,0,0,63.0,296.0,81.0,51.0,6
God's Creatures,2022,69,210,0,0,63.0,296.0,81.0,51.0,2
God's Own Country,2017,85,35,0,0,75.0,146.0,87.0,19.0,7
Godard Mon Amour,2018,55,424,0,0,49.0,490.0,69.0,224.0,5
Godland,2023,81,58,0,0,77.0,109.0,89.0,12.0,3
Godzilla,2004,79,41,0,0,67.0,131.0,86.0,11.0,6
Godzilla Minus One,2023,81,64,0,0,77.0,109.0,89.0,12.0,9
Godzilla vs. Kong,2021,59,337,0,0,49.0,437.0,72.0,171.0,2
Going Clear: Scientology and the Prison of Belief,2015,80,72,0,0,76.0,119.0,93.0,6.0,7
Going Upriver: The Long War of John Kerry,2004,70,112,0,0,67.0,131.0,86.0,11.0,4
Golden Exits,2018,72,177,0,0,49.0,490.0,69.0,224.0,11
Goldie,2020,72,167,0,0,72.0,170.0,88.0,12.0,11
Goldstone,2018,78,100,0,0,49.0,490.0,69.0,224.0,11
Gomorrah,2009,87,9,0,0,53.0,242.0,95.0,1.0,1
Gone Girl,2014,79,65,0,0,71.0,166.0,87.0,16.0,4
Gonzo: The Life and Work of Dr. Hunter S. Thompson,2008,73,69,0,0,58.0,199.0,84.0,10.0,4
Good Boys,2019,60,332,0,0,58.0,353.0,96.0,1.0,11
Good Hair,2009,72,94,0,0,53.0,242.0,95.0,1.0,2
"Good Luck to You, Leo Grande",2022,78,88,0,0,63.0,296.0,81.0,51.0,8
Good Manners,2018,73,166,0,0,49.0,490.0,69.0,224.0,11
"Good Morning, Night",2005,69,134,0,0,66.0,165.0,66.0,165.0,7
Good Neighbors,2011,60,259,0,0,46.0,409.0,89.0,5.0,1
Good Night Oppy,2022,65,274,0,0,63.0,296.0,81.0,51.0,9
"Good Night, and Good Luck.",2005,80,41,1,0,66.0,165.0,66.0,165.0,10
Good One,2024,87,18,0,0,70.0,192.0,91.0,10.0,1
Good Time,2017,80,77,0,0,75.0,146.0,87.0,19.0,7
Good on Paper,2021,54,391,0,0,49.0,437.0,72.0,171.0,12
Goodbye First Love,2012,80,43,0,0,63.0,234.0,86.0,12.0,5
Goodbye Lenin!,2004,68,122,0,0,67.0,131.0,86.0,11.0,4
Goodbye Solo,2009,89,5,0,0,53.0,242.0,95.0,1.0,2
Goodbye to Language 3D,2014,75,108,0,0,71.0,166.0,87.0,16.0,6
"Goodbye, Dragon Inn",2004,83,19,0,0,67.0,131.0,86.0,11.0,1
Goodnight Mommy,2015,81,64,0,0,76.0,119.0,93.0,6.0,12
Goon,2012,64,218,0,0,63.0,234.0,86.0,12.0,5
Goosebumps 2: Haunted Halloween,2018,53,447,0,0,49.0,490.0,69.0,224.0,10
Gore Vidal: The United States of Amnesia,2014,72,145,0,0,71.0,166.0,87.0,16.0,7
Gosford Park,2001,90,6,1,0,66.0,123.0,72.0,79.0,3
Grace Jones: Bloodlight and Bami,2018,75,138,0,0,49.0,490.0,69.0,224.0,18
Graceland,2013,75,100,0,0,75.0,95.0,96.0,1.0,7
Graduation,2017,84,43,0,0,75.0,146.0,87.0,19.0,5
Gran Torino,2008,72,70,0,0,58.0,199.0,84.0,10.0,1
Grandma,2015,77,107,0,0,76.0,119.0,93.0,6.0,15
Grass,2000,64,125,0,0,64.0,126.0,67.0,110.0,5
Grass,2019,77,108,0,0,58.0,353.0,96.0,1.0,3
Grateful Dawg,2001,64,133,0,0,66.0,123.0,72.0,79.0,2
Gravity,2013,96,2,1,0,75.0,95.0,96.0,1.0,2
Great Absence,2024,82,52,0,0,70.0,192.0,91.0,10.0,9
Great Freedom,2022,89,7,0,0,63.0,296.0,81.0,51.0,1
Green Book,2018,69,224,1,1,49.0,490.0,69.0,224.0,4
Green Border,2024,90,14,0,0,70.0,192.0,91.0,10.0,3
Green Room,2016,79,69,0,0,69.0,220.0,99.0,1.0,4
Greenberg,2010,76,60,0,0,74.0,75.0,88.0,8.0,8
Greener Grass,2019,69,215,0,0,58.0,353.0,96.0,1.0,14
Gregory Crewdson: Brief Encounters,2012,87,9,0,0,63.0,234.0,86.0,12.0,4
Griff the Invisible,2011,49,391,0,0,46.0,409.0,89.0,5.0,14
Grin Without a Cat,2002,81,25,0,0,72.0,82.0,81.0,26.0,1
Grizzly Man,2005,87,4,0,0,66.0,165.0,66.0,165.0,1
Guardians of the Galaxy,2014,76,89,0,0,71.0,166.0,87.0,16.0,2
Guerrilla: The Taking of Patty Hearst,2004,75,71,0,0,67.0,131.0,86.0,11.0,13
Guest of Cindy Sherman,2009,64,166,0,0,53.0,242.0,95.0,1.0,10
Guillermo Del Toro’s Pinocchio,2022,79,74,0,0,63.0,296.0,81.0,51.0,4
Gun Hill Road,2011,55,328,0,0,46.0,409.0,89.0,5.0,10
Gunda,2020,89,9,0,0,72.0,170.0,88.0,12.0,2
Gunner Palace,2005,70,122,0,0,66.0,165.0,66.0,165.0,7
Gunnin' for That #1 Spot,2008,59,190,0,0,58.0,199.0,84.0,10.0,2
Gunpowder Milkshake,2021,47,451,0,0,49.0,437.0,72.0,171.0,2
Guy and Madeline on a Park Bench,2010,83,18,0,0,74.0,75.0,88.0,8.0,2
Gypsy,2012,64,221,0,0,63.0,234.0,86.0,12.0,8
Güeros,2015,77,106,0,0,76.0,119.0,93.0,6.0,14
Ha-Chaverim Shel Yana,2001,67,113,0,0,66.0,123.0,72.0,79.0,1
Hacksaw Ridge,2016,71,193,1,0,69.0,220.0,99.0,1.0,10
Hadewijch,2010,83,21,0,0,74.0,75.0,88.0,8.0,5
Hail Satan?,2019,76,120,0,0,58.0,353.0,96.0,1.0,7
"Hail, Caesar!",2016,72,172,0,0,69.0,220.0,99.0,1.0,8
Hairspray,2007,81,34,0,0,81.0,29.0,92.0,5.0,6
Hal,2018,72,171,0,0,49.0,490.0,69.0,224.0,5
Hala,2019,75,140,0,0,58.0,353.0,96.0,1.0,13
"Hale County This Morning, This Evening",2018,85,39,0,0,49.0,490.0,69.0,224.0,3
Half Magic,2018,49,484,0,0,49.0,490.0,69.0,224.0,1
Half Nelson,2006,85,16,0,0,69.0,126.0,85.0,15.0,2
Halftime,2022,63,295,0,0,63.0,296.0,81.0,51.0,3
Hall Pass,2011,45,422,0,0,46.0,409.0,89.0,5.0,9
"Hallelujah: Leonard Cohen, a Journey, a Song",2022,70,207,0,0,63.0,296.0,81.0,51.0,12
Halloween,2018,67,258,0,0,49.0,490.0,69.0,224.0,5
Halston,2019,64,285,0,0,58.0,353.0,96.0,1.0,14
Ham on Rye,2020,80,63,0,0,72.0,170.0,88.0,12.0,7
Hamilton,2020,88,13,0,0,72.0,170.0,88.0,12.0,3
Hamlet,2000,70,89,0,0,64.0,126.0,67.0,110.0,2
Hammer,2020,75,120,0,0,72.0,170.0,88.0,12.0,8
Hanna,2011,65,208,0,0,46.0,409.0,89.0,5.0,18
Hannah,2018,63,319,0,0,49.0,490.0,69.0,224.0,6
Hannah Montana & Miley Cyrus: Best of Both Worlds Concert,2008,59,193,0,0,58.0,199.0,84.0,10.0,5
Happening,2022,86,18,0,0,63.0,296.0,81.0,51.0,2
Happily,2021,58,348,0,0,49.0,437.0,72.0,171.0,4
Happy Feet,2006,77,45,0,0,69.0,126.0,85.0,15.0,1
Happy Feet Two,2011,50,367,0,0,46.0,409.0,89.0,5.0,6
Happy People: A Year in the Taiga,2013,74,114,0,0,75.0,95.0,96.0,1.0,13
Happy Valley,2014,76,102,0,0,71.0,166.0,87.0,16.0,15
Happy as Lazzaro,2018,87,30,0,0,49.0,490.0,69.0,224.0,7
"Happy, Happy",2011,60,267,0,0,46.0,409.0,89.0,5.0,9
Happy-Go-Lucky,2008,84,17,0,0,58.0,199.0,84.0,10.0,8
Happythankyoumoreplease,2011,45,415,0,0,46.0,409.0,89.0,5.0,2
Hara-Kiri: Death of a Samurai,2012,76,69,0,0,63.0,234.0,86.0,12.0,3
Hard Luck Love Song,2021,56,366,0,0,49.0,437.0,72.0,171.0,2
Hard Truths,2024,88,16,0,0,70.0,192.0,91.0,10.0,2
Hard to Be a God,2015,93,5,0,0,76.0,119.0,93.0,6.0,2
Harlan: In the Shadow of Jew Suess,2010,73,84,0,0,74.0,75.0,88.0,8.0,4
Harmonium,2017,84,42,0,0,75.0,146.0,87.0,19.0,4
Harmony and Me,2009,67,135,0,0,53.0,242.0,95.0,1.0,3
Harold and Lillian: A Hollywood Love Story,2017,75,153,0,0,75.0,146.0,87.0,19.0,19
Harriet,2019,66,258,0,0,58.0,353.0,96.0,1.0,10
Harry Benson: Shoot First,2016,74,139,0,0,69.0,220.0,99.0,1.0,13
Harry Dean Stanton: Partly Fiction,2013,75,97,0,0,75.0,95.0,96.0,1.0,4
Harry Is Here to Help,2001,75,57,0,0,66.0,123.0,72.0,79.0,4
Harry Potter and the Deathly Hallows: Part 2,2011,85,15,0,0,46.0,409.0,89.0,5.0,1
Harry Potter and the Goblet of Fire,2005,81,29,0,0,66.0,165.0,66.0,165.0,3
Harry Potter and the Half-Blood Prince,2009,78,52,0,0,53.0,242.0,95.0,1.0,4
Harry Potter and the Prisoner of Azkaban,2004,82,24,0,0,67.0,131.0,86.0,11.0,1
Harry Potter and the Sorcerer's Stone,2001,65,127,0,0,66.0,123.0,72.0,79.0,2
Harvard Beats Yale 29-29,2008,79,39,0,0,58.0,199.0,84.0,10.0,1
Harvest of Empire,2012,66,193,0,0,63.0,234.0,86.0,12.0,9
Hatching,2022,75,135,0,0,63.0,296.0,81.0,51.0,11
Have a Nice Day,2018,77,102,0,0,49.0,490.0,69.0,224.0,1
Haywire,2012,67,171,0,0,63.0,234.0,86.0,12.0,8
Head Games,2012,69,139,0,0,63.0,234.0,86.0,12.0,3
Head-On,2005,78,47,0,0,66.0,165.0,66.0,165.0,2
Headhunters,2012,72,106,0,0,63.0,234.0,86.0,12.0,4
Heading South,2006,73,85,0,0,69.0,126.0,85.0,15.0,8
Heal the Living,2017,82,57,0,0,75.0,146.0,87.0,19.0,5
Heart of a Dog,2015,84,31,0,0,76.0,119.0,93.0,6.0,2
Heartbeat Detector,2008,68,107,0,0,58.0,199.0,84.0,10.0,5
Heartbeats,2011,70,131,0,0,46.0,409.0,89.0,5.0,5
Hearts Beat Loud,2018,65,293,0,0,49.0,490.0,69.0,224.0,4
Heavy Trip,2018,72,173,0,0,49.0,490.0,69.0,224.0,7
Hedwig and the Angry Inch,2001,85,14,0,0,66.0,123.0,72.0,79.0,3
Heimat is a Space in Time,2020,75,124,0,0,72.0,170.0,88.0,12.0,12
Heist,2001,66,125,0,0,66.0,123.0,72.0,79.0,8
Hell and Back Again,2011,81,37,0,0,46.0,409.0,89.0,5.0,6
Hell or High Water,2016,88,15,1,0,69.0,220.0,99.0,1.0,2
Hellbender,2022,70,206,0,0,63.0,296.0,81.0,51.0,11
Hellboy,2004,72,95,0,0,67.0,131.0,86.0,11.0,2
Hellboy II: The Golden Army,2008,78,48,0,0,58.0,199.0,84.0,10.0,2
Hello Lonesome,2011,58,295,0,0,46.0,409.0,89.0,5.0,9
"Hello, Bookstore",2022,73,169,0,0,63.0,296.0,81.0,51.0,17
Henri Langlois: The Phantom of the Cinematheque,2005,78,46,0,0,66.0,165.0,66.0,165.0,1
Henry's Crime,2011,49,381,0,0,46.0,409.0,89.0,5.0,4
Her,2013,91,7,1,0,75.0,95.0,96.0,1.0,2
Her Smell,2019,70,193,0,0,58.0,353.0,96.0,1.0,3
Herb & Dorothy,2009,74,79,0,0,53.0,242.0,95.0,1.0,5
Here,2012,68,157,0,0,63.0,234.0,86.0,12.0,7
Here,2024,92,5,0,0,70.0,192.0,91.0,10.0,1
Here Before,2022,69,223,0,0,63.0,296.0,81.0,51.0,15
Hereditary,2018,87,29,0,0,49.0,490.0,69.0,224.0,6
Heretic,2024,71,177,0,0,70.0,192.0,91.0,10.0,2
Hermia & Helena,2017,79,87,0,0,75.0,146.0,87.0,19.0,4
Hero,2004,85,16,0,0,67.0,131.0,86.0,11.0,3
Hesher,2011,45,423,0,0,46.0,409.0,89.0,5.0,10
"Hey, Boo: Harper Lee and 'To Kill a Mockingbird'",2011,64,223,0,0,46.0,409.0,89.0,5.0,13
Hidden Figures,2016,74,135,1,0,69.0,220.0,99.0,1.0,9
Hiding and Seeking: Faith and Tolerance After the Holocaust,2004,67,136,0,0,67.0,131.0,86.0,11.0,9
High Fidelity,2000,79,24,0,0,64.0,126.0,67.0,110.0,4
High Flying Bird,2019,78,98,0,0,58.0,353.0,96.0,1.0,5
High Life,2019,78,105,0,0,58.0,353.0,96.0,1.0,12
Higher Ground,2011,74,86,0,0,46.0,409.0,89.0,5.0,7
Hill of Freedom,2020,73,146,0,0,72.0,170.0,88.0,12.0,8
Himalaya,2001,73,70,0,0,66.0,123.0,72.0,79.0,3
Himalaya,2001,73,71,0,0,66.0,123.0,72.0,79.0,4
Hipsters,2012,67,181,0,0,63.0,234.0,86.0,12.0,18
His House,2020,72,162,0,0,72.0,170.0,88.0,12.0,6
His Three Daughters,2024,84,31,0,0,70.0,192.0,91.0,10.0,6
Hit Man,2024,82,45,0,0,70.0,192.0,91.0,10.0,2
Hit the Road,2022,91,5,0,0,63.0,296.0,81.0,51.0,2
Hitchcock/Truffaut,2015,79,83,0,0,76.0,119.0,93.0,6.0,6
Hitler's Children,2012,69,150,0,0,63.0,234.0,86.0,12.0,14
Hitler's Hollywood,2018,78,101,0,0,49.0,490.0,69.0,224.0,12
Hive,2021,73,168,0,0,49.0,437.0,72.0,171.0,13
Hoard,2024,75,133,0,0,70.0,192.0,91.0,10.0,13
Hobo with a Shotgun,2011,55,324,0,0,46.0,409.0,89.0,5.0,6
Hold Me Tight,2022,82,42,0,0,63.0,296.0,81.0,51.0,5
Hold Your Fire,2022,82,49,0,0,63.0,296.0,81.0,51.0,12
Hold the Dark,2018,63,315,0,0,49.0,490.0,69.0,224.0,2
Holes,2003,71,81,0,0,72.0,73.0,94.0,1.0,5
Holiday,2019,80,80,0,0,58.0,353.0,96.0,1.0,15
