Country,Full_Country,Sport,Actual,Projected,Difference
USA,United States,Skeleton,0,8.030823539,-8.030823539
AUT,Austria,Ski Jumping,0,6.605770329,-6.605770329
CAN,Canada,Ice Hockey,7.559526299,13.41152725,-5.852000951
SWE,Sweden,Ice Hockey,0,5.498469935,-5.498469935
USA,United States,Bobsleigh,3.845998854,9.08132663,-5.235327776
GER,Germany,Cross-Country Skiing,0,4.907818821,-4.907818821
CAN,Canada,Skeleton,0,4.844921129,-4.844921129
USA,United States,Speed Skating,0.688612075,5.363841418,-4.675229342
SUI,Switzerland,Ski Jumping,0,4.628407127,-4.628407127
CRO,Croatia,Alpine Skiing,0,4.419495241,-4.419495241
GBR,United Kingdom,Curling,0,4.311582576,-4.311582576
CHN,China,Short Track Speed Skating,7,11.0022111,-4.002211097
GER,Germany,Speed Skating,0,3.955790198,-3.955790198
SUI,Switzerland,Bobsleigh,0,3.808957383,-3.808957383
LAT,Latvia,Skeleton,0,3.743126122,-3.743126122
ITA,Italy,Luge,0,3.518283137,-3.518283137
GER,Germany,Alpine Skiing,0,3.467842055,-3.467842055
SLO,Slovania,Alpine Skiing,0,3.33885021,-3.33885021
USA,United States,Short Track Speed Skating,2,5.231846822,-3.231846822
USA,United States,Figure Skating,2.735961515,5.872358442,-3.136396927
SUI,Switzerland,Skeleton,0,3.123846868,-3.123846868
SLO,Slovania,Ski Jumping,0,3.043114387,-3.043114387
SUI,Switzerland,Snowboarding,2.585321628,5.59539416,-3.010072532
EST,Estonia,Cross-Country Skiing,0,2.968243375,-2.968243375
LAT,Latvia,Luge,0,2.951788984,-2.951788984
CAN,Canada,Curling,5.768998281,8.575438563,-2.806440282
POL,Poland,Cross-Country Skiing,0,2.727714854,-2.727714854
KOR,Korea,Figure Skating,0,2.68226553,-2.68226553
POL,Poland,Speed Skating,0,2.592451367,-2.592451367
USA,United States,Alpine Skiing,4.852320198,7.128944957,-2.27662476
FIN,Finland,Ski Jumping,0,2.096682037,-2.096682037
UKR,Ukraine,Biathlon,0,2.082287471,-2.082287471
AUS,Australia,Freestyle Skiing,1.723547752,3.794756521,-2.071208769
CZE,Czech Republic,Cross-Country Skiing,0,2.065089413,-2.065089413
AUT,Austria,Skeleton,0,1.93252498,-1.93252498
BUL,Bulgaria,Short Track Speed Skating,0,1.844868411,-1.844868411
SUI,Switzerland,Ice Hockey,0,1.843968736,-1.843968736
AUT,Austria,Biathlon,0.808720033,2.573090599,-1.764370566
ITA,Italy,Figure Skating,0,1.687511285,-1.687511285
FIN,Finland,Curling,0,1.528797142,-1.528797142
AUS,Australia,Short Track Speed Skating,0,1.503249288,-1.503249288
SUI,Switzerland,Biathlon,0,1.495839977,-1.495839977
FRA,France,Ski Jumping,0,1.484251523,-1.484251523
FIN,Finland,Freestyle Skiing,0,1.429588893,-1.429588893
CAN,Canada,Speed Skating,3.443060377,4.86901007,-1.425949692
CZE,Czech Republic,Freestyle Skiing,0,1.415975314,-1.415975314
KAZ,Kazakhstan,Figure Skating,0,1.399603537,-1.399603537
NED,Netherlands,Snowboarding,0,1.347434963,-1.347434963
SUI,Switzerland,Figure Skating,0,1.339192151,-1.339192151
NOR,Norway,Snowboarding,0,1.309593621,-1.309593621
SLO,Slovania,Cross-Country Skiing,0,1.306649594,-1.306649594
CAN,Canada,Cross-Country Skiing,0,1.26292004,-1.26292004
SWE,Sweden,Snowboarding,0,1.234604798,-1.234604798
CHN,China,Curling,0,1.225600465,-1.225600465
SWE,Sweden,Freestyle Skiing,0,1.204318989,-1.204318989
AUT,Austria,Freestyle Skiing,0,1.18891123,-1.18891123
CAN,Canada,Alpine Skiing,0,1.183851871,-1.183851871
KAZ,Kazakhstan,Biathlon,0,1.169392669,-1.169392669
SVK,Slovakia,Snowboarding,0,1.1662622,-1.1662622
FIN,Finland,Alpine Skiing,0,1.148137993,-1.148137993
POL,Poland,Biathlon,0,1.148137993,-1.148137993
FIN,Finland,Snowboarding,0.861773876,2.001020896,-1.13924702
BLR,Belarus,Freestyle Skiing,2.585321628,3.724340306,-1.139018678
UKR,Ukraine,Figure Skating,0,1.105527958,-1.105527958
ITA,Italy,Cross-Country Skiing,1.526285657,2.589242588,-1.062956931
CZE,Czech Republic,Speed Skating,2.065836226,3.086821724,-1.020985497
CRO,Croatia,Biathlon,0,1.020628217,-1.020628217
SLO,Slovania,Snowboarding,0.861773876,1.869229436,-1.00745556
ITA,Italy,Speed Skating,0.688612075,1.695214451,-1.006602376
AUT,Austria,Cross-Country Skiing,0,1.002215857,-1.002215857
CHN,China,Speed Skating,0.688612075,1.668822299,-0.980210223
CZE,Czech Republic,Biathlon,2.426160099,3.367768614,-0.941608516
SUI,Switzerland,Cross-Country Skiing,2.289428485,3.22004968,-0.930621194
JPN,Japan,Alpine Skiing,0,0.871863765,-0.871863765
CAN,Canada,Biathlon,0,0.871863765,-0.871863765
AUT,Austria,Bobsleigh,0,0.871863765,-0.871863765
BEL,Belgium,Bobsleigh,0,0.871863765,-0.871863765
GER,Germany,Curling,0,0.871863765,-0.871863765
NOR,Norway,Figure Skating,0,0.871863765,-0.871863765
AUT,Austria,Figure Skating,0,0.871863765,-0.871863765
SWE,Sweden,Figure Skating,0,0.871863765,-0.871863765
NED,Netherlands,Figure Skating,0,0.871863765,-0.871863765
FIN,Finland,Figure Skating,0,0.871863765,-0.871863765
GBR,United Kingdom,Figure Skating,0,0.871863765,-0.871863765
BEL,Belgium,Figure Skating,0,0.871863765,-0.871863765
GBR,United Kingdom,Ice Hockey,0,0.871863765,-0.871863765
ITA,Italy,Skeleton,0,0.871863765,-0.871863765
SWE,Sweden,Ski Jumping,0,0.871863765,-0.871863765
AUT,Austria,Speed Skating,0,0.871863765,-0.871863765
SWE,Sweden,Speed Skating,0,0.871863765,-0.871863765
FIN,Finland,Speed Skating,0,0.871863765,-0.871863765
JPN,Japan,Snowboarding,1.723547752,2.534139884,-0.810592132
KAZ,Kazakhstan,Speed Skating,0,0.797075452,-0.797075452
AUS,Australia,Alpine Skiing,0,0.784030848,-0.784030848
FIN,Finland,Biathlon,0,0.784030848,-0.784030848
BUL,Bulgaria,Biathlon,0,0.778569722,-0.778569722
NOR,Norway,Nordic Combined,3.845998854,4.581138452,-0.735139598
NOR,Norway,Biathlon,8.895920362,9.609417783,-0.71349742
GER,Germany,Freestyle Skiing,0,0.68467386,-0.68467386
FRA,France,Bobsleigh,0,0.663011948,-0.663011948
GBR,United Kingdom,Bobsleigh,0,0.663011948,-0.663011948
NOR,Norway,Curling,1.922999427,2.584639348,-0.661639921
FRA,France,Alpine Skiing,3.234880132,3.849229058,-0.614348926
ITA,Italy,Bobsleigh,0,0.573775003,-0.573775003
FIN,Finland,Ice Hockey,2.5198421,3.084500797,-0.564658697
CZE,Czech Republic,Ice Hockey,0,0.481256986,-0.481256986
USA,United States,Freestyle Skiing,6.894191008,7.361425998,-0.46723499
DEN,Denmark,Curling,0,0.454160131,-0.454160131
JPN,Japan,Short Track Speed Skating,0,0.437434479,-0.437434479
LAT,Latvia,Bobsleigh,1.922999427,2.35557364,-0.432574213
POL,Poland,Ski Jumping,6.349604208,6.716465208,-0.366861
GBR,United Kingdom,Snowboarding,0.861773876,1.204318989,-0.342545113
BLR,Belarus,Biathlon,4.043600165,4.350205266,-0.306605102
JPN,Japan,Freestyle Skiing,0.861773876,1.104904648,-0.243130772
AUT,Austria,Snowboarding,2.585321628,2.824455076,-0.239133448
CHN,China,Figure Skating,2.735961515,2.970395069,-0.234433554
AUT,Austria,Alpine Skiing,12.13080049,12.11998793,0.010812561
FRA,France,Cross-Country Skiing,1.526285657,1.426973275,0.099312381
FRA,France,Freestyle Skiing,4.30886938,4.163864342,0.145005038
CAN,Canada,Short Track Speed Skating,8,7.851888525,0.148111475
KOR,Korea,Short Track Speed Skating,13,12.63583512,0.364164877
ITA,Italy,Alpine Skiing,3.234880132,2.836185099,0.398695033
SWE,Sweden,Cross-Country Skiing,9.920856769,9.517438304,0.403418464
JPN,Japan,Ski Jumping,1.587401052,1.157396654,0.430004398
SLO,Slovania,Biathlon,1.617440066,1.183851871,0.433588195
NOR,Norway,Freestyle Skiing,2.585321628,2.092349996,0.492971632
AUS,Australia,Snowboarding,2.585321628,2.012345411,0.572976217
BEL,Belgium,Speed Skating,1.377224151,0.797075452,0.580148699
ITA,Italy,Biathlon,1.617440066,1.008186038,0.609254028
RUS,Russia,Speed Skating,0.688612075,1.900802582,-1.212190506
GER,Germany,Snowboarding,2.585321628,1.882843015,0.702478613
LIE,Liechtenstein,Alpine Skiing,0.808720033,0,0.808720033
GBR,United Kingdom,Freestyle Skiing,0.861773876,0,0.861773876
KAZ,Kazakhstan,Freestyle Skiing,0.861773876,0,0.861773876
NZL,New Zealand,Freestyle Skiing,0.861773876,0,0.861773876
ESP,Spain,Snowboarding,0.861773876,0,0.861773876
NZL,New Zealand,Snowboarding,0.861773876,0,0.861773876
RUS,Russia,Short Track Speed Skating,1,5.501225128,-4.501225128
USA,United States,Ice Hockey,7.559526299,6.400894187,1.158632113
USA,United States,Luge,3.174802104,1.969303438,1.205498666
CHN,China,Freestyle Skiing,4.30886938,3.052130552,1.256738828
FRA,France,Figure Skating,2.735961515,1.438441559,1.297519955
ESP,Spain,Figure Skating,1.367980757,0,1.367980757
CZE,Czech Republic,Alpine Skiing,2.426160099,1.020628217,1.405531882
ITA,Italy,Snowboarding,2.585321628,1.053234281,1.532087347
RUS,Russia,Freestyle Skiing,1.723547752,1.351518206,0.372029546
CHN,China,Snowboarding,1.723547752,0,1.723547752
KOR,Korea,Snowboarding,1.723547752,0,1.723547752
FRA,France,Snowboarding,4.30886938,2.447180331,1.861689049
JPN,Japan,Curling,1.922999427,0,1.922999427
GER,Germany,Biathlon,11.32208046,9.339538168,1.982542293
FRA,France,Biathlon,8.895920362,6.783112276,2.112808087
FIN,Finland,Cross-Country Skiing,5.341999799,3.130579161,2.211420638
USA,United States,Cross-Country Skiing,2.289428485,0,2.289428485
CAN,Canada,Bobsleigh,7.691997708,5.250226708,2.441771001
SWE,Sweden,Alpine Skiing,4.852320198,2.333163642,2.519156556
UKR,Ukraine,Freestyle Skiing,2.585321628,0,2.585321628
GER,Germany,Figure Skating,4.103942272,1.502671551,2.601270721
GER,Germany,Skeleton,5.0396842,2.262442385,2.777241814
ITA,Italy,Short Track Speed Skating,6,3.19066796,2.80933204
JPN,Japan,Figure Skating,6.839903787,3.910997882,2.928905905
SVK,Slovakia,Biathlon,5.661040231,2.700414796,2.960625435
HUN,Hungary,Short Track Speed Skating,3,0,3
SUI,Switzerland,Curling,5.768998281,2.470132392,3.29886589
CZE,Czech Republic,Snowboarding,3.447095504,0,3.447095504
KOR,Korea,Bobsleigh,3.845998854,0,3.845998854
KOR,Korea,Curling,3.845998854,0,3.845998854
AUT,Austria,Nordic Combined,3.845998854,0,3.845998854
JPN,Japan,Nordic Combined,3.845998854,0,3.845998854
GER,Germany,Luge,20.63621368,16.14059104,4.495622638
CAN,Canada,Freestyle Skiing,14.65015589,10.10732253,4.542833361
USA,United States,Curling,5.768998281,1.200330454,4.568667828
SWE,Sweden,Curling,9.614997135,4.935186928,4.679810207
CAN,Canada,Luge,4.762203156,0,4.762203156
AUT,Austria,Luge,9.524406312,4.531769148,4.992637163
GER,Germany,Ice Hockey,5.0396842,0,5.0396842
RUS,Russia,Skeleton,5.0396842,1.335389972,3.704294228
CAN,Canada,Snowboarding,6.894191008,1.827089405,5.067101603
CAN,Canada,Figure Skating,10.94384606,5.845107346,5.098738713
NOR,Norway,Speed Skating,6.197508679,1.06402249,5.13348619
SUI,Switzerland,Freestyle Skiing,6.894191008,1.695437665,5.198753344
USA,United States,Snowboarding,14.65015589,9.287784879,5.362371014
SWE,Sweden,Biathlon,8.087200329,2.349252106,5.737948224
GBR,United Kingdom,Skeleton,12.5992105,6.569914156,6.029296343
NOR,Norway,Alpine Skiing,10.51336043,4.442729081,6.070631347
KOR,Korea,Speed Skating,8.951956981,2.289863189,6.662093792
NED,Netherlands,Short Track Speed Skating,8,1.257643878,6.742356122
SUI,Switzerland,Alpine Skiing,11.32208046,4.556386087,6.765694374
NED,Netherlands,Speed Skating,23.41281057,15.88917505,7.523635521
RUS,Russia,Ice Hockey,7.559526299,0.854847771,6.704678529
KOR,Korea,Skeleton,7.559526299,0,7.559526299
GER,Germany,Ski Jumping,14.28660947,6.455826726,7.830782742
RUS,Russia,Cross-Country Skiing,8.394571112,4.26757124,4.126999872
JPN,Japan,Speed Skating,9.640569057,1.041116397,8.599452659
RUS,Russia,Figure Skating,9.575865301,11.81975273,-2.24388743
NOR,Norway,Cross-Country Skiing,24.42057051,13.07709703,11.34347347
GER,Germany,Bobsleigh,21.1529937,9.111275598,12.0417181
NOR,Norway,Ski Jumping,15.87401052,3.403114401,12.47089612
GER,Germany,Nordic Combined,23.07599312,1.613718702,21.46227442
