"state","state_abb","date","candidate","col","row","actual","biden_share","sanders_share","other_share","nth_del"
"Arkansas","AR",2020-03-03,"Biden",7,10,TRUE,1,0,0,105
"Arkansas","AR",2020-03-03,"Biden",8,10,TRUE,1,0,0,106
"Arkansas","AR",2020-03-03,"Biden",9,10,TRUE,1,0,0,107
"Arkansas","AR",2020-03-03,"Biden",10,10,TRUE,1,0,0,108
"Arkansas","AR",2020-03-03,"Biden",11,10,TRUE,1,0,0,109
"Arkansas","AR",2020-03-03,"Biden",12,10,TRUE,1,0,0,110
"Arkansas","AR",2020-03-03,"Biden",13,10,TRUE,1,0,0,111
"Arkansas","AR",2020-03-03,"Biden",14,10,TRUE,1,0,0,112
"Arkansas","AR",2020-03-03,"Biden",15,10,TRUE,1,0,0,113
"Arkansas","AR",2020-03-03,"Biden",16,10,TRUE,1,0,0,114
"Arkansas","AR",2020-03-03,"Biden",17,10,TRUE,1,0,0,115
"Arkansas","AR",2020-03-03,"Other",23,8,TRUE,0,0,1,42
"Arkansas","AR",2020-03-03,"Other",23,9,TRUE,0,0,1,44
"Arkansas","AR",2020-03-03,"Other",22,10,TRUE,0,0,1,46
"Arkansas","AR",2020-03-03,"Other",23,10,TRUE,0,0,1,47
"Arkansas","AR",2020-03-03,"Other",23,11,TRUE,0,0,1,49
"Arkansas","AR",2020-03-03,"Sanders",21,8,TRUE,0,1,0,69
"Arkansas","AR",2020-03-03,"Sanders",22,8,TRUE,0,1,0,70
"Arkansas","AR",2020-03-03,"Sanders",20,9,TRUE,0,1,0,71
"Arkansas","AR",2020-03-03,"Sanders",21,9,TRUE,0,1,0,72
"Arkansas","AR",2020-03-03,"Sanders",22,9,TRUE,0,1,0,73
"Arkansas","AR",2020-03-03,"Sanders",18,10,TRUE,0,1,0,74
"Arkansas","AR",2020-03-03,"Sanders",19,10,TRUE,0,1,0,75
"Arkansas","AR",2020-03-03,"Sanders",20,10,TRUE,0,1,0,76
"Arkansas","AR",2020-03-03,"Sanders",21,10,TRUE,0,1,0,77
"American Samoa","AS",2020-03-03,"Other",24,8,TRUE,0,0,1,43
"American Samoa","AS",2020-03-03,"Other",24,9,TRUE,0,0,1,45
"American Samoa","AS",2020-03-03,"Other",24,10,TRUE,0,0,1,48
"American Samoa","AS",2020-03-03,"Other",24,11,TRUE,0,0,1,50
"American Samoa","AS",2020-03-03,"Other",24,12,TRUE,0,0,1,52
"American Samoa","AS",2020-03-03,"Other",24,13,TRUE,0,0,1,54
"Arizona","AZ",2020-03-17,"Biden",1,78,TRUE,1,0,0,913
"Arizona","AZ",2020-03-17,"Biden",2,78,TRUE,1,0,0,914
"Arizona","AZ",2020-03-17,"Biden",3,78,TRUE,1,0,0,915
"Arizona","AZ",2020-03-17,"Biden",4,78,TRUE,1,0,0,916
"Arizona","AZ",2020-03-17,"Biden",5,78,TRUE,1,0,0,917
"Arizona","AZ",2020-03-17,"Biden",6,78,TRUE,1,0,0,918
"Arizona","AZ",2020-03-17,"Biden",7,78,TRUE,1,0,0,919
"Arizona","AZ",2020-03-17,"Biden",8,78,TRUE,1,0,0,920
"Arizona","AZ",2020-03-17,"Biden",9,78,TRUE,1,0,0,921
"Arizona","AZ",2020-03-17,"Biden",10,78,TRUE,1,0,0,922
"Arizona","AZ",2020-03-17,"Biden",1,79,TRUE,1,0,0,924
"Arizona","AZ",2020-03-17,"Biden",2,79,TRUE,1,0,0,925
"Arizona","AZ",2020-03-17,"Biden",3,79,TRUE,1,0,0,926
"Arizona","AZ",2020-03-17,"Biden",4,79,TRUE,1,0,0,927
"Arizona","AZ",2020-03-17,"Biden",5,79,TRUE,1,0,0,928
"Arizona","AZ",2020-03-17,"Biden",6,79,TRUE,1,0,0,929
"Arizona","AZ",2020-03-17,"Biden",7,79,TRUE,1,0,0,930
"Arizona","AZ",2020-03-17,"Biden",8,79,TRUE,1,0,0,931
"Arizona","AZ",2020-03-17,"Biden",9,79,TRUE,1,0,0,932
"Arizona","AZ",2020-03-17,"Biden",10,79,TRUE,1,0,0,933
"Arizona","AZ",2020-03-17,"Biden",15,79,TRUE,1,0,0,936
"Arizona","AZ",2020-03-17,"Biden",1,80,FALSE,1,0,0,937
"Arizona","AZ",2020-03-17,"Biden",2,80,FALSE,1,0,0,938
"Arizona","AZ",2020-03-17,"Biden",3,80,FALSE,1,0,0,939
"Arizona","AZ",2020-03-17,"Biden",4,80,FALSE,1,0,0,940
"Arizona","AZ",2020-03-17,"Biden",5,80,FALSE,1,0,0,941
"Arizona","AZ",2020-03-17,"Biden",6,80,FALSE,1,0,0,942
"Arizona","AZ",2020-03-17,"Biden",7,80,FALSE,1,0,0,943
"Arizona","AZ",2020-03-17,"Biden",8,80,FALSE,1,0,0,944
