"state","state_abb","date","candidate","col","row","actual","biden_share","sanders_share","other_share"
"Alabama","AL",2020-03-03,"Biden",3,9,TRUE,1,0,0
"Alabama","AL",2020-03-03,"Biden",4,9,TRUE,1,0,0
"Alabama","AL",2020-03-03,"Biden",5,9,TRUE,1,0,0
"Alabama","AL",2020-03-03,"Biden",6,9,TRUE,1,0,0
"Alabama","AL",2020-03-03,"Biden",7,9,TRUE,1,0,0
"Alabama","AL",2020-03-03,"Biden",8,9,TRUE,1,0,0
"Alabama","AL",2020-03-03,"Biden",9,9,TRUE,1,0,0
"Alabama","AL",2020-03-03,"Biden",10,9,TRUE,1,0,0
"Alabama","AL",2020-03-03,"Biden",11,9,TRUE,1,0,0
"Alabama","AL",2020-03-03,"Biden",12,9,TRUE,1,0,0
"Alabama","AL",2020-03-03,"Biden",13,9,TRUE,1,0,0
"Alabama","AL",2020-03-03,"Biden",14,9,TRUE,1,0,0
"Alabama","AL",2020-03-03,"Biden",15,9,TRUE,1,0,0
"Alabama","AL",2020-03-03,"Biden",16,9,TRUE,1,0,0
"Alabama","AL",2020-03-03,"Biden",17,9,TRUE,1,0,0
"Alabama","AL",2020-03-03,"Biden",18,9,TRUE,1,0,0
"Alabama","AL",2020-03-03,"Biden",19,9,TRUE,1,0,0
"Alabama","AL",2020-03-03,"Sanders",21,6,TRUE,0,1,0
"Alabama","AL",2020-03-03,"Sanders",22,6,TRUE,0,1,0
"Alabama","AL",2020-03-03,"Sanders",23,6,TRUE,0,1,0
"Alabama","AL",2020-03-03,"Sanders",24,6,TRUE,0,1,0
"Alabama","AL",2020-03-03,"Sanders",21,7,TRUE,0,1,0
"Alabama","AL",2020-03-03,"Sanders",22,7,TRUE,0,1,0
"Alabama","AL",2020-03-03,"Sanders",23,7,TRUE,0,1,0
"Alabama","AL",2020-03-03,"Sanders",24,7,TRUE,0,1,0
"Arkansas","AR",2020-03-03,"Biden",1,10,TRUE,1,0,0
"Arkansas","AR",2020-03-03,"Biden",2,10,TRUE,1,0,0
"Arkansas","AR",2020-03-03,"Biden",3,10,TRUE,1,0,0
"Arkansas","AR",2020-03-03,"Biden",4,10,TRUE,1,0,0
"Arkansas","AR",2020-03-03,"Biden",5,10,TRUE,1,0,0
"Arkansas","AR",2020-03-03,"Biden",6,10,TRUE,1,0,0
"Arkansas","AR",2020-03-03,"Biden",7,10,TRUE,1,0,0
"Arkansas","AR",2020-03-03,"Biden",8,10,TRUE,1,0,0
"Arkansas","AR",2020-03-03,"Biden",9,10,TRUE,1,0,0
"Arkansas","AR",2020-03-03,"Biden",10,10,TRUE,1,0,0
"Arkansas","AR",2020-03-03,"Biden",11,10,TRUE,1,0,0
"Arkansas","AR",2020-03-03,"Biden",12,10,TRUE,1,0,0
"Arkansas","AR",2020-03-03,"Biden",13,10,TRUE,1,0,0
"Arkansas","AR",2020-03-03,"Biden",14,10,TRUE,1,0,0
"Arkansas","AR",2020-03-03,"Biden",15,10,TRUE,1,0,0
"Arkansas","AR",2020-03-03,"Biden",16,10,TRUE,1,0,0
"Arkansas","AR",2020-03-03,"Biden",17,10,TRUE,1,0,0
"Arkansas","AR",2020-03-03,"Other",23,8,TRUE,0,0,1
"Arkansas","AR",2020-03-03,"Other",23,9,TRUE,0,0,1
"Arkansas","AR",2020-03-03,"Other",22,10,TRUE,0,0,1
"Arkansas","AR",2020-03-03,"Other",23,10,TRUE,0,0,1
"Arkansas","AR",2020-03-03,"Other",23,11,TRUE,0,0,1
"Arkansas","AR",2020-03-03,"Sanders",21,8,TRUE,0,1,0
"Arkansas","AR",2020-03-03,"Sanders",22,8,TRUE,0,1,0
"Arkansas","AR",2020-03-03,"Sanders",20,9,TRUE,0,1,0
"Arkansas","AR",2020-03-03,"Sanders",21,9,TRUE,0,1,0
"Arkansas","AR",2020-03-03,"Sanders",22,9,TRUE,0,1,0
"Arkansas","AR",2020-03-03,"Sanders",18,10,TRUE,0,1,0
"Arkansas","AR",2020-03-03,"Sanders",19,10,TRUE,0,1,0
"Arkansas","AR",2020-03-03,"Sanders",20,10,TRUE,0,1,0
"Arkansas","AR",2020-03-03,"Sanders",21,10,TRUE,0,1,0
"American Samoa","AS",2020-03-03,"Other",24,8,TRUE,0,0,1
"American Samoa","AS",2020-03-03,"Other",24,9,TRUE,0,0,1
"American Samoa","AS",2020-03-03,"Other",24,10,TRUE,0,0,1
"American Samoa","AS",2020-03-03,"Other",24,11,TRUE,0,0,1
"American Samoa","AS",2020-03-03,"Other",24,12,TRUE,0,0,1
"American Samoa","AS",2020-03-03,"Other",24,13,TRUE,0,0,1
"Arizona","AZ",2020-03-17,"Biden",1,78,TRUE,1,0,0
"Arizona","AZ",2020-03-17,"Biden",2,78,TRUE,1,0,0
"Arizona","AZ",2020-03-17,"Biden",3,78,TRUE,1,0,0
"Arizona","AZ",2020-03-17,"Biden",4,78,TRUE,1,0,0
"Arizona","AZ",2020-03-17,"Biden",5,78,TRUE,1,0,0
"Arizona","AZ",2020-03-17,"Biden",6,78,TRUE,1,0,0
"Arizona","AZ",2020-03-17,"Biden",7,78,TRUE,1,0,0
"Arizona","AZ",2020-03-17,"Biden",8,78,TRUE,1,0,0
"Arizona","AZ",2020-03-17,"Biden",9,78,TRUE,1,0,0
"Arizona","AZ",2020-03-17,"Biden",10,78,TRUE,1,0,0
"Arizona","AZ",2020-03-17,"Biden",1,79,TRUE,1,0,0
