"state","candidate","col","row","actual","biden_share","sanders_share","other_share"
"AL","Biden",9,9,TRUE,1,0,0
"AL","Biden",10,9,TRUE,1,0,0
"AL","Biden",11,9,TRUE,1,0,0
"AL","Biden",12,9,TRUE,1,0,0
"AL","Biden",13,9,TRUE,1,0,0
"AL","Biden",14,9,TRUE,1,0,0
"AL","Biden",15,9,TRUE,1,0,0
"AL","Biden",16,9,TRUE,1,0,0
"AL","Biden",17,9,TRUE,1,0,0
"AL","Biden",18,9,TRUE,1,0,0
"AL","Biden",19,9,TRUE,1,0,0
"AL","Sanders",21,6,TRUE,0,1,0
"AL","Sanders",22,6,TRUE,0,1,0
"AL","Sanders",23,6,TRUE,0,1,0
"AL","Sanders",24,6,TRUE,0,1,0
"AL","Sanders",21,7,TRUE,0,1,0
"AL","Sanders",22,7,TRUE,0,1,0
"AL","Sanders",23,7,TRUE,0,1,0
"AL","Sanders",24,7,TRUE,0,1,0
"AR","Biden",1,10,TRUE,1,0,0
"AR","Biden",2,10,TRUE,1,0,0
"AR","Biden",3,10,TRUE,1,0,0
"AR","Biden",4,10,TRUE,1,0,0
"AR","Biden",5,10,TRUE,1,0,0
"AR","Biden",6,10,TRUE,1,0,0
"AR","Biden",7,10,TRUE,1,0,0
"AR","Biden",8,10,TRUE,1,0,0
"AR","Biden",9,10,TRUE,1,0,0
"AR","Biden",10,10,TRUE,1,0,0
"AR","Biden",11,10,TRUE,1,0,0
"AR","Biden",12,10,TRUE,1,0,0
"AR","Biden",13,10,TRUE,1,0,0
"AR","Biden",14,10,TRUE,1,0,0
"AR","Biden",15,10,TRUE,1,0,0
"AR","Biden",16,10,TRUE,1,0,0
"AR","Biden",17,10,TRUE,1,0,0
"AR","Other",23,8,TRUE,0,0,1
"AR","Other",23,9,TRUE,0,0,1
"AR","Other",22,10,TRUE,0,0,1
"AR","Other",23,10,TRUE,0,0,1
"AR","Other",23,11,TRUE,0,0,1
"AR","Sanders",21,8,TRUE,0,1,0
"AR","Sanders",22,8,TRUE,0,1,0
"AR","Sanders",20,9,TRUE,0,1,0
"AR","Sanders",21,9,TRUE,0,1,0
"AR","Sanders",22,9,TRUE,0,1,0
"AR","Sanders",18,10,TRUE,0,1,0
"AR","Sanders",19,10,TRUE,0,1,0
"AR","Sanders",20,10,TRUE,0,1,0
"AR","Sanders",21,10,TRUE,0,1,0
"AS","Other",24,8,TRUE,0,0,1
"AS","Other",24,9,TRUE,0,0,1
"AS","Other",24,10,TRUE,0,0,1
"AS","Other",24,11,TRUE,0,0,1
"AS","Other",24,12,TRUE,0,0,1
"AS","Other",24,13,TRUE,0,0,1
"AZ","Biden",1,78,TRUE,1,0,0
"AZ","Biden",2,78,TRUE,1,0,0
"AZ","Biden",3,78,TRUE,1,0,0
"AZ","Biden",4,78,TRUE,1,0,0
"AZ","Biden",5,78,TRUE,1,0,0
"AZ","Biden",6,78,TRUE,1,0,0
"AZ","Biden",7,78,TRUE,1,0,0
"AZ","Biden",8,78,TRUE,1,0,0
"AZ","Biden",9,78,TRUE,1,0,0
"AZ","Biden",10,78,TRUE,1,0,0
"AZ","Biden",1,79,TRUE,1,0,0
"AZ","Biden",2,79,TRUE,1,0,0
"AZ","Biden",3,79,TRUE,1,0,0
"AZ","Biden",4,79,TRUE,1,0,0
"AZ","Biden",5,79,TRUE,1,0,0
"AZ","Biden",6,79,TRUE,1,0,0
"AZ","Biden",7,79,TRUE,1,0,0
"AZ","Biden",8,79,TRUE,1,0,0
"AZ","Biden",1,80,FALSE,1,0,0
"AZ","Biden",2,80,FALSE,1,0,0
"AZ","Biden",3,80,FALSE,1,0,0
"AZ","Biden",4,80,FALSE,1,0,0
"AZ","Biden",5,80,FALSE,1,0,0
"AZ","Biden",6,80,FALSE,1,0,0
"AZ","Biden",7,80,FALSE,1,0,0
"AZ","Biden",8,80,FALSE,1,0,0
"AZ","Sanders",17,78,TRUE,0,1,0
"AZ","Sanders",18,78,TRUE,0,1,0
"AZ","Sanders",19,78,TRUE,0,1,0
"AZ","Sanders",20,78,TRUE,0,1,0
"AZ","Sanders",21,78,TRUE,0,1,0
"AZ","Sanders",22,78,TRUE,0,1,0
"AZ","Sanders",23,78,TRUE,0,1,0
"AZ","Sanders",24,78,TRUE,0,1,0
"AZ","Sanders",18,79,TRUE,0,1,0
"AZ","Sanders",19,79,TRUE,0,1,0
"AZ","Sanders",20,79,TRUE,0,1,0
"AZ","Sanders",21,79,TRUE,0,1,0
"AZ","Sanders",22,79,TRUE,0,1,0
"AZ","Sanders",23,79,TRUE,0,1,0
"AZ","Sanders",24,79,TRUE,0,1,0
"AZ","Sanders",18,80,FALSE,0,1,0
"AZ","Sanders",19,80,FALSE,0,1,0
"AZ","Sanders",20,80,FALSE,0,1,0
"AZ","Sanders",21,80,FALSE,0,1,0
"AZ","Sanders",22,80,FALSE,0,1,0
"AZ","Sanders",23,80,FALSE,0,1,0
"AZ","Sanders",24,80,FALSE,0,1,0
"AZ","Unassigned",16,78,TRUE,0,0,0
"AZ","Unassigned",9,79,TRUE,0,0,0
"AZ","Unassigned",10,79,TRUE,0,0,0
"AZ","Unassigned",15,79,TRUE,0,0,0
"AZ","Unassigned",16,79,TRUE,0,0,0
"AZ","Unassigned",17,79,TRUE,0,0,0
"AZ","Unassigned",9,80,FALSE,0,0,0
"AZ","Unassigned",10,80,FALSE,0,0,0
"AZ","Unassigned",11,80,FALSE,0,0,0
"AZ","Unassigned",12,80,FALSE,0,0,0
"AZ","Unassigned",13,80,FALSE,0,0,0
"AZ","Unassigned",14,80,FALSE,0,0,0
"AZ","Unassigned",15,80,FALSE,0,0,0
"AZ","Unassigned",16,80,FALSE,0,0,0
"AZ","Unassigned",17,80,FALSE,0,0,0
"AZ","Unassigned",14,81,FALSE,0,0,0
"AZ","Unassigned",15,81,FALSE,0,0,0
"AZ","Unassigned",16,81,FALSE,0,0,0
"AZ","Unassigned",17,81,FALSE,0,0,0
"CA","Biden",1,11,TRUE,1,0,0
"CA","Biden",2,11,TRUE,1,0,0
"CA","Biden",3,11,TRUE,1,0,0
"CA","Biden",4,11,TRUE,1,0,0
"CA","Biden",5,11,TRUE,1,0,0
"CA","Biden",6,11,TRUE,1,0,0
"CA","Biden",7,11,TRUE,1,0,0
"CA","Biden",8,11,TRUE,1,0,0
"CA","Biden",9,11,TRUE,1,0,0
"CA","Biden",1,12,TRUE,1,0,0
"CA","Biden",2,12,TRUE,1,0,0
"CA","Biden",3,12,TRUE,1,0,0
"CA","Biden",4,12,TRUE,1,0,0
"CA","Biden",5,12,TRUE,1,0,0
"CA","Biden",6,12,TRUE,1,0,0
"CA","Biden",7,12,TRUE,1,0,0
"CA","Biden",8,12,TRUE,1,0,0
"CA","Biden",9,12,TRUE,1,0,0
"CA","Biden",1,13,TRUE,1,0,0
"CA","Biden",2,13,TRUE,1,0,0
"CA","Biden",3,13,TRUE,1,0,0
"CA","Biden",4,13,TRUE,1,0,0
"CA","Biden",5,13,TRUE,1,0,0
"CA","Biden",6,13,TRUE,1,0,0
"CA","Biden",7,13,TRUE,1,0,0
"CA","Biden",8,13,TRUE,1,0,0
"CA","Biden",9,13,TRUE,1,0,0
"CA","Biden",1,14,TRUE,1,0,0
"CA","Biden",2,14,TRUE,1,0,0
"CA","Biden",3,14,TRUE,1,0,0
"CA","Biden",4,14,TRUE,1,0,0
"CA","Biden",5,14,TRUE,1,0,0
"CA","Biden",6,14,TRUE,1,0,0
"CA","Biden",7,14,TRUE,1,0,0
"CA","Biden",8,14,TRUE,1,0,0
"CA","Biden",9,14,TRUE,1,0,0
"CA","Biden",1,15,TRUE,1,0,0
"CA","Biden",2,15,TRUE,1,0,0
"CA","Biden",3,15,TRUE,1,0,0
"CA","Biden",4,15,TRUE,1,0,0
"CA","Biden",5,15,TRUE,1,0,0
"CA","Biden",6,15,TRUE,1,0,0
"CA","Biden",7,15,TRUE,1,0,0
"CA","Biden",8,15,TRUE,1,0,0
"CA","Biden",9,15,TRUE,1,0,0
"CA","Biden",1,16,TRUE,1,0,0
"CA","Biden",2,16,TRUE,1,0,0
"CA","Biden",3,16,TRUE,1,0,0
"CA","Biden",4,16,TRUE,1,0,0
"CA","Biden",5,16,TRUE,1,0,0
"CA","Biden",6,16,TRUE,1,0,0
"CA","Biden",7,16,TRUE,1,0,0
"CA","Biden",8,16,TRUE,1,0,0
"CA","Biden",9,16,TRUE,1,0,0
"CA","Biden",1,17,TRUE,1,0,0
"CA","Biden",2,17,TRUE,1,0,0
"CA","Biden",3,17,TRUE,1,0,0
"CA","Biden",4,17,TRUE,1,0,0
"CA","Biden",5,17,TRUE,1,0,0
"CA","Biden",6,17,TRUE,1,0,0
"CA","Biden",7,17,TRUE,1,0,0
"CA","Biden",8,17,TRUE,1,0,0
"CA","Biden",9,17,TRUE,1,0,0
"CA","Biden",1,18,TRUE,1,0,0
"CA","Biden",2,18,TRUE,1,0,0
"CA","Biden",3,18,TRUE,1,0,0
"CA","Biden",4,18,TRUE,1,0,0
"CA","Biden",5,18,TRUE,1,0,0
"CA","Biden",6,18,TRUE,1,0,0
"CA","Biden",7,18,TRUE,1,0,0
"CA","Biden",8,18,TRUE,1,0,0
