"state","state_abb","date","primary","candidate","col","row","actual","biden_share","sanders_share","other_share","nth_del"
"Alabama","AL",2020-03-03,TRUE,"Biden",2,9,TRUE,1,0,0,81
"Alabama","AL",2020-03-03,TRUE,"Biden",3,9,TRUE,1,0,0,82
"Alabama","AL",2020-03-03,TRUE,"Biden",4,9,TRUE,1,0,0,83
"Alabama","AL",2020-03-03,TRUE,"Biden",5,9,TRUE,1,0,0,84
"Alabama","AL",2020-03-03,TRUE,"Biden",6,9,TRUE,1,0,0,85
"Alabama","AL",2020-03-03,TRUE,"Biden",7,9,TRUE,1,0,0,86
"Alabama","AL",2020-03-03,TRUE,"Biden",8,9,TRUE,1,0,0,87
"Alabama","AL",2020-03-03,TRUE,"Biden",9,9,TRUE,1,0,0,88
"Alabama","AL",2020-03-03,TRUE,"Biden",10,9,TRUE,1,0,0,89
"Alabama","AL",2020-03-03,TRUE,"Biden",11,9,TRUE,1,0,0,90
"Alabama","AL",2020-03-03,TRUE,"Biden",12,9,TRUE,1,0,0,91
"Alabama","AL",2020-03-03,TRUE,"Biden",13,9,TRUE,1,0,0,92
"Alabama","AL",2020-03-03,TRUE,"Biden",14,9,TRUE,1,0,0,93
"Alabama","AL",2020-03-03,TRUE,"Biden",15,9,TRUE,1,0,0,94
"Alabama","AL",2020-03-03,TRUE,"Biden",16,9,TRUE,1,0,0,95
"Alabama","AL",2020-03-03,TRUE,"Biden",17,9,TRUE,1,0,0,96
"Alabama","AL",2020-03-03,TRUE,"Biden",18,9,TRUE,1,0,0,97
"Alabama","AL",2020-03-03,TRUE,"Biden",19,9,TRUE,1,0,0,98
"Alabama","AL",2020-03-03,TRUE,"Sanders",21,6,TRUE,0,1,0,61
"Alabama","AL",2020-03-03,TRUE,"Sanders",22,6,TRUE,0,1,0,62
"Alabama","AL",2020-03-03,TRUE,"Sanders",23,6,TRUE,0,1,0,63
"Alabama","AL",2020-03-03,TRUE,"Sanders",24,6,TRUE,0,1,0,64
"Alabama","AL",2020-03-03,TRUE,"Sanders",21,7,TRUE,0,1,0,65
"Alabama","AL",2020-03-03,TRUE,"Sanders",22,7,TRUE,0,1,0,66
"Alabama","AL",2020-03-03,TRUE,"Sanders",23,7,TRUE,0,1,0,67
"Alabama","AL",2020-03-03,TRUE,"Sanders",24,7,TRUE,0,1,0,68
"Arkansas","AR",2020-03-03,TRUE,"Biden",1,10,TRUE,1,0,0,99
"Arkansas","AR",2020-03-03,TRUE,"Biden",2,10,TRUE,1,0,0,100
"Arkansas","AR",2020-03-03,TRUE,"Biden",3,10,TRUE,1,0,0,101
"Arkansas","AR",2020-03-03,TRUE,"Biden",4,10,TRUE,1,0,0,102
"Arkansas","AR",2020-03-03,TRUE,"Biden",5,10,TRUE,1,0,0,103
"Arkansas","AR",2020-03-03,TRUE,"Biden",6,10,TRUE,1,0,0,104
"Arkansas","AR",2020-03-03,TRUE,"Biden",7,10,TRUE,1,0,0,105
"Arkansas","AR",2020-03-03,TRUE,"Biden",8,10,TRUE,1,0,0,106
"Arkansas","AR",2020-03-03,TRUE,"Biden",9,10,TRUE,1,0,0,107
"Arkansas","AR",2020-03-03,TRUE,"Biden",10,10,TRUE,1,0,0,108
"Arkansas","AR",2020-03-03,TRUE,"Biden",11,10,TRUE,1,0,0,109
"Arkansas","AR",2020-03-03,TRUE,"Biden",12,10,TRUE,1,0,0,110
"Arkansas","AR",2020-03-03,TRUE,"Biden",13,10,TRUE,1,0,0,111
"Arkansas","AR",2020-03-03,TRUE,"Biden",14,10,TRUE,1,0,0,112
"Arkansas","AR",2020-03-03,TRUE,"Biden",15,10,TRUE,1,0,0,113
"Arkansas","AR",2020-03-03,TRUE,"Biden",16,10,TRUE,1,0,0,114
"Arkansas","AR",2020-03-03,TRUE,"Biden",17,10,TRUE,1,0,0,115
"Arkansas","AR",2020-03-03,TRUE,"Other",23,8,TRUE,0,0,1,42
"Arkansas","AR",2020-03-03,TRUE,"Other",23,9,TRUE,0,0,1,44
"Arkansas","AR",2020-03-03,TRUE,"Other",22,10,TRUE,0,0,1,46
"Arkansas","AR",2020-03-03,TRUE,"Other",23,10,TRUE,0,0,1,47
"Arkansas","AR",2020-03-03,TRUE,"Other",23,11,TRUE,0,0,1,49
"Arkansas","AR",2020-03-03,TRUE,"Sanders",21,8,TRUE,0,1,0,69
"Arkansas","AR",2020-03-03,TRUE,"Sanders",22,8,TRUE,0,1,0,70
"Arkansas","AR",2020-03-03,TRUE,"Sanders",20,9,TRUE,0,1,0,71
"Arkansas","AR",2020-03-03,TRUE,"Sanders",21,9,TRUE,0,1,0,72
"Arkansas","AR",2020-03-03,TRUE,"Sanders",22,9,TRUE,0,1,0,73
"Arkansas","AR",2020-03-03,TRUE,"Sanders",18,10,TRUE,0,1,0,74
"Arkansas","AR",2020-03-03,TRUE,"Sanders",19,10,TRUE,0,1,0,75
"Arkansas","AR",2020-03-03,TRUE,"Sanders",20,10,TRUE,0,1,0,76
"Arkansas","AR",2020-03-03,TRUE,"Sanders",21,10,TRUE,0,1,0,77
"American Samoa","AS",2020-03-03,FALSE,"Other",24,8,TRUE,0,0,1,43
"American Samoa","AS",2020-03-03,FALSE,"Other",24,9,TRUE,0,0,1,45
"American Samoa","AS",2020-03-03,FALSE,"Other",24,10,TRUE,0,0,1,48
"American Samoa","AS",2020-03-03,FALSE,"Other",24,11,TRUE,0,0,1,50
"American Samoa","AS",2020-03-03,FALSE,"Other",24,12,TRUE,0,0,1,52
"American Samoa","AS",2020-03-03,FALSE,"Other",24,13,TRUE,0,0,1,54
"Arizona","AZ",2020-03-17,TRUE,"Biden",1,79,TRUE,1,0,0,921
"Arizona","AZ",2020-03-17,TRUE,"Biden",2,79,TRUE,1,0,0,922
"Arizona","AZ",2020-03-17,TRUE,"Biden",3,79,TRUE,1,0,0,923
"Arizona","AZ",2020-03-17,TRUE,"Biden",4,79,TRUE,1,0,0,924
"Arizona","AZ",2020-03-17,TRUE,"Biden",5,79,TRUE,1,0,0,925
"Arizona","AZ",2020-03-17,TRUE,"Biden",6,79,TRUE,1,0,0,926
"Arizona","AZ",2020-03-17,TRUE,"Biden",7,79,TRUE,1,0,0,927
"Arizona","AZ",2020-03-17,TRUE,"Biden",8,79,TRUE,1,0,0,928
"Arizona","AZ",2020-03-17,TRUE,"Biden",9,79,TRUE,1,0,0,929
"Arizona","AZ",2020-03-17,TRUE,"Biden",10,79,TRUE,1,0,0,930
"Arizona","AZ",2020-03-17,TRUE,"Biden",1,80,TRUE,1,0,0,933
"Arizona","AZ",2020-03-17,TRUE,"Biden",2,80,TRUE,1,0,0,934
"Arizona","AZ",2020-03-17,TRUE,"Biden",3,80,TRUE,1,0,0,935
"Arizona","AZ",2020-03-17,TRUE,"Biden",4,80,TRUE,1,0,0,936
"Arizona","AZ",2020-03-17,TRUE,"Biden",5,80,TRUE,1,0,0,937
"Arizona","AZ",2020-03-17,TRUE,"Biden",6,80,TRUE,1,0,0,938
"Arizona","AZ",2020-03-17,TRUE,"Biden",7,80,TRUE,1,0,0,939
"Arizona","AZ",2020-03-17,TRUE,"Biden",8,80,TRUE,1,0,0,940
"Arizona","AZ",2020-03-17,TRUE,"Biden",9,80,TRUE,1,0,0,941
"Arizona","AZ",2020-03-17,TRUE,"Biden",10,80,TRUE,1,0,0,942
"Arizona","AZ",2020-03-17,TRUE,"Biden",11,80,TRUE,1,0,0,943
"Arizona","AZ",2020-03-17,TRUE,"Biden",12,80,TRUE,1,0,0,944
"Arizona","AZ",2020-03-17,TRUE,"Biden",13,80,TRUE,1,0,0,945
"Arizona","AZ",2020-03-17,TRUE,"Biden",14,80,TRUE,1,0,0,946
"Arizona","AZ",2020-03-17,TRUE,"Biden",1,81,TRUE,1,0,0,947
"Arizona","AZ",2020-03-17,TRUE,"Biden",2,81,TRUE,1,0,0,948
"Arizona","AZ",2020-03-17,TRUE,"Biden",3,81,TRUE,1,0,0,949
"Arizona","AZ",2020-03-17,TRUE,"Biden",4,81,TRUE,1,0,0,950
"Arizona","AZ",2020-03-17,TRUE,"Biden",5,81,TRUE,1,0,0,951
"Arizona","AZ",2020-03-17,TRUE,"Biden",6,81,TRUE,1,0,0,952
"Arizona","AZ",2020-03-17,TRUE,"Biden",7,81,TRUE,1,0,0,953
"Arizona","AZ",2020-03-17,TRUE,"Biden",8,81,TRUE,1,0,0,954
"Arizona","AZ",2020-03-17,TRUE,"Biden",9,81,TRUE,1,0,0,955
"Arizona","AZ",2020-03-17,TRUE,"Biden",10,81,TRUE,1,0,0,956
"Arizona","AZ",2020-03-17,TRUE,"Biden",11,81,TRUE,1,0,0,957
"Arizona","AZ",2020-03-17,TRUE,"Biden",12,81,TRUE,1,0,0,958
"Arizona","AZ",2020-03-17,TRUE,"Biden",13,81,TRUE,1,0,0,959
"Arizona","AZ",2020-03-17,TRUE,"Biden",14,81,TRUE,1,0,0,960
"Arizona","AZ",2020-03-17,TRUE,"Biden",15,81,TRUE,1,0,0,961
"Arizona","AZ",2020-03-17,TRUE,"Sanders",17,78,TRUE,0,1,0,766
"Arizona","AZ",2020-03-17,TRUE,"Sanders",18,78,TRUE,0,1,0,767
"Arizona","AZ",2020-03-17,TRUE,"Sanders",19,78,TRUE,0,1,0,768
"Arizona","AZ",2020-03-17,TRUE,"Sanders",20,78,TRUE,0,1,0,769
"Arizona","AZ",2020-03-17,TRUE,"Sanders",21,78,TRUE,0,1,0,770
