title,release_date,metacritic_score
The Lord of the Rings: The Return of the King,2003-12-17,94
Le Cercle Rouge (1970),2003-01-10,92
Lost in Translation,2003-09-12,91
The Triplets of Belleville,2003-11-26,91
American Splendor,2003-08-15,90
Finding Nemo,2003-05-30,90
Eyes Without a Face [re-release],2003-10-31,90
Capturing the Friedmans,2003-05-30,90
Investigation of a Citizen Above Suspicion [re-release],2003-04-04,89
Marooned in Iraq,2003-04-25,88
To Be and to Have,2003-09-19,87
I Vitelloni [re-release],2003-11-14,87
The Fog of War: Eleven Lessons from the Life of Robert S. McNamara,2003-12-19,87
Ten,2003-03-05,86
The Son,2003-01-10,86
Sweet Sixteen,2003-05-16,86
Love and Diane,2003-04-16,85
Grisbi (re-release),2003-09-05,85
The Man Without a Past,2003-04-04,84
Mystic River,2003-10-08,84
Dracula: Pages from a Virgin's Diary,2003-05-14,84
Bus 174,2003-10-08,83
Raising Victor Vargas,2003-03-28,83
Lilya 4-Ever,2003-04-18,83
The Magdalene Sisters,2003-08-01,83
Winged Migration,2003-04-18,82
School of Rock,2003-10-03,82
Crimson Gold,2003-01-16,82
Concert for George,2003-10-03,82
The Revolution Will Not Be Televised,2003-11-05,81
A Mighty Wind,2003-04-16,81
Master and Commander: The Far Side of the World,2003-11-14,81
The Station Agent,2003-10-03,81
My Architect,2003-11-12,81
Wattstax (re-released),2003-06-06,81
Chaos,2003-01-29,81
Spellbound,2003-04-30,80
Whale Rider,2003-06-06,80
In the Mirror of Maya Deren,2003-01-24,80
City of God,2003-01-17,79
Blind Spot. Hitler's Secretary,2003-01-24,79
My Flesh and Blood,2003-11-28,78
Painted Fire,2003-02-14,78
Amandla! A Revolution in Four Part Harmony,2003-02-19,78
Dirty Pretty Things,2003-07-18,78
Hukkle,2003-11-14,77
The Weather Underground,2003-06-04,77
Open Hearts,2003-02-21,77
Under the City's Skin,2003-03-14,77
Morning Sun,2003-10-22,76
In America,2003-11-26,76
Blue Car,2003-05-02,76
Japan,2003-03-19,76
Zhantai,2003-03-14,76
The Secret Lives of Dentists,2003-08-01,76
OT: Our Town,2003-08-15,75
Pistol Opera,2003-06-13,75
Power Trip,2003-12-12,75
Man on the Train,2003-05-09,75
Lost in La Mancha,2003-01-31,75
Tibet: Cry of the Snow Lion,2003-09-19,75
Lawless Heart,2003-02-21,75
In This World,2003-09-19,75
Monster,2003-12-24,74
Divine Intervention,2003-01-17,74
The Nazi Officer's Wife,2003-06-13,74
Japanese Story,2003-12-31,73
28 Days Later...,2003-06-27,73
My Terrorist,2003-06-25,73
Cuban Rafters,2003-07-23,73
Cold Mountain,2003-12-25,73
The Company,2003-12-25,73
Shattered Glass,2003-10-31,73
Stevie,2003-03-28,72
Stone Reader,2003-02-12,72
Millennium Mambo,2003-12-31,72
Girl with a Pearl Earring,2003-12-12,72
Seabiscuit,2003-07-25,72
Charlotte Sometimes,2003-05-02,72
Nowhere in Africa,2003-03-07,72
Step Into Liquid,2003-08-08,72
Secret Lives: Hidden Children and Their Rescuers During WWII,2003-05-16,71
Manito,2003-06-13,71
Marion Bridge,2003-04-11,71
All the Real Girls,2003-02-14,71
Holes,2003-04-18,71
Intolerable Cruelty,2003-10-10,71
The Embalmer,2003-07-18,71
Carnage,2003-09-05,71
A Woman Is a Woman,2003-05-16,71
House of Sand and Fog,2003-12-19,71
Rana's Wedding,2003-08-22,71
Yossi & Jagger,2003-09-24,70
The Barbarian Invasions,2003-11-21,70
Swimming Pool,2003-07-02,70
Owning Mahowny,2003-05-02,70
