title,release_date,metacritic_score
Boyhood,2014-07-11,100
Mr. Turner,2014-12-19,94
Leviathan,2014-12-25,92
A Summer's Tale,2014-06-20,91
Ida,2014-05-02,91
Big Men,2014-03-14,90
The Overnighters,2014-10-10,89
Whiplash,2014-10-10,89
National Gallery,2014-11-05,89
The Tale of The Princess Kaguya,2014-10-17,89
"Two Days, One Night",2014-12-24,89
Manuscripts Don't Burn,2014-06-13,88
The Grand Budapest Hotel,2014-03-07,88
Winter Sleep,2014-12-19,88
Citizenfour,2014-10-24,88
Birdman or (The Unexpected Virtue of Ignorance),2014-10-17,87
Level Five,2014-08-15,87
We Are the Best!,2014-05-30,87
Particle Fever,2014-03-05,87
Life Itself,2014-07-04,87
The King and the Mockingbird,2014-11-21,87
Force Majeure,2014-10-24,87
Stand Clear of the Closing Doors,2014-05-23,86
Last Days in Vietnam,2014-09-05,86
The Babadook,2014-11-28,86
Manakamana,2014-04-18,86
Maidan,2014-12-12,86
Ernest & Célestine,2014-02-28,86
Song of the Sea,2014-12-19,85
Ilo Ilo,2014-04-04,85
Night Will Fall,2014-11-21,85
Tales of the Grim Sleeper,2014-12-26,85
Watchers of the Sky,2014-10-17,85
Snowpiercer,2014-06-27,84
Stray Dogs,2014-09-12,84
The LEGO Movie,2014-02-07,83
Gloria,2014-01-24,83
Burning Bush,2014-06-11,83
Red Army,2014-11-14,83
Locke,2014-04-25,83
"20,000 Days on Earth",2014-09-17,83
Levitated Mass,2014-09-05,82
Under the Skin,2014-04-04,82
"Flamenco, Flamenco",2014-11-21,82
Archipelago,2014-06-27,82
Love Is Strange,2014-08-22,82
Stranger by the Lake,2014-01-24,82
Elena,2014-05-30,81
Top Five,2014-12-12,81
Foxcatcher,2014-11-14,81
Inherent Vice,2014-12-12,81
Wrinkles,2014-07-04,81
A Girl Walks Home Alone at Night,2014-11-21,81
Closed Curtain,2014-07-09,81
The Empty Hours,2014-07-11,81
Starred Up,2014-08-27,81
"Norte, the End of History",2014-06-20,81
Elaine Stritch: Shoot Me,2014-02-21,81
She's Beautiful When She's Angry,2014-12-05,80
Concerning Violence,2014-12-05,80
The Strange Little Cat,2014-08-01,80
Glen Campbell: I'll Be Me,2014-10-24,79
Pride,2014-09-26,79
A Most Violent Year,2014-12-31,79
Gone Girl,2014-10-03,79
Policeman,2014-06-13,79
Dear White People,2014-10-17,79
Jodorowsky's Dune,2014-03-21,79
Only Lovers Left Alive,2014-04-11,79
Selma,2014-12-25,79
Dawn of the Planet of the Apes,2014-07-11,79
For Those in Peril,2014-10-03,79
Rocks in My Pockets,2014-09-03,78
Born to Fly,2014-09-10,78
Blue Ruin,2014-04-25,78
Tracks,2014-09-19,78
The Case Against 8,2014-06-06,78
Abuse of Weakness,2014-08-15,77
Wetlands,2014-09-05,77
Expedition to the End of the World,2014-08-20,77
Revenge of the Mekons,2014-10-29,77
Child's Pose,2014-02-19,77
Calvary,2014-08-01,77
Keep On Keepin' On,2014-09-19,77
The Immigrant,2014-05-16,77
Code Black,2014-06-20,77
How to Train Your Dragon 2,2014-06-13,77
Fifi Howls from Happiness,2014-08-08,76
Guardians of the Galaxy,2014-08-01,76
Actress,2014-11-07,76
It Felt Like Love,2014-03-21,76
The Lunchbox,2014-02-28,76
Housebound,2014-10-17,76
The Dog,2014-08-08,76
The Guest,2014-09-17,76
Listen Up Philip,2014-10-17,76
Horses of God,2014-05-14,76
Afternoon of a Faun: Tanaquil Le Clercq,2014-02-05,76
The Dance of Reality,2014-05-23,76
Obvious Child,2014-06-06,76
Nightcrawler,2014-10-31,76
Happy Valley,2014-11-19,76
Kids for Cash,2014-02-07,75
Frank,2014-08-15,75
