title,release_date,metacritic_score
Rififi (re-release),2000-07-21,97
A Hard Day's Night (re-release),2000-12-01,96
Yi Yi,2000-10-06,94
"Crouching Tiger, Hidden Dragon",2000-12-08,94
The Discreet Charm of the Bourgeoisie [re-release],2000-05-12,93
Beau Travail,2000-03-31,91
Almost Famous,2000-09-13,90
Chicken Run,2000-06-21,88
The Wind Will Carry Us,2000-07-28,87
Traffic,2000-12-27,86
Before Night Falls,2000-12-22,85
You Can Count on Me,2000-11-10,85
Sound and Fury,2000-10-25,85
Paragraph 175,2000-09-13,85
Calle 54,2000-10-20,84
Dream of Light,2000-05-05,82
One Day in September,2000-11-17,82
The Filth and the Fury,2000-04-07,82
George Washington,2000-10-27,82
I'm the One That I Want,2000-07-07,81
The Color of Paradise,2000-03-24,80
Set Me Free,2000-04-14,80
Human Resources,2000-09-15,80
Two Family House,2000-10-06,79
Two Family House,2000-10-06,79
Chunhyangdyun,2000-12-29,79
High Fidelity,2000-03-31,79
Beautiful People,2000-02-18,79
Madadayo,2000-09-01,79
Praise,2000-06-23,79
Into the Arms of Strangers: Stories of the Kindertransport,2000-09-15,79
The House of Mirth,2000-12-22,78
Thirteen,2000-06-02,78
A Time for Drunken Horses,2000-10-27,78
Best in Show,2000-09-27,78
Ça commence aujourd'hui,2000-09-08,78
Ratcatcher,2000-10-13,77
The Virgin Suicides,2000-04-21,77
Pollock,2000-12-15,77
Humanité,2000-06-16,77
The Decline of Western Civilization Part III,2000-07-07,77
Shanghai Noon,2000-05-26,77
Kirikou and the Sorceress,2000-10-27,77
Jesus' Son,2000-06-16,76
Chuck & Buck,2000-07-14,76
Things You Can Tell Just by Looking at Her,2000-01-22,76
Suzhou River,2000-11-08,76
State and Main,2000-12-22,75
Taboo,2000-10-06,75
The Life and Times of Hank Greenberg,2000-02-18,75
Croupier,2000-04-21,75
Girl on the Bridge,2000-07-28,75
Kippur,2000-11-03,75
Dark Days,2000-08-30,75
The Specialist,2000-04-14,75
Solas,2000-09-08,75
Joe Gould's Secret,2000-04-07,74
Wonder Boys,2000-02-25,74
Judy Berlin,2000-02-25,74
East Is East,2000-04-14,74
The Legend of Drunken Master,2000-10-20,74
A Good Baby,2000-12-01,74
Billy Elliot,2000-10-13,74
Place Vendôme,2000-08-18,74
Such a Long Journey,2000-03-24,74
Shower,2000-07-07,74
Les convoyeurs attendent,2000-03-17,73
Cast Away,2000-12-22,73
Water Drops on Burning Rocks,2000-07-14,73
Erin Brockovich,2000-03-17,73
Urbania,2000-09-15,73
Meet the Parents,2000-10-06,73
Beyond the Mat,2000-03-17,73
Titanic Town,2000-09-01,73
Space Cowboys,2000-08-04,73
Not One Less,2000-02-18,73
The Original Kings of Comedy,2000-08-18,73
Marcel Proust's Time Regained,2000-06-16,72
Love & Basketball,2000-04-21,72
Aimee & Jaguar,2000-08-11,72
Lupin III: The Castle of Cagliostro,2000-01-01,72
The Ballad of Ramblin' Jack,2000-08-18,72
Wonderland,2000-07-28,71
Me & Isaac Newton,2000-11-03,71
The Opportunists,2000-08-11,71
Benjamin Smoke,2000-07-21,71
The Great Dance: A Hunter's Story,2000-09-29,71
Requiem for a Dream,2000-10-06,71
Shadow of the Vampire,2000-12-29,71
Sunshine,2000-06-09,71
The Tao of Steve,2000-08-04,70
Hamlet,2000-05-12,70
Quills,2000-11-22,70
Shadow Boxers,2000-05-12,70
The Cup,2000-01-28,70
Girlfight,2000-09-29,70
Better Living Through Circuitry,2000-05-26,70
The Emperor's New Groove,2000-12-15,70
Kadosh,2000-05-12,70
Butterfly Tongues,2000-06-16,69
Small Time Crooks,2000-05-19,69
Nurse Betty,2000-09-08,69
The Girl Next Door,2000-04-14,69
The Last September,2000-04-21,69
The Eyes of Tammy Faye,2000-07-21,69
"O Brother, Where Art Thou?",2000-12-22,69
Adorenarin doraibu,2000-05-05,69
Alice et Martin,2000-07-21,68
Winter Sleepers,2000-03-22,68
Theeviravaathi: The Terrorist,2000-02-25,68
Ghost Dog: The Way of the Samurai,2000-03-03,68
Santitos,2000-01-28,68
Gladiator,2000-05-05,67
Thirteen Days,2000-12-25,67
An Affair of Love,2000-08-11,67
Frequency,2000-04-28,67
La nouvelle Ève,2000-05-05,66
Chutney Popcorn,2000-09-22,66
La bûche,2000-11-17,66
Animal Factory,2000-10-13,65
A Room for Romeo Brass,2000-10-27,65
Pola X,2000-09-08,65
Timecode,2000-04-28,65
Dr T and the Women,2000-10-13,64
The Tic Code,2000-08-04,64
Vénus beauté (institut),2000-10-27,64
American Psycho,2000-04-14,64
Grass,2000-06-02,64
Chocolat,2000-12-15,64
X-Men,2000-07-14,64
Dancer in the Dark,2000-09-22,63
The Patriot,2000-06-28,63
Boiler Room,2000-02-18,63
Saving Grace,2000-08-04,62
Pop & Me,2000-06-09,62
Southpaw,2000-04-07,62
The Gift,2000-12-20,62
Rugrats in Paris: The Movie - Rugrats II,2000-11-17,62
The Claim,2000-12-29,62
Finding Forrester,2000-12-20,62
U-571,2000-04-21,62
Unbreakable,2000-11-22,62
Restaurant,2000-04-07,62
One,2000-10-13,61
