title,release_date,metacritic_score
Small Axe: Lovers Rock,2020-11-27,95
Collective,2020-11-20,95
David Byrne’s American Utopia,2020-10-17,93
Never Rarely Sometimes Always,2020-03-13,92
Time,2020-10-09,91
First Cow,2020-03-06,90
Small Axe: Mangrove,2020-11-20,90
Minari,2020-12-11,89
Gunda,2020-12-11,89
Dick Johnson Is Dead,2020-10-02,89
City Hall,2020-10-28,88
Nomadland,2020-12-04,88
Hamilton,2020-07-03,88
Wolfwalkers,2020-11-13,87
Ma Rainey's Black Bottom,2020-11-25,87
Small Axe: Education,2020-12-18,87
Rewind,2020-05-08,87
What the Constitution Means to Me,2020-10-16,87
The Wolf House,2020-05-15,86
Divine Love,2020-11-13,86
Welcome to Chechnya,2020-06-30,86
Vitalina Varela,2020-02-21,86
Crip Camp: A Disability Revolution,2020-03-25,86
Athlete A,2020-06-24,85
To the Ends of the Earth,2020-12-11,85
Nomad: In the Footsteps of Bruce Chatwin,2020-08-26,85
Beanpole,2020-01-29,85
Black Is King,2020-07-31,84
76 Days,2020-12-04,84
"Small Axe: Red, White and Blue",2020-12-04,84
On the Record,2020-05-27,84
The Vast of Night,2020-05-29,84
Our Time Machine,2020-09-11,84
Boys State,2020-08-14,84
"Bloody Nose, Empty Pockets",2020-07-08,83
Soul,2020-12-25,83
I Wish I Knew,2020-01-24,83
Saint Frances,2020-02-28,83
One Night in Miami,2020-12-25,83
Palm Springs,2020-07-10,83
Driveways,2020-05-07,83
Dear Comrades!,2020-12-25,82
Residue,2020-09-17,82
House of Hummingbird,2020-06-26,82
Sorry We Missed You,2020-03-04,82
Sound of Metal,2020-11-20,82
Da 5 Bloods,2020-06-12,82
The Climb,2020-11-13,82
Oliver Sacks: His Own Life,2020-09-23,82
Bacurau,2020-03-06,82
A Thousand Cuts,2020-08-07,81
Make Up,2020-11-13,81
The Dissident,2020-12-25,81
Premature,2020-02-21,81
The Go-Go's,2020-07-31,81
"A White, White Day",2020-04-17,81
Coup 53,2020-08-19,80
She Dies Tomorrow,2020-07-31,80
Totally Under Control,2020-10-13,80
Cane River,2020-02-07,80
White Riot,2020-10-16,80
The Forty-Year-Old Version,2020-10-02,80
Ham on Rye,2020-10-23,80
Desert One,2020-08-21,80
The Nest,2020-09-18,80
Jezebel,2020-01-17,80
Mank,2020-11-13,79
The Cordillera of Dreams,2020-02-12,79
Bad Education,2020-04-25,79
An Easy Girl,2020-08-13,79
Feels Good Man,2020-09-04,79
La Llorona,2020-08-06,79
Fourteen,2020-05-15,79
Disclosure,2020-06-19,79
The Assistant,2020-01-31,79
A Shaun the Sheep Movie: Farmageddon,2020-02-14,79
Another Round,2020-12-04,79
All In: The Fight for Democracy,2020-09-09,79
The Painter and the Thief,2020-05-22,79
Black Bear,2020-12-04,79
Les Misérables,2020-01-10,78
Kajillionaire,2020-09-25,78
"Crazy, Not Insane",2020-11-18,78
Beyond The Visible: Hilma af Klint,2020-04-17,78
Spontaneous,2020-10-02,78
The Social Dilemma,2020-09-09,78
i'm thinking of ending things,2020-09-04,78
The Bee Gees: How Can You Mend a Broken Heart,2020-12-12,78
My Darling Vivian,2020-06-19,78
Crock of Gold: A Few Rounds with Shane MacGowan,2020-12-04,77
The Personal History of David Copperfield,2020-08-28,77
A Secret Love,2020-04-29,77
Corpus Christi,2020-02-19,77
Buoyancy,2020-09-11,77
Babyteeth,2020-06-19,77
Human Nature,2020-03-13,77
Marona's Fantastic Tale,2020-06-12,77
Incitement,2020-01-31,77
The Twentieth Century,2020-11-20,77
Relic,2020-07-10,77
Small Axe: Alex Wheatle,2020-12-11,77
We Are Little Zombies,2020-07-10,76
Zappa,2020-11-27,76
The Trial of the Chicago 7,2020-09-25,76
The Whistlers,2020-02-28,76
Mucho Mucho Amor,2020-07-08,76
Red Penguins,2020-08-04,76
The Wild Goose Lake,2020-03-06,76
The Godfather Coda: The Death of Michael Corleone,2020-12-04,76
Shirley,2020-06-05,76
Howard,2020-08-07,76
The Truth,2020-07-03,76
Yourself and Yours,2020-06-05,75
Farewell Amor,2020-12-11,75
José,2020-01-31,75
Zombi Child,2020-01-24,75
Queer Japan,2020-12-11,75
Dirty God,2020-11-13,75
Leap of Faith: William Friedkin on the Exorcist,2020-11-19,75
Hammer,2020-06-05,75
Martin Eden,2020-10-16,75
Diana Kennedy: Nothing Fancy,2020-05-22,75
Mayor,2020-12-02,75
Heimat is a Space in Time,2020-03-13,75
True History of the Kelly Gang,2020-04-24,75
The Kid Detective,2020-10-16,74
Children of the Sea,2020-09-01,74
Beastie Boys Story,2020-04-24,74
Ghost Town Anthology,2020-04-21,74
The Half of It,2020-05-01,74
Sylvie's Love,2020-12-23,74
The Infiltrators,2020-05-01,74
Assassins,2020-12-11,74
Father Soldier Son,2020-07-17,74
Circus of Books,2020-04-22,74
The Ghost of Peter Sellers,2020-05-22,74
End of Sentence,2020-05-29,74
Beats,2020-06-26,74
The Surrogate,2020-06-12,73
On the Rocks,2020-10-02,73
Miss Juneteenth,2020-06-19,73
The Fight,2020-07-31,73
Robin's Wish,2020-09-01,73
This Is Not a Movie,2020-10-16,73
Mystify: Michael Hutchence,2020-01-07,73
Hill of Freedom,2020-06-12,73
Spaceship Earth,2020-05-08,73
Coming Home Again,2020-10-23,73
Host,2020-07-30,73
The Platform,2020-03-20,73
Slay the Dragon,2020-04-03,73
News of the World,2020-12-25,73
Fire Will Come,2020-10-30,73
Bruce Springsteen's Letter to You,2020-10-23,73
Coded Bias,2020-11-11,73
Jimmy Carter: Rock & Roll President,2020-09-09,73
Ammonite,2020-11-13,72
Shithouse,2020-10-16,72
Promising Young Woman,2020-12-25,72
Belushi,2020-11-22,72
Blow the Man Down,2020-03-20,72
His House,2020-10-30,72
Let Them All Talk,2020-12-10,72
Weathering with You,2020-01-15,72
Extra Ordinary,2020-03-06,72
Fireball: Visitors from Darker Worlds,2020-11-13,72
Goldie,2020-02-21,72
The Painted Bird,2020-07-17,72
