title,release_date,metacritic_score
Moonlight,2016-10-21,99
Manchester by the Sea,2016-11-18,96
I Am Not Your Negro,2016-12-09,95
La La Land,2016-12-09,94
Toni Erdmann,2016-12-25,93
One More Time with Feeling,2016-09-08,92
Tower,2016-10-12,92
Only Yesterday (1991),2016-01-01,90
Paths of the Soul,2016-05-13,90
Paterson,2016-12-28,90
The Fits,2016-06-03,90
Elle,2016-11-11,89
Cameraperson,2016-09-09,89
Things to Come,2016-12-02,88
Hell or High Water,2016-08-12,88
Aquarius,2016-10-14,88
Cemetery of Splendor,2016-03-04,88
Newtown,2016-10-07,87
Fire at Sea,2016-10-21,87
Love & Friendship,2016-05-13,87
My Golden Days,2016-03-18,87
Krisha,2016-03-18,86
Little Men,2016-08-05,86
The Treasure,2016-01-08,85
April and the Extraordinary World,2016-03-25,85
Kaili Blues,2016-05-20,85
Everybody Wants Some!!,2016-03-30,85
The Handmaiden,2016-10-21,85
Fireworks Wednesday (2006),2016-03-16,84
Aferim!,2016-01-22,84
The Witch,2016-02-19,84
Kubo and the Two Strings,2016-08-19,84
Weiner,2016-05-20,84
De Palma,2016-06-10,83
Under the Shadow,2016-10-07,83
20th Century Women,2016-12-28,83
Ixcanul,2016-08-19,83
Being 17,2016-10-07,83
Don't Think Twice,2016-07-22,83
The Love Witch,2016-11-11,82
The Lobster,2016-05-13,82
Rams,2016-02-03,82
Nuts!,2016-06-22,82
Embrace of the Serpent,2016-02-17,82
Certain Women,2016-10-14,82
Neruda,2016-12-16,82
No Home Movie,2016-04-01,81
13th,2016-10-07,81
Arrival,2016-11-11,81
Closet Monster,2016-09-23,81
Jackie,2016-12-02,81
Under the Sun,2016-07-06,81
Best Worst Thing That Ever Could Have Happened,2016-11-18,81
Moana,2016-11-23,81
The Wailing,2016-06-03,81
Hunt for the Wilderpeople,2016-06-24,81
A War,2016-02-12,81
"Right Now, Wrong Then",2016-06-24,81
Neon Bull,2016-04-08,80
Gleason,2016-07-29,80
Pervert Park,2016-05-20,80
American Honey,2016-09-30,80
Peter and the Farm,2016-11-04,80
Off the Rails,2016-11-04,80
Demon,2016-09-09,80
Mountains May Depart,2016-02-12,79
Loving,2016-11-04,79
Silence,2016-12-23,79
Green Room,2016-04-15,79
Colliding Dreams,2016-03-04,79
