title,release_date,metacritic_score
Fences,2016-12-16,79
The Witness,2016-06-03,79
Sing Street,2016-04-15,79
Indignation,2016-07-29,78
The Age of Shadows,2016-09-23,78
The Last Man on the Moon,2016-02-26,78
The Innocents,2016-07-01,78
Amanda Knox,2016-09-30,78
"I, Daniel Blake",2016-12-23,78
Hooligan Sparrow,2016-07-22,78
Zootopia,2016-03-04,78
Abortion: Stories Women Tell,2016-08-12,78
Command and Control,2016-09-14,77
Voyage of Time: The IMAX Experience,2016-10-07,77
Trapped,2016-03-04,77
Zero Days,2016-07-08,77
Finding Dory,2016-06-17,77
The Dark Horse,2016-04-01,77
The Jungle Book,2016-04-15,77
Miss Sharon Jones!,2016-07-29,77
Evolution,2016-11-25,77
Baden Baden,2016-11-25,77
Starving the Beast,2016-09-02,77
Presenting Princess Shaw,2016-05-27,77
Don't Call Me Son,2016-11-02,77
The Edge of Seventeen,2016-11-18,77
Dheepan,2016-05-06,76
Lo and Behold: Reveries of the Connected World,2016-08-19,76
Maggie's Plan,2016-05-20,76
A Monster Calls,2016-12-23,76
Creepy,2016-10-21,76
Midnight Special,2016-03-18,76
Spa Night,2016-08-19,76
Tickled,2016-06-17,76
Chevalier,2016-05-27,76
10 Cloverfield Lane,2016-03-11,76
Marguerite,2016-03-11,76
Into the Inferno,2016-10-28,76
Don't Blink - Robert Frank,2016-07-13,75
The Bad Kids,2016-12-16,75
A Family Affair,2016-09-16,75
Notes on Blindness,2016-11-16,75
Diamond Tongues,2016-02-19,75
Dark Horse,2016-05-06,75
Time to Choose,2016-06-03,75
Mapplethorpe: Look at the Pictures,2016-03-25,75
Our Little Sister,2016-07-08,75
Tanna,2016-09-16,75
Morris from America,2016-08-19,75
Captain America: Civil War,2016-05-06,75
Nina Forever,2016-02-12,75
Land of Mine,2016-12-09,75
Kate Plays Christine,2016-08-24,75
Microbe and Gasoline,2016-07-01,75
National Bird,2016-11-11,75
"Life, Animated",2016-07-01,75
A Bigger Splash,2016-05-04,74
Southside with You,2016-08-26,74
The Measure of a Man,2016-04-15,74
The Invitation,2016-04-08,74
In the Shadow of Women,2016-01-15,74
Little Sister,2016-10-14,74
My Big Night,2016-04-15,74
Eat That Question: Frank Zappa in His Own Words,2016-06-24,74
Hidden Figures,2016-12-25,74
Sand Storm,2016-09-28,74
Miss Hokusai,2016-10-14,74
Sully,2016-09-09,74
Harry Benson: Shoot First,2016-12-09,74
In Order of Disappearance,2016-08-26,74
Fastball,2016-03-25,74
As I Open My Eyes,2016-09-09,74
Cosmos,2016-06-17,74
Land and Shade,2016-06-17,74
For the Love of Spock,2016-09-09,74
Older Than Ireland,2016-04-29,74
Among the Believers,2016-09-30,74
From Afar,2016-06-08,73
Eye in the Sky,2016-03-11,73
Queen of Katwe,2016-09-23,73
Sunset Song,2016-05-13,73
Transpecos,2016-09-09,73
Jim: The James Foley Story,2016-01-28,73
Train to Busan,2016-07-22,73
Uncle Howard,2016-11-18,73
The Clan,2016-03-18,73
Kill Zone 2,2016-05-13,73
The Ivory Game,2016-11-04,73
Audrie & Daisy,2016-09-23,73
Julieta,2016-12-21,73
The Club,2016-02-05,73
Richard Linklater: Dream Is Destiny,2016-08-05,73
Sky Ladder: The Art of Cai Guo-Qiang,2016-10-14,73
Almost Holy,2016-05-20,73
Neither Heaven Nor Earth,2016-08-05,72
Tale of Tales,2016-04-22,72
Captain Fantastic,2016-07-08,72
City of Gold,2016-03-11,72
Always Shine,2016-11-25,72
King Jack,2016-06-10,72
Breaking a Monster,2016-06-24,72
"Hail, Caesar!",2016-02-05,72
Christine,2016-10-14,72
Author: The JT LeRoy Story,2016-09-09,72
The Eagle Huntress,2016-11-02,72
Old Stone,2016-11-30,72
The Final Master,2016-06-03,72
Gimme Danger,2016-10-28,72
Barry,2016-12-16,72
The Beatles: Eight Days a Week - The Touring Years,2016-09-16,72
Summertime,2016-07-22,72
Doctor Strange,2016-11-04,72
A Space Program,2016-03-18,72
London Road,2016-09-09,71
A Monster with a Thousand Heads,2016-05-11,71
Pete's Dragon,2016-08-12,71
Divines,2016-11-18,71
King Georges,2016-02-26,71
Men Go to Battle,2016-07-08,71
When Two Worlds Collide,2016-08-17,71
Three,2016-06-24,71
Theo Who Lived,2016-09-30,71
Hacksaw Ridge,2016-11-04,71
Oasis: Supersonic,2016-10-26,71
Sweaty Betty,2016-01-08,71
Bobby Sands: 66 Days,2016-11-30,71
Don't Breathe,2016-08-26,71
Florence Foster Jenkins,2016-08-12,71
Francofonia,2016-04-01,71
Mavis!,2016-02-12,71
Tikkun,2016-06-10,71
Sworn Virgin,2016-04-22,70
The Music of Strangers: Yo-Yo Ma and the Silk Road Ensemble,2016-06-10,70
Long Way North,2016-09-30,70
Art Bastard,2016-06-03,70
Raiders!: The Story of the Greatest Fan Film Ever Made,2016-06-17,70
The Nice Guys,2016-05-20,70
The Little Prince,2016-08-05,70
Last Cab to Darwin,2016-06-10,70
Mia Madre,2016-08-26,70
Hunter Gatherer,2016-11-16,70
The Brand New Testament,2016-12-09,70
"Jia Zhangke, A guy from Fenyang",2016-05-27,70
A Man Called Ove,2016-09-30,70
Belladonna of Sadness (1973),2016-05-06,70
Louder Than Bombs,2016-04-08,70
Kicks,2016-09-09,69
The Mermaid,2016-02-19,69
Viva,2016-04-29,69
Lion,2016-11-25,69
Fatima,2016-08-26,69
Operation Avalanche,2016-09-16,69
Chronic,2016-09-23,69
Blue Jay,2016-10-07,69
The Birth of a Nation,2016-10-07,69
Patriots Day,2016-12-21,69
The Monster,2016-11-11,69
Eva Hesse,2016-04-27,69
Do Not Resist,2016-09-30,69
Star Trek Beyond,2016-07-22,68
"My Love, Don't Cross That River",2016-06-17,68
Equity,2016-07-29,68
Deepwater Horizon,2016-09-30,68
The Meddler,2016-04-22,68
I Am the Pretty Thing That Lives in the House,2016-10-28,68
The Wave,2016-03-04,68
The Childhood of a Leader,2016-07-22,68
Popstar: Never Stop Never Stopping,2016-06-03,68
Songs My Brothers Taught Me,2016-03-02,68
Imperium,2016-08-19,68
