title,release_date,metacritic_score
Our Body,2023-08-04,95
Past Lives,2023-06-02,94
Trenque Lauquen Parte II,2023-04-21,94
Trenque Lauquen Parte I,2023-04-21,94
De Humani Corporis Fabrica,2023-04-14,92
The Zone of Interest,2023-12-15,91
Saint Omer,2023-01-13,91
Menus Plaisirs - Les Troisgros,2023-11-22,91
The Boy and the Heron,2023-11-22,91
32 Sounds,2023-04-28,90
All of Us Strangers,2023-12-22,90
Oppenheimer,2023-07-21,89
Killers of the Flower Moon,2023-10-20,89
Ear for Eye,2023-04-14,88
"Our Father, the Devil",2023-08-25,87
Poor Things,2023-12-08,87
Mami Wata,2023-09-29,87
Walk Up,2023-03-24,87
All Dirt Roads Taste of Salt,2023-11-03,87
Blue Jean,2023-06-09,87
Renaissance: A Film by Beyoncé,2023-12-01,86
Anatomy of a Fall,2023-10-13,86
Fallen Leaves,2023-11-17,86
Spider-Man: Across the Spider-Verse,2023-06-02,86
"Orlando, My Political Biography",2023-11-10,86
The Delinquents,2023-10-18,86
May December,2023-11-17,86
Showing Up,2023-04-07,86
Alcarràs,2023-01-06,85
The Beasts,2023-07-28,85
The Wonderful Story of Henry Sugar,2023-09-20,85
Beyond Utopia,2023-10-23,84
Shin Ultraman,2023-01-11,84
"Are You There God? It's Me, Margaret",2023-04-28,84
Earth Mama,2023-07-07,84
Reality,2023-05-29,84
The Eternal Memory,2023-08-11,84
The Teachers' Lounge,2023-12-25,84
Stonewalling,2023-03-10,84
The Disappearance of Shere Hite,2023-11-17,83
The Blue Caftan,2023-02-10,83
20 Days in Mariupol,2023-07-14,83
Full Time,2023-02-03,83
Klondike,2023-08-04,83
Bait,2023-03-31,83
Taylor Swift: The Eras Tour,2023-10-13,83
Anselm,2023-12-08,82
Afire,2023-07-14,82
Mars One,2023-01-05,82
Joyland,2023-04-07,82
Rye Lane,2023-03-31,82
The Unknown Country,2023-07-28,82
The Holdovers,2023-10-27,82
The Taste of Things,2023-12-13,82
Smoke Sauna Sisterhood,2023-11-24,82
After Love,2023-01-20,81
Close,2023-01-27,81
Godland,2023-02-03,81
Little Richard: I Am Everything,2023-04-21,81
A Still Small Voice,2023-11-10,81
R.M.N.,2023-04-28,81
American Fiction,2023-12-15,81
Amanda,2023-07-07,81
Godzilla Minus One,2023-12-01,81
Bruiser,2023-02-24,81
Mission: Impossible – Dead Reckoning,2023-07-12,81
Monster,2023-11-22,81
The Night of the 12th,2023-05-19,81
Robot Dreams,2023-11-22,81
Huesera: The Bone Woman,2023-02-10,81
Rimini,2023-03-17,81
A Thousand and One,2023-03-31,81
King Coal,2023-08-11,80
Passages,2023-08-04,80
You Hurt My Feelings,2023-05-26,80
Four Daughters,2023-10-27,80
Barbie,2023-07-21,80
Personality Crisis: One Night Only,2023-04-14,80
In the Court of the Crimson King: King Crimson at 50,2023-11-03,80
Other People's Children,2023-04-21,80
Linoleum,2023-02-24,80
Nam June Paik: Moon Is the Oldest TV,2023-03-24,79
It Ain't Over,2023-05-12,79
A House Made of Splinters,2023-02-21,79
The Pigeon Tunnel,2023-10-20,79
Judy Blume Forever,2023-04-21,79
Return to Dust,2023-07-21,79
The First Slam Dunk,2023-07-28,79
The Three Musketeers - Part I: D'Artagnan,2023-12-08,79
Kokomo City,2023-07-28,79
Priscilla,2023-10-27,79
Still: A Michael J. Fox Movie,2023-05-12,78
Chile '76,2023-05-05,78
BlackBerry,2023-05-12,78
Tori and Lokita,2023-03-24,78
birth/rebirth,2023-08-18,78
John Wick: Chapter 4,2023-03-24,78
Enys Men,2023-03-31,78
Queens of the Qing Dynasty,2023-05-05,78
The Eight Mountains,2023-04-28,78
The Starling Girl,2023-05-12,78
Every Body,2023-06-30,77
The League,2023-07-07,77
Let It Be Morning,2023-02-03,77
The Royal Hotel,2023-10-06,77
Origin,2023-12-08,77
Perfect Days,2023-11-10,77
Suzume,2023-04-14,77
Maestro,2023-11-22,77
Piaffe,2023-08-25,76
The Blind Man Who Did Not Want to See Titanic,2023-02-03,76
The Stroll,2023-06-21,76
Flora and Son,2023-09-22,76
Talk to Me,2023-07-28,76
Squaring the Circle (The Story of Hipgnosis),2023-06-07,76
Cassandro,2023-09-15,76
Nostalgia,2023-01-27,76
American Symphony,2023-11-24,76
How to Blow Up a Pipeline,2023-04-07,76
Cinema Sabaya,2023-02-10,75
