title,release_date,metacritic_score
Carol,2015-11-20,94
45 Years,2015-12-23,94
Inside Out,2015-06-19,94
Sherpa,2015-10-02,93
Hard to Be a God,2015-01-30,93
Spotlight,2015-11-06,93
Timbuktu,2015-01-28,92
The Look of Silence,2015-07-17,92
Son of Saul,2015-12-18,91
Jafar Panahi's Taxi,2015-10-02,91
Mad Max: Fury Road,2015-05-15,90
Gett: The Trial of Viviane Amsalem,2015-02-13,90
Gangs of Wasseypur,2015-01-16,89
Phoenix,2015-07-24,89
Western,2015-09-25,89
Anomalisa,2015-12-30,88
Democrats,2015-11-18,88
Brooklyn,2015-11-04,88
Out 1: Noli Me Tangere (1971),2015-11-04,87
Of Men and War,2015-11-06,87
About Elly (2009),2015-04-08,87
The Diary of a Teenage Girl,2015-08-07,87
Listen to Me Marlon,2015-07-29,87
The Duke of Burgundy,2015-01-23,87
Tangerine,2015-07-10,86
Room,2015-10-16,86
Dreamcatcher,2015-03-20,86
Amy,2015-07-03,85
Girlhood,2015-01-30,85
Horse Money,2015-07-24,84
Heart of a Dog,2015-10-21,84
The Fool,2015-09-16,83
The Forbidden Room,2015-10-07,83
The Salt of the Earth,2015-03-27,83
Office,2015-09-18,83
'71,2015-02-27,83
Kurt Cobain: Montage of Heck,2015-04-24,83
Seymour: An Introduction,2015-03-13,83
Blind,2015-09-04,83
Mustang,2015-11-20,83
James White,2015-11-13,83
It Follows,2015-03-13,83
Court,2015-07-15,83
Creed,2015-11-25,82
The Second Mother,2015-08-28,82
The End of the Tour,2015-07-31,82
Rebels of the Neon God,2015-04-10,82
Steve Jobs,2015-10-09,82
Approaching the Elephant,2015-02-20,82
The Assassin,2015-10-16,82
In Jackson Heights,2015-11-04,82
Sicario,2015-09-18,82
Experimenter,2015-10-16,81
Eden,2015-06-19,81
"Arabian Nights: Volume 1, The Restless One",2015-12-04,81
Coming Home,2015-09-09,81
Bridge of Spies,2015-10-16,81
Shaun the Sheep Movie,2015-08-05,81
"Arabian Nights: Volume 2, The Desolate One",2015-12-11,81
Twinsters,2015-07-17,81
A Pigeon Sat on a Branch Reflecting on Existence,2015-06-03,81
Play,2015-01-14,81
The Big Short,2015-12-11,81
Goodnight Mommy,2015-09-11,81
Two Step,2015-07-31,81
The Martian,2015-10-02,80
We Come as Friends,2015-08-14,80
Theeb,2015-11-06,80
Love & Mercy,2015-06-05,80
Iris,2015-04-29,80
Star Wars: Episode VII - The Force Awakens,2015-12-18,80
Going Clear: Scientology and the Prison of Belief,2015-03-13,80
White God,2015-03-27,80
Boy and the World,2015-12-11,80
Finders Keepers,2015-09-25,80
The Pearl Button,2015-10-23,80
"Arabian Nights: Volume 3, The Enchanted One",2015-12-18,80
Winter on Fire: Ukraine's Fight for Freedom,2015-10-09,79
Stray Dog,2015-07-03,79
The Black Panthers: Vanguard of the Revolution,2015-09-02,79
Counting,2015-07-31,79
"Christmas, Again",2015-12-03,79
Hitchcock/Truffaut,2015-12-02,79
Clouds of Sils Maria,2015-04-10,79
Beasts of No Nation,2015-10-16,79
Tu Dors Nicole,2015-05-29,79
Don't Think I've Forgotten: Cambodia's Lost Rock and Roll,2015-04-22,79
Li'l Quinquin,2015-01-02,79
Welcome to Leith,2015-09-09,78
Breathe,2015-09-11,78
Ex Machina,2015-04-10,78
The Tribe,2015-06-17,78
Meru,2015-08-14,77
The Gift,2015-08-07,77
Victoria,2015-10-09,77
Queen of Earth,2015-08-26,77
Paddington,2015-01-16,77
Mississippi Grind,2015-09-25,77
Wild Tales,2015-02-20,77
Best of Enemies,2015-07-31,77
Buzzard,2015-03-06,77
The Hunting Ground,2015-02-27,77
While We're Young,2015-03-27,77
Mediterranea,2015-11-20,77
Prophet's Prey,2015-09-18,77
Güeros,2015-05-20,77
Grandma,2015-08-21,77
How to Change the World,2015-09-09,77
"3 1/2 Minutes, 10 Bullets",2015-06-19,77
Chi-Raq,2015-12-04,77
Jauja,2015-03-20,77
A Poem Is a Naked Person,2015-07-01,76
Testament of Youth,2015-06-05,76
99 Homes,2015-09-25,76
Cartel Land,2015-07-03,76
An Honest Liar,2015-03-06,76
The Wonders,2015-10-30,76
The Iron Ministry,2015-08-21,76
The Revenant,2015-12-25,76
Black Souls,2015-04-10,76
