title,release_date,metacritic_score
Tropic Thunder,2008-08-13,71
Trumbo,2008-06-27,71
My Brother Is an Only Child,2008-03-28,71
Horton Hears a Who!,2008-03-14,71
Roman de gare,2008-04-25,71
Standard Operating Procedure,2008-04-25,70
Vicky Cristina Barcelona,2008-08-15,70
The Curious Case of Benjamin Button,2008-12-25,70
Love Songs,2008-03-21,70
Caramel,2008-02-01,70
I.O.U.S.A.,2008-08-22,70
Dung che sai duk,2008-10-10,69
Revolutionary Road,2008-12-26,69
Frontrunners,2008-10-15,69
Giorni e nuvole,2008-07-11,69
The Bank Job,2008-03-07,69
Redbelt,2008-05-02,69
Chicago 10,2008-02-29,69
The Go-Getter,2008-06-06,69
Fear(s) of the Dark,2008-10-22,69
Operation Filmmaker,2008-06-04,69
The Business of Being Born,2008-01-09,68
"Moscow, Belgium",2008-12-19,68
August Evening,2008-09-05,68
Doubt,2008-12-12,68
Heartbeat Detector,2008-03-14,68
The Black Balloon,2008-12-05,68
Timecrimes,2008-12-12,68
Mad Detective,2008-07-18,68
Theater of War,2008-12-24,68
The Cool School,2008-03-28,68
Praying with Lior,2008-02-01,68
Forgetting Sarah Marshall,2008-04-18,67
Snow Angels,2008-03-07,67
In Bruges,2008-02-08,67
Bolt,2008-11-21,67
"Synecdoche, New York",2008-10-24,67
The Take,2008-04-11,67
XXY,2008-05-02,67
Meduzot,2008-04-04,67
Flow: For Love of Water,2008-09-12,67
The Year My Parents Went on Vacation,2008-02-15,67
Water Lilies,2008-04-04,67
Alice's House,2008-01-25,67
Son of Rambow,2008-05-02,66
Patti Smith: Dream of Life,2008-08-06,66
Diary of the Dead,2008-02-15,66
Boogie Man: The Lee Atwater Story,2008-09-26,66
Elegy,2008-08-08,66
American Teen,2008-07-25,66
Shelter,2008-03-21,66
Married Life,2008-03-07,65
Eden Lake,2008-10-31,65
Indiana Jones and the Kingdom of the Crystal Skull,2008-05-22,65
Scott Walker: 30 Century Man,2008-12-17,65
Battle for Haditha,2008-05-07,65
Cadillac Records,2008-12-05,65
Wanted,2008-06-27,64
Fighting for Life,2008-03-07,64
JCVD,2008-11-07,64
A Thousand Years of Good Prayers,2008-09-19,64
Che,2008-12-12,64
Brideshead Revisited,2008-07-25,64
Cloverfield,2008-01-18,64
Lion's Den,2008-05-15,64
Nick and Norah's Infinite Playlist,2008-10-03,64
Nothing But the Truth,2008-12-17,64
The Fall,2008-05-09,64
Pineapple Express,2008-08-06,64
Appaloosa,2008-09-19,64
In Search of a Midnight Kiss,2008-08-01,64
Planet B-Boy,2008-03-21,63
How She Move,2008-01-25,63
The Sisterhood of the Traveling Pants 2,2008-08-06,63
Changeling,2008-10-24,63
A Man Named Pearl,2008-07-11,63
Miss Pettigrew Lives for a Day,2008-03-07,63
Eden,2008-11-14,63
City of Men,2008-02-29,63
The Foot Fist Way,2008-05-30,63
Kit Kittredge: An American Girl,2008-06-20,63
The Signal,2008-02-22,63
Burn After Reading,2008-09-12,63
The Spiderwick Chronicles,2008-02-14,62
The Chronicles of Narnia: Prince Caspian,2008-05-16,62
Kabluey,2008-07-04,62
Medicine for Melancholy,2008-06-20,62
The Duchess,2008-09-19,62
"OSS 117: Cairo, Nest of Spies",2008-05-09,62
Expired,2008-06-20,62
Mister Foe,2008-09-05,62
Baghead,2008-07-25,62
Girls Rock!,2008-03-07,62
Stop-Loss,2008-03-28,61
Bustin' Down the Door,2008-07-25,61
Stuck,2008-05-30,61
The Wackness,2008-07-03,61
Brick Lane,2008-06-20,61
Madagascar: Escape 2 Africa,2008-11-07,61
Traitor,2008-08-27,61
Role Models,2008-11-07,61
Red,2008-08-08,61
The Incredible Hulk,2008-06-13,61
The Universe of Keith Haring,2008-10-24,61
Fugitive Pieces,2008-05-02,60
Blind Mountain,2008-03-12,60
Body of War,2008-04-09,60
Under the Same Moon (La misma luna),2008-03-19,59
Gunnin' for That #1 Spot,2008-06-27,59
A Very British Gangster,2008-07-18,59
We Are Wizards,2008-11-14,59
Hannah Montana & Miley Cyrus: Best of Both Worlds Concert,2008-02-01,59
"Definitely, Maybe",2008-02-14,59
Beautiful Losers,2008-08-08,59
The First Saturday in May,2008-04-18,58
Viva,2008-05-02,58
Adam Resurrected,2008-12-12,58
The Reader,2008-12-10,58
Defiance,2008-12-31,58
Quantum of Solace,2008-11-14,58
The Express,2008-10-10,58
Splinter,2008-10-31,58
City of Ember,2008-10-10,58
Felon,2008-07-18,58
Special,2008-11-21,57
Flawless,2008-03-28,57
Body of Lies,2008-10-10,57
Towelhead,2008-09-12,57
Teeth,2008-01-18,57
Smart People,2008-04-11,57
The Grand,2008-03-21,57
The Forbidden Kingdom,2008-04-18,57
The Amazing Truth About Queen Raquela,2008-09-26,57
The Secret Life of Bees,2008-10-17,57
The Hammer,2008-03-21,57
