title,release_date,metacritic_score
"4 Months, 3 Weeks and 2 Days",2008-01-23,97
WALL-E,2008-06-27,95
The Class,2008-12-19,92
Waltz with Bashir,2008-12-25,91
Man on Wire,2008-07-25,89
Flight of the Red Balloon,2008-04-04,86
The Edge of Heaven,2008-05-21,85
Alexandra,2008-03-26,85
Rachel Getting Married,2008-10-03,85
Slumdog Millionaire,2008-11-12,84
A Christmas Tale,2008-11-14,84
The Dark Knight,2008-07-18,84
Up the Yangtze,2008-04-25,84
My Winnipeg,2008-06-13,84
Momma's Man,2008-08-22,84
Ballast,2008-10-01,84
Happy-Go-Lucky,2008-10-10,84
Paranoid Park,2008-03-07,84
The Secret of the Grain,2008-12-24,83
Chop Shop,2008-02-27,83
Milk,2008-11-26,83
U2 3D,2008-01-23,83
Trouble the Water,2008-08-22,83
Tell No One,2008-07-02,82
Hunger,2008-12-05,82
Dear Zachary: A Letter to a Son About His Father,2008-10-31,82
Let the Right One In,2008-10-24,82
Taxi to the Dark Side,2008-01-18,82
Frozen River,2008-08-01,82
Stranded: I've Come from a Plane That Crashed on the Mountains,2008-10-22,82
Chris & Don. A Love Story,2008-06-13,81
Still Life,2008-01-18,81
Encounters at the End of the World,2008-06-11,80
Wendy and Lucy,2008-12-10,80
The Wrestler,2008-12-17,80
Bigger Stronger Faster*,2008-05-30,80
The Band's Visit,2008-02-08,80
Frost/Nixon,2008-12-05,80
Harvard Beats Yale 29-29,2008-11-19,79
I've Loved You So Long,2008-10-24,79
The Order of Myths,2008-07-25,79
Moving Midway,2008-09-12,79
Reprise,2008-05-16,79
Summer Palace,2008-01-18,79
The Visitor,2008-04-11,79
Iron Man,2008-05-02,79
Before I Forget,2008-07-18,78
Hellboy II: The Golden Army,2008-07-11,78
Pray the Devil Back to Hell,2008-11-07,78
The Counterfeiters,2008-02-22,78
Roman Polanski: Wanted and Desired,2008-07-11,78
The Last Mistress,2008-06-27,78
The Betrayal - Nerakhoon,2008-11-21,78
The Pool,2008-09-03,77
Shine a Light,2008-04-04,76
Shotgun Stories,2008-03-26,76
Anita O'Day: The Life of a Jazz Singer,2008-08-15,76
The Unforeseen,2008-02-29,76
Young@Heart,2008-04-09,75
Boy A,2008-07-23,75
The Witnesses,2008-02-01,75
Beauty in Trouble,2008-06-13,75
Mongol: The Rise of Genghis Khan,2008-06-06,74
Kung Fu Panda,2008-06-06,74
The Duchess of Langeais,2008-02-22,74
Woman on the Beach,2008-01-09,73
Obscene,2008-09-26,73
The Girl Cut in Two,2008-08-15,73
Gonzo: The Life and Work of Dr. Hunter S. Thompson,2008-07-04,73
Gran Torino,2008-12-12,72
Berlin,2008-07-18,72
A Secret,2008-09-05,72
Blindsight,2008-03-05,72
Full Battle Rattle,2008-07-09,72
Priceless,2008-03-28,72
Transsiberian,2008-07-18,72
I Served the King of England,2008-08-29,72
Ghost Town,2008-09-19,72
Surfwise,2008-05-09,72
Tuya's Marriage,2008-04-04,71
What Doesn't Kill You,2008-12-12,71
