title,release_date,metacritic_score
12 Years a Slave,2013-10-18,96
Gravity,2013-10-04,96
Before Midnight,2013-05-24,94
Inside Llewyn Davis,2013-12-06,93
Tristana (re-release),2013-02-22,93
The Act of Killing,2013-07-19,92
Stories We Tell,2013-05-10,91
Her,2013-12-18,91
The Gatekeepers,2013-02-01,91
Blue Is the Warmest Color,2013-10-25,90
American Hustle,2013-12-13,90
The Missing Picture,2013-10-04,87
All Is Lost,2013-10-18,87
Gideon's Army,2013-06-28,87
Nebraska,2013-11-15,86
Drug War,2013-07-26,86
The Great Beauty,2013-11-15,86
Let the Fire Burn,2013-10-02,86
The Past,2013-12-20,85
Fruitvale Station,2013-07-12,85
War Witch,2013-03-01,84
The Square,2013-10-25,84
Museum Hours,2013-06-28,84
The Wind Rises,2013-11-08,83
Blackfish,2013-07-19,83
20 Feet from Stardom,2013-06-14,83
La Camioneta: The Journey of One American School Bus,2013-05-31,83
The Selfish Giant,2013-12-20,83
56 Up,2013-01-04,83
Cutie and the Boxer,2013-08-16,83
These Birds Walk,2013-11-01,82
Viola,2013-07-12,82
Short Term 12,2013-08-23,82
Frances Ha,2013-05-17,82
A Hijacking,2013-06-21,82
The Spectacular Now,2013-08-02,82
Captain Phillips,2013-10-11,82
Blancanieves,2013-03-29,82
At Berkeley,2013-11-08,81
Wadjda,2013-09-13,81
Leviathan,2013-03-01,81
No,2013-02-15,81
Gimme the Loot,2013-03-22,81
Cousin Jules,2013-11-27,81
Upstream Color,2013-04-05,81
The World's End,2013-08-23,81
What Richard Did,2013-05-10,80
Room 237,2013-03-29,80
Call Me Kuchu,2013-06-14,80
Berberian Sound Studio,2013-06-14,80
Il Futuro,2013-09-06,80
The Last of the Unjust,2013-12-13,80
Which Way Is the Front Line from Here? The Life and Time of Tim Hetherington,2013-04-12,80
Beyond the Hills,2013-03-08,79
The Crash Reel,2013-07-05,79
Deceptive Practices: The Mysteries and Mentors of Ricky Jay,2013-04-17,79
In a World...,2013-08-09,79
Birders: The Central Park Effect ,2013-01-18,79
Fill the Void,2013-05-24,79
Our Children,2013-08-02,79
Enough Said,2013-09-18,78
In the Fog,2013-06-14,78
Blue Jasmine,2013-07-26,78
Pavilion,2013-03-01,78
Much Ado About Nothing,2013-06-07,78
Paradise: Hope,2013-12-06,78
Seduced and Abandoned,2013-10-18,77
Mother of George,2013-09-13,77
A River Changes Course,2013-10-04,77
Dallas Buyers Club,2013-11-01,77
God Loves Uganda,2013-10-11,77
Caesar Must Die,2013-02-06,77
A Band Called Death,2013-06-28,77
The Hunt,2013-07-12,77
A Touch of Sin,2013-10-04,77
Philomena,2013-11-22,77
Blue Caprice,2013-09-13,76
Like Someone in Love,2013-02-15,76
Something in the Air,2013-05-03,76
Ain't in It for My Health: A Film About Levon Helm,2013-04-19,76
Lore,2013-02-08,76
Dirty Wars,2013-06-07,76
Wolf Children,2013-09-27,76
This Ain't California,2013-04-12,76
Tokyo Waka: A City Poem,2013-08-28,76
We Steal Secrets: The Story of WikiLeaks,2013-05-24,76
Night Across the Street,2013-02-08,76
Tim's Vermeer,2013-12-06,76
Reality,2013-03-15,76
Mud,2013-04-26,76
The Hunger Games: Catching Fire,2013-11-22,76
Dead Man's Burden,2013-05-03,76
Is the Man Who Is Tall Happy?,2013-11-22,76
Sound City,2013-01-31,76
The Punk Singer,2013-11-29,75
The Wolf of Wall Street,2013-12-25,75
Muscle Shoals,2013-09-27,75
Harry Dean Stanton: Partly Fiction,2013-09-13,75
The Invisible Woman,2013-12-25,75
Side Effects,2013-02-08,75
Graceland,2013-04-26,75
Frozen,2013-11-27,75
What Maisie Knew,2013-05-03,74
Augustine,2013-05-17,74
The Stone Roses: Made of Stone,2013-11-06,74
Computer Chess,2013-07-17,74
Caucus,2013-11-08,74
Welcome to Pine Hill,2013-03-01,74
Rush,2013-09-20,74
Plimpton! Starring George Plimpton as Himself,2013-05-22,74
The Trials of Muhammad Ali,2013-08-23,74
Ain't Them Bodies Saints,2013-08-16,74
After Tiller,2013-09-20,74
The Attack,2013-06-21,74
Happy People: A Year in the Taiga,2013-01-25,74
An Oversimplification of Her Beauty,2013-04-26,74
Becoming Traviata,2013-05-15,74
The Pirogue,2013-01-23,74
Narco Cultura,2013-11-22,74
Laurence Anyways,2013-06-28,73
