title,release_date,metacritic_score
Army of Shadows,2006-04-28,99
Pan's Labyrinth,2006-12-29,98
Repulsion (re-release),2006-04-21,91
The Queen,2006-09-30,90
United 93,2006-04-28,90
The Lives of Others,2006-12-01,89
When the Levees Broke: A Requiem in Four Acts,2006-08-21,89
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006-11-03,89
Letters from Iwo Jima,2006-12-20,89
Overlord [re-release],2006-07-14,88
The Fallen Idol (re-release),2006-02-10,88
L'Enfant (The Child),2006-03-24,87
The Death of Mr. Lazarescu,2006-04-26,87
Fateless,2006-01-06,87
Deliver Us from Evil,2006-10-13,86
Our Daily Bread,2006-11-24,86
Andy Warhol: A Documentary Film,2006-09-01,86
The Departed,2006-10-06,85
Half Nelson,2006-08-11,85
Street Fight,2006-02-22,85
Neil Young: Heart of Gold,2006-02-10,85
Children of Men,2006-12-25,84
49 Up,2006-10-06,84
Old Joy,2006-09-20,84
Volver,2006-11-03,84
Lassie,2006-09-01,84
Dave Chappelle's Block Party,2006-03-03,84
Iraq in Fragments,2006-11-10,84
Mutual Appreciation,2006-09-01,84
Venus,2006-12-21,82
Three Times,2006-04-26,82
Days of Glory,2006-12-06,82
Requiem,2006-10-20,82
Black Orpheus,2006-02-24,81
The Devil's Miner,2006-03-17,81
Casino Royale,2006-11-17,80
Tristram Shandy: A Cock and Bull Story,2006-01-27,80
Little Miss Sunshine,2006-07-26,80
Jonestown: The Life and Death of Peoples Temple,2006-10-20,79
Gabrielle,2006-07-14,79
Flags of Our Fathers,2006-10-20,79
Deep Sea,2006-03-03,79
So Much So Fast,2006-10-11,79
Chats perchés,2006-12-20,79
The Real Dirt on Farmer John,2006-01-20,78
The Aura,2006-11-17,78
Pusher II: With Blood On My Hands,2006-08-18,78
Happy Feet,2006-11-17,77
51 Birch Street,2006-10-18,77
Shut Up & Sing,2006-10-27,77
The Devil and Daniel Johnston,2006-03-31,77
Mountain Patrol,2006-04-14,77
The War Tapes,2006-06-02,77
Little Fish,2006-02-24,77
Water,2006-04-28,77
Inside Man,2006-03-24,76
Dreamgirls,2006-12-15,76
The Ritchie Boys,2006-10-13,76
The Hidden Blade,2006-06-23,76
Sophie Scholl: The Final Days,2006-02-17,76
Sweet Land,2006-10-18,75
An Inconvenient Truth,2006-05-24,75
Lady Vengeance,2006-04-28,75
Little Children,2006-10-06,75
A Prairie Home Companion,2006-06-09,75
This Film Is Not Yet Rated,2006-09-01,75
The Bridesmaid,2006-08-04,74
The Ground Truth,2006-09-15,74
Iron Island,2006-03-31,74
Shakespeare Behind Bars,2006-03-10,74
Flushed Away,2006-11-03,74
Duck Season,2006-03-10,74
The Last King of Scotland,2006-09-27,74
Take My Eyes,2006-03-17,74
Commune,2006-11-03,74
The Heart of the Game,2006-06-09,74
The History Boys,2006-11-21,74
Sir! No Sir!,2006-04-07,74
"My Country, My Country",2006-08-04,74
State of Fear,2006-01-11,74
A Scanner Darkly,2006-07-07,73
Inland Empire,2006-12-06,73
Wordplay,2006-06-16,73
The Proposition,2006-05-05,73
Somersault,2006-04-21,73
Crossing the Bridge: The Sound of Istanbul,2006-06-09,73
The Cave of the Yellow Dog,2006-11-10,73
Heading South,2006-07-07,73
Cars,2006-06-09,73
The Puffy Chair,2006-06-02,73
Metal: A Headbanger's Journey,2006-04-14,73
Riding Alone for Thousands of Miles,2006-09-01,73
Notes on a Scandal,2006-12-27,73
The Fall of Fujimori,2006-01-18,73
Climates,2006-10-27,72
Quinceañera,2006-08-04,72
Superman Returns,2006-06-28,72
Tibet: A Buddhist Trilogy,2006-03-31,72
4,2006-04-07,72
Bubot Niyar,2006-09-01,72
Akeelah and the Bee,2006-04-28,72
Brick,2006-03-31,72
Pusher III: I'm the Angel of Death,2006-08-18,72
Sisters in Law,2006-04-12,71
Man Push Cart,2006-09-08,71
La Moustache,2006-05-24,71
King Leopold's Ghost,2006-08-18,71
Thank You for Smoking,2006-03-17,71
Factotum,2006-08-18,71
Le petit lieutenant,2006-09-08,71
Sketches of Frank Gehry,2006-05-12,71
The Descent,2006-08-04,71
I Like Killing Flies,2006-07-28,71
Our Brand Is Crisis,2006-03-01,71
The Motel,2006-06-28,70
Who the #$&% Is Jackson Pollock?,2006-11-15,70
The Blossoming of Maximo Oliveros,2006-09-22,70
Tsotsi,2006-02-24,70
House of Sand,2006-08-11,70
Merry Christmas,2006-03-03,70
Curse of the Golden Flower,2006-12-21,70
How to Eat Your Watermelon in White Company (and Enjoy It),2006-01-20,70
The Science of Sleep,2006-09-22,70
Who Killed the Electric Car?,2006-06-28,70
Only Human,2006-06-16,70
District B13,2006-06-02,70
Fearless,2006-09-22,70
Who Gets to Call It Art?,2006-02-01,70
Babel,2006-10-27,69
Slither,2006-03-31,69
The Beautiful City,2006-03-15,69
The Painted Veil,2006-12-20,69
Black Gold,2006-10-06,69
American Hardcore,2006-09-22,69
Forgiving Dr. Mengele,2006-02-24,69
Fan-Fan the Tulip,2006-07-21,69
Absolute Wilson,2006-10-27,69
Nathalie...,2006-04-14,69
Infamous,2006-10-13,68
Apocalypto,2006-12-08,68
Leonard Cohen: I'm Your Man,2006-06-21,68
Monster House,2006-07-21,68
The Illusionist,2006-08-18,68
Charlotte's Web,2006-12-15,68
