title,release_date,metacritic_score
The Leopard (re-release),2004-08-13,100
Fanny and Alexander (re-release),2004-05-21,100
The Battle of Algiers,2004-01-09,96
Sideways,2004-10-22,94
Days of Being Wild (re-release),2004-11-19,93
Moolaadé,2004-10-15,91
Before Sunset,2004-07-02,91
The Incredibles,2004-11-05,90
House of Flying Daggers,2004-12-03,89
Eternal Sunshine of the Spotless Mind,2004-03-19,89
Piccadilly [re-release],2004-01-23,89
Donnie Darko: The Director's Cut,2004-07-23,88
Maria Full of Grace,2004-07-16,87
Tarnation,2004-10-06,87
Million Dollar Baby,2004-12-15,86
The Umbrellas of Cherbourg (re-released),2004-02-13,86
Los Angeles Plays Itself,2004-07-28,86
Springtime in a Small Town,2004-05-14,86
Festival Express,2004-07-30,85
"Spring, Summer, Fall, Winter... and Spring",2004-04-02,85
Hero,2004-08-27,85
Since Otar Left,2004-04-30,85
Distant,2004-03-12,84
"Goodbye, Dragon Inn",2004-09-17,83
Osama,2004-02-06,83
Spider-Man 2,2004-06-30,83
Kill Bill: Vol. 2,2004-04-16,83
Vera Drake,2004-10-10,83
Harry Potter and the Prisoner of Azkaban,2004-06-04,82
The Agronomist,2004-04-23,82
Touching the Void,2004-01-23,82
Blissfully Yours,2004-09-24,82
The Return,2004-02-06,82
The Twilight Samurai,2004-04-23,82
Cowards Bend the Knee or The Blue Hands,2004-08-11,82
The Story of the Weeping Camel,2004-06-04,81
Bad Education,2004-11-19,81
Tom Dowd & the Language of Music,2004-01-16,80
Charlie: The Life and Art of Charles Chaplin,2004-02-13,80
Riding Giants,2004-07-09,80
Oasis,2004-05-07,79
Hotel Rwanda,2004-12-22,79
Kinsey,2004-11-12,79
Bright Leaves,2004-08-25,79
The Five Obstructions,2004-05-26,79
Godzilla,2004-05-07,79
Control Room,2004-05-21,79
Lightning in a Bottle,2004-10-22,78
Born Into Brothels: Calcutta's Red Light Kids,2004-12-08,78
Blind Shaft,2004-02-04,78
Lost Boys of Sudan,2004-02-18,78
The Saddest Music in the World,2004-04-30,78
Son frère,2004-04-02,78
The Aviator,2004-12-17,77
A Talking Picture,2004-12-10,77
Notre musique,2004-11-24,77
Home of the Brave,2004-10-27,77
Bukowski: Born into This,2004-05-28,77
Dig!,2004-10-01,76
This So-Called Disaster: Sam Shepard Directs the Late Henry Moss,2004-04-21,76
A Very Long Engagement,2004-11-26,76
Shaun of the Dead,2004-09-24,76
The Manchurian Candidate,2004-07-30,76
Tokyo Godfathers,2004-01-16,75
Fear and Trembling,2004-11-19,75
Knafayim Shvurot,2004-03-12,75
MC5*: A True Testimonial,2004-04-23,75
Infernal Affairs,2004-09-24,75
The Clay Bird,2004-04-30,75
Shrek 2,2004-05-19,75
The Blind Swordsman: Zatoichi,2004-07-23,75
The Motorcycle Diaries,2004-09-24,75
The Deserted Station,2004-12-03,75
Kitchen Stories,2004-02-20,75
Baadasssss!,2004-05-28,75
Guerrilla: The Taking of Patty Hearst,2004-11-26,75
S21: The Khmer Rouge Death Machine,2004-05-19,75
On the Run,2004-01-30,75
The Sea Inside,2004-12-17,74
Red Lights,2004-08-20,74
Raja,2004-03-26,74
End of the Century,2004-08-20,74
Mean Creek,2004-08-20,74
In the Realms of the Unreal,2004-12-22,74
The Keys to the House,2004-12-22,74
Metallica: Some Kind of Monster,2004-07-09,74
Teacher's Pet,2004-01-16,74
Arna's Children,2004-10-08,73
Chisholm '72: Unbought & Unbossed,2004-09-24,73
The Bourne Supremacy,2004-07-23,73
Big Animal,2004-02-20,73
After the Life,2004-02-13,73
I'm Not Scared,2004-04-09,73
Last Life in the Universe,2004-08-06,73
Super Size Me,2004-05-07,73
The Corporation,2004-06-04,73
The Scandal,2004-10-13,73
Ray,2004-10-29,73
"Broadway: The Golden Age, by the Legends Who Were There",2004-06-11,72
Hellboy,2004-04-02,72
The Mother,2004-05-28,72
The Woodsman,2004-12-24,72
Time of the Wolf,2004-06-25,71
Intimate Strangers,2004-07-30,71
The Tracker,2004-01-16,71
Dolls,2004-12-10,71
Superstar in a Housedress,2004-05-05,71
Aileen: Life and Death of a Serial Killer,2004-01-09,71
Divan,2004-03-17,71
Deadline,2004-06-04,71
Carandiru,2004-05-14,71
Collateral,2004-08-06,71
Mayor of the Sunset Strip,2004-03-26,71
Empathy,2004-01-21,70
Friday Night Lights,2004-10-08,70
Our Father,2004-02-20,70
Going Upriver: The Long War of John Kerry,2004-10-01,70
Donkey Skin (re-release),2004-12-24,70
Strayed,2004-05-14,70
Imelda,2004-06-09,69
People Say I'm Crazy,2004-04-30,69
Collateral Damages,2004-03-03,69
Vodka Lemon,2004-10-08,69
Wilbur Wants to Kill Himself,2004-03-12,69
The Yes Men,2004-09-24,68
Ghost in the Shell 2: Innocence,2004-09-17,68
Noi the Albino,2004-03-17,68
Goodbye Lenin!,2004-02-27,68
Hearts and Minds (re-release),2004-10-22,68
Bon voyage,2004-03-19,68
Miracle,2004-02-06,68
Purple Butterfly,2004-11-26,68
The Inheritance,2004-07-09,68
Primer,2004-10-08,68
Almost Peaceful,2004-08-20,67
The Door in the Floor,2004-07-14,67
Fahrenheit 9/11,2004-06-23,67
Finding Neverland,2004-11-12,67
Young Adam,2004-04-16,67
The SpongeBob SquarePants Movie,2004-11-19,67
"Jesus, You Know",2004-12-03,67
Garden State,2004-07-28,67
Hiding and Seeking: Faith and Tolerance After the Holocaust,2004-02-06,67
The Take,2004-09-22,66
