title,release_date,metacritic_score
Light From Light,2019-11-01,80
Too Late to Die Young,2019-05-31,80
All Is Well,2019-06-06,80
Mickey and the Bear,2019-11-13,79
Working Woman,2019-03-29,79
Midnight Traveler,2019-09-18,79
Funan,2019-06-07,79
Hotel by the River,2019-02-15,79
A Hidden Life,2019-12-13,79
Chained for Life,2019-09-13,79
Celebration,2019-10-02,79
Hustlers,2019-09-13,79
Gloria Bell,2019-03-08,79
Styx,2019-02-27,78
3 Faces,2019-03-08,78
"Love, Antosha",2019-08-02,78
Monos,2019-09-13,78
High Flying Bird,2019-02-08,78
Diego Maradona,2019-09-20,78
Avengers: Endgame,2019-04-26,78
Donbass,2019-01-11,78
Non-Fiction,2019-05-03,78
Only You,2019-12-03,78
1917,2019-12-25,78
High Life,2019-04-05,78
Clemency,2019-12-27,77
Linda Ronstadt: The Sound of My Voice,2019-09-06,77
Grass,2019-04-19,77
The Nightingale,2019-08-02,77
The Heiresses,2019-01-16,77
The Mustang,2019-03-15,77
La Flor,2019-08-02,77
First Love,2019-09-27,77
Promare,2019-09-17,76
Miles Davis: Birth of the Cool,2019-08-23,76
Be Natural: The Untold Story of Alice Guy-Blaché,2019-04-19,76
Dolemite Is My Name,2019-10-04,76
Citizen K,2019-11-22,76
The Breaker Upperers,2019-02-15,76
Hail Satan?,2019-04-17,76
Rojo,2019-07-12,76
Temblores,2019-11-29,76
The Image Book,2019-01-25,76
The Kingmaker,2019-11-08,76
Tigers Are Not Afraid,2019-08-23,76
Sharkwater Extinction,2019-03-01,76
Cold Case Hammarskjöld,2019-08-16,76
The Load,2019-08-30,75
"Ruben Brandt, Collector",2019-02-15,75
Sauvage / Wild,2019-04-10,75
Recorder: The Marion Stokes Project,2019-11-15,75
The Two Popes,2019-11-27,75
Fyre,2019-01-18,75
Satan & Adam,2019-04-12,75
The Plagiarists,2019-06-28,75
By the Grace of God,2019-10-18,75
The Eyes of Orson Welles,2019-03-15,75
Vision Portraits,2019-08-09,75
When Lambs Become Lions,2019-11-22,75
Hala,2019-11-22,75
Diamantino,2019-05-24,75
Slut in a Good Way,2019-03-29,74
Burning Cane,2019-10-25,74
Jawline,2019-08-23,74
Buñuel in the Labyrinth of the Turtles,2019-08-16,74
Daughter of Mine,2019-02-01,74
Egg,2019-01-18,74
See You Yesterday,2019-05-17,74
Raise Hell: The Life & Times of Molly Ivins,2019-08-30,74
Wild Nights with Emily,2019-04-12,74
Little Woods,2019-04-19,74
Jay Myself,2019-07-31,74
After Parkland,2019-11-29,74
Queen & Slim,2019-11-27,74
The Lavender Scare,2019-06-07,73
The Biggest Little Farm,2019-05-10,73
John Wick: Chapter 3 - Parabellum,2019-05-17,73
Sorry Angel,2019-02-15,73
The Raft,2019-06-07,73
Honey Boy,2019-11-08,73
Girl,2019-03-15,73
Share,2019-07-27,73
Dark Waters,2019-11-22,73
Brittany Runs A Marathon,2019-08-23,72
Sea of Shadows,2019-07-12,72
Meeting Gorbachev,2019-05-03,72
Mike Wallace Is Here,2019-07-26,72
Screwball,2019-03-29,72
Luce,2019-08-02,72
Suburban Birds,2019-04-05,72
Master Z: Ip Man Legacy,2019-04-12,72
El Camino: A Breaking Bad Movie,2019-10-11,72
Midsommar,2019-07-03,72
Arctic,2019-02-01,71
Untouchable,2019-09-02,71
Blue Note Records: Beyond the Notes,2019-06-14,71
Everybody's Everything,2019-11-15,71
Always in Season,2019-09-20,71
Anthropocene: The Human Epoch,2019-09-25,71
What Is Democracy?,2019-01-16,71
How to Train Your Dragon: The Hidden World,2019-02-22,71
The Disappearance of My Mother,2019-12-06,71
Ms. Purple,2019-09-06,71
The Third Wife,2019-05-15,71
Blinded by the Light,2019-08-16,71
Pasolini,2019-05-10,71
Dogman,2019-04-12,71
Sweetheart,2019-10-22,71
The Brink,2019-03-29,71
Shazam!,2019-04-05,71
Where's My Roy Cohn?,2019-09-20,70
Memory: The Origins of Alien,2019-10-04,70
Her Smell,2019-04-12,70
Sword of Trust,2019-07-12,70
Paddleton,2019-02-22,70
Tel Aviv on Fire,2019-08-02,70
Late Night,2019-06-07,70
Knife + Heart,2019-03-15,70
Fantastic Fungi,2019-10-11,70
The Peanut Butter Falcon,2019-08-09,70
The Day Shall Come,2019-09-27,70
Rocketman,2019-05-31,69
Penguins,2019-04-17,69
This Is Not Berlin,2019-08-09,69
The Competition,2019-02-22,69
The Changeover,2019-02-22,69
Togo,2019-12-20,69
Leto,2019-06-07,69
The Reports on Sarah and Saleem,2019-06-12,69
The Death of Dick Long,2019-09-27,69
Spider-Man: Far from Home,2019-07-02,69
Tell Me Who I Am,2019-10-18,69
Depraved,2019-09-13,69
Echo In the Canyon,2019-05-24,69
Greener Grass,2019-10-18,69
Marianne & Leonard: Words of Love,2019-07-05,69
The Elephant Queen,2019-10-18,69
Climax,2019-03-01,69
Fighting with My Family,2019-02-14,68
What She Said: The Art of Pauline Kael,2019-12-13,68
Ask Dr. Ruth,2019-05-10,68
What You Gonna Do When the World's on Fire?,2019-08-16,68
Richard Jewell,2019-12-13,68
Skid Row Marathon,2019-03-22,68
Everybody Knows,2019-02-08,68
Police Story 2 (1988),2019-03-08,68
A Vigilante,2019-03-29,68
Missing Link,2019-04-12,68
Pink Wall,2019-11-12,68
The Boy Who Harnessed the Wind,2019-03-01,68
Rafiki,2019-04-19,68
Just Mercy,2019-12-25,68
Asako I & II,2019-05-17,68
Feast of the Seven Fishes,2019-11-15,68
Never Look Away,2019-01-25,68
The Other Story,2019-06-28,68
American Woman,2019-06-14,68
Light of My Life,2019-08-09,67
Framing John DeLorean,2019-06-07,67
Woodstock: Three Days that Defined a Generation,2019-05-24,67
A Faithful Man,2019-07-19,67
The Great Hack,2019-07-24,67
In the Aisles,2019-06-14,67
Long Shot,2019-05-03,67
Queen of Hearts,2019-11-01,67
Storm Boy,2019-04-05,67
The Spy Behind Home Plate,2019-05-24,67
Giant Little Ones,2019-03-01,67
The Wind,2019-04-05,66
To Dust,2019-02-08,66
Peterloo,2019-04-05,66
The Sound of Silence,2019-09-13,66
The Report,2019-11-15,66
The Kid Who Would Be King,2019-01-25,66
Judy,2019-09-27,66
The Gospel of Eureka,2019-02-08,66
Pavarotti,2019-06-07,66
Harriet,2019-11-01,66
Gay Chorus Deep South,2019-10-30,66
Mine 9,2019-06-07,65
I See You,2019-12-06,65
Sunset,2019-03-22,65
The LEGO Movie 2: The Second Part,2019-02-08,65
Never Grow Old,2019-03-15,65
The Art of Self-Defense,2019-07-12,65
Klaus,2019-11-08,65
Bully. Coward. Victim. The Story of Roy Cohn,2019-10-05,65
"The Gangster, the Cop, the Devil",2019-06-07,65
Plus One,2019-06-14,65
Touch Me Not,2019-01-11,65
Photograph,2019-05-17,65
Frozen II,2019-11-22,64
The Vanishing,2019-01-04,64
Captain Marvel,2019-03-08,64
Adam,2019-08-14,64
Fast Color,2019-04-19,64
Always Be My Maybe,2019-05-31,64
Bombshell,2019-12-13,64
Ready or Not,2019-08-21,64
The Cotton Club Encore,2019-10-11,64
I Am Mother,2019-06-07,64
West of Sunshine,2019-01-18,64
Low Tide,2019-10-04,64
Downton Abbey,2019-09-20,64
Halston,2019-05-24,64
The Mountain,2019-07-26,64
Dora and the Lost City of Gold,2019-08-09,63
Official Secrets,2019-08-30,63
Don't Come Back from the Moon,2019-01-18,63
Native Son,2019-04-06,63
The Dead Center,2019-10-11,63
Piercing,2019-02-01,63
Perfect Strangers (Perfectos Desconocidos),2019-01-11,63
Walking on Water,2019-05-17,63
Villains,2019-09-20,63
Someone Great,2019-04-19,63
Luz,2019-07-19,63
Freaks,2019-09-13,63
The Hole in the Ground,2019-03-01,63
We Have Always Lived in the Castle,2019-05-17,63
This Changes Everything,2019-08-09,63
Hotel Mumbai,2019-03-22,62
American Dharma,2019-11-01,62
The Standoff at Sparrow Creek,2019-01-18,62
Ip Man 4: The Finale,2019-12-25,62
Yomeddine,2019-05-31,62
Ramen Shop,2019-03-22,62
The King,2019-10-11,62
Aniara,2019-05-17,61
Super Size Me 2: Holy Chicken!,2019-09-06,61
This One's for the Ladies,2019-06-07,61
Before You Know It,2019-08-30,61
At War,2019-07-19,61
Triple Frontier,2019-03-06,61
Daniel Isn't Real,2019-12-06,61
The White Crow,2019-04-26,61
Abominable,2019-09-27,61
Velvet Buzzsaw,2019-02-01,61
"Cyrano, My Love",2019-10-18,61
Scary Stories to Tell in the Dark,2019-08-09,61
Shooting the Mafia,2019-11-22,61
Nightmare Cinema,2019-06-21,60
All These Small Moments,2019-01-17,60
Dragged Across Concrete,2019-03-22,60
The Invisibles,2019-01-25,60
Scandalous: The Untold Story of the National Enquirer,2019-11-15,60
The Angry Birds Movie 2,2019-08-13,60
Isn't It Romantic,2019-02-13,60
The Kill Team,2019-10-25,60
The Perfection,2019-05-24,60
XY Chelsea,2019-05-10,60
Good Boys,2019-08-16,60
Family,2019-04-19,60
Motherless Brooklyn,2019-11-01,60
Crawl,2019-07-12,60
Ophelia,2019-06-28,60
The Aeronauts,2019-12-06,60
Little Joe,2019-12-06,60
Under the Silver Lake,2019-04-19,60
Fast & Furious Presents: Hobbs & Shaw,2019-08-01,60
Rust Creek,2019-01-04,59
Moonlight Sonata: Deafness in Three Movements,2019-09-13,59
Two Plains & a Fancy,2019-03-08,59
A Land Imagined,2019-04-12,59
Little Monsters,2019-10-08,59
Between Two Ferns: The Movie,2019-09-20,59
Doctor Sleep,2019-11-08,59
Joker,2019-10-03,59
Brian Banks,2019-08-09,58
It: Chapter Two,2019-09-06,58
The Highwaymen,2019-03-15,58
Bottom of the 9th,2019-07-19,58
Jojo Rabbit,2019-10-18,58
The Man Who Killed Don Quixote,2019-04-10,58
Skin,2019-07-26,58
Knives and Skin,2019-12-06,58
Jumanji: The Next Level,2019-12-13,58
The Hummingbird Project,2019-03-15,58
Armstrong,2019-07-12,57
Pet Sematary,2019-04-05,57
