title,release_date,metacritic_score
Parasite,2019-10-11,96
Portrait of a Lady on Fire,2019-12-06,95
The Irishman,2019-11-01,94
Marriage Story,2019-11-06,94
Uncut Gems,2019-12-13,92
Apocalypse Now: Final Cut,2019-08-15,92
The Souvenir,2019-05-17,92
Little Women,2019-12-25,91
63 Up,2019-11-27,89
For Sama,2019-07-26,89
The Farewell,2019-07-12,89
Long Day's Journey Into Night,2019-04-12,88
Apollo 11,2019-03-01,88
The Body Remembers When the World Broke Open,2019-11-22,87
Pain and Glory,2019-10-04,87
Genèse (Genesis),2019-08-23,87
Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,2019-06-12,87
Diane,2019-03-29,86
An Elephant Sitting Still,2019-03-08,86
One Cut of the Dead,2019-09-13,86
Black Mother,2019-03-08,86
The Wild Pear Tree,2019-01-30,86
American Factory,2019-08-21,86
Birds of Passage,2019-02-13,85
Ash Is Purest White,2019-03-15,85
Varda by Agnès,2019-11-22,85
Atlantics,2019-11-15,85
Honeyland,2019-07-26,85
One Child Nation,2019-08-09,85
Booksmart,2019-05-24,84
Toy Story 4,2019-06-21,84
In My Room,2019-10-11,84
Once Upon a Time ... in Hollywood,2019-07-26,84
Synonyms,2019-10-25,84
The Ground Beneath My Feet,2019-07-26,83
The Cave,2019-10-18,83
The Lighthouse,2019-10-18,83
Rosie,2019-07-19,83
Roll Red Roll,2019-03-22,83
Cunningham,2019-12-13,83
Transit,2019-03-01,82
Toni Morrison: The Pieces I Am,2019-06-21,82
Wrestle,2019-02-22,82
Relaxer,2019-03-22,82
Maiden,2019-06-28,82
Carmine Street Guitars,2019-04-24,82
Socrates,2019-08-09,82
Knives Out,2019-11-27,82
Angels Are Made of Light,2019-07-24,82
Give Me Liberty,2019-08-23,82
The Last Black Man in San Francisco,2019-06-07,82
Invisible Life,2019-12-20,81
I Do Not Care If We Go Down in History as Barbarians,2019-07-19,81
Midnight Family,2019-12-06,81
In Fabric,2019-12-06,81
Us,2019-03-22,81
Shadow,2019-05-03,81
The Edge of Democracy,2019-06-19,81
I Lost My Body,2019-11-15,81
Chinese Portrait,2019-12-13,81
17 Blocks,2019-11-01,81
Woman at War,2019-03-01,81
Ford v Ferrari,2019-11-15,81
The Chambermaid,2019-06-26,81
Ray & Liz,2019-07-10,81
The Proposal,2019-05-24,80
Western Stars,2019-10-25,80
Waves,2019-11-15,80
Knock Down the House,2019-05-01,80
Fiddler: A Miracle of Miracles,2019-08-23,80
End of the Century,2019-08-16,80
Making Waves: The Art of Cinematic Sound,2019-10-25,80
Wild Rose,2019-06-21,80
Ad Astra,2019-09-20,80
Babylon,2019-03-08,80
A Beautiful Day in the Neighborhood,2019-11-22,80
Firecrackers,2019-07-12,80
David Crosby: Remember My Name,2019-07-19,80
Aquarela,2019-08-16,80
Holiday,2019-02-08,80
