title,release_date,metacritic_score
The Girl Without Hands,2017-07-21,82
Our Time Will Come,2017-07-07,82
Blade Runner 2049,2017-10-06,81
Step,2017-08-04,81
The Levelling,2017-03-24,81
Truman,2017-04-07,81
Coco,2017-11-22,81
Dolores,2017-09-01,81
Raw,2017-03-10,81
A River Below,2017-11-03,81
White Sun,2017-09-06,81
Your Name.,2017-04-07,81
Menashe,2017-07-28,81
Unrest,2017-09-22,80
The Wound,2017-08-16,80
Trophy,2017-09-08,80
On the Beach at Night Alone,2017-11-17,80
The Meyerowitz Stories (New and Selected),2017-10-13,80
Bending the Arc,2017-10-06,80
Good Time,2017-08-11,80
Last Men in Aleppo,2017-05-03,80
Lucky,2017-09-29,80
The Survivalist,2017-05-19,80
The Force,2017-09-22,80
California Typewriter,2017-08-18,80
Indivisible,2017-09-15,80
Whose Streets?,2017-08-11,79
Sami Blood,2017-06-02,79
Walking Out,2017-10-06,79
Hermia & Helena,2017-05-26,79
Brawl in Cell Block 99,2017-10-06,79
Contemporary Color,2017-03-01,79
Long Strange Trip,2017-05-26,78
It Comes at Night,2017-06-09,78
Barracuda,2017-10-06,78
Clash,2017-08-25,78
One of Us,2017-10-20,78
A Silent Voice,2017-10-20,78
The Lost City of Z,2017-04-14,78
The Breadwinner,2017-11-17,78
Endless Poetry,2017-07-14,78
Beach Rats,2017-08-25,78
Tempestad,2017-10-20,78
Kedi,2017-02-10,78
Logan Lucky,2017-08-18,78
A Quiet Passion,2017-04-14,78
Tickling Giants,2017-03-15,78
Human Flow,2017-10-13,77
Icaros: A Vision,2017-05-19,77
Personal Shopper,2017-03-10,77
The Teacher,2017-08-30,77
The B-Side: Elsa Dorfman's Portrait Photography,2017-06-30,77
Win It All,2017-04-07,77
"I, Tonya",2017-12-08,77
"Jim & Andy: The Great Beyond — Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",2017-11-17,77
Apprentice,2017-03-03,77
The Beguiled,2017-06-23,77
Detroit,2017-07-28,77
Logan,2017-03-03,77
Gerald's Game,2017-09-29,77
The Disaster Artist,2017-12-01,76
Keep Quiet,2017-02-10,76
Spettacolo,2017-09-06,76
Tramps,2017-04-21,76
Lady Macbeth,2017-07-14,76
Night School,2017-06-09,76
Machines,2017-08-09,76
Their Finest,2017-04-07,76
The Death and Life of Marsha P. Johnson,2017-10-06,76
The Death of Louis XIV,2017-03-31,76
The Light of the Moon,2017-11-01,76
The Student,2017-04-21,76
Wonder Woman,2017-06-02,76
Stronger,2017-09-22,76
Birdboy: The Forgotten Children,2017-12-15,76
mother!,2017-09-15,76
The Lovers,2017-05-05,76
For Ahkeem,2017-10-13,75
Norman: The Moderate Rise and Tragic Fall of a New York Fixer,2017-04-14,75
From Nowhere,2017-02-17,75
It's Not Yet Dark,2017-08-04,75
The Settlers,2017-03-03,75
Dina,2017-10-06,75
Get Me Roger Stone,2017-05-12,75
I don't feel at home in this world anymore.,2017-02-24,75
David Lynch: The Art Life,2017-03-31,75
The Son of Joseph,2017-01-13,75
Félicité,2017-10-27,75
Darkest Hour,2017-11-22,75
Stefan Zweig: Farewell to Europe,2017-05-12,75
John Wick: Chapter 2,2017-02-10,75
Destination Unknown,2017-11-10,75
Super Dark Times,2017-09-29,75
The LEGO Batman Movie,2017-02-10,75
Afterimage,2017-05-19,75
Harold and Lillian: A Hollywood Love Story,2017-04-28,75
Okja,2017-06-28,75
Oklahoma City,2017-02-03,74
78/52: Hitchcock’s Shower Scene,2017-10-13,74
The Women's Balcony,2017-03-03,74
Like Crazy,2017-05-05,74
Paris 05:59: Théo & Hugo,2017-01-27,74
Casting JonBenét,2017-04-28,74
A Woman's Life,2017-05-05,74
Lovesong,2017-02-17,74
Thelma,2017-11-10,74
A Gray State,2017-11-03,74
Lost in Paris,2017-06-16,74
Raising Bertie,2017-06-09,74
Thor: Ragnarok,2017-11-03,74
Novitiate,2017-10-27,73
