title,release_date,metacritic_score
Dunkirk,2017-07-21,94
Faces Places,2017-10-06,94
Call Me by Your Name,2017-11-24,94
Lady Bird,2017-11-03,93
The Florida Project,2017-10-06,92
EX LIBRIS: The New York Public Library,2017-09-13,91
I Called Him Morgan,2017-03-24,90
Phantom Thread,2017-12-25,90
Uncertain,2017-03-10,89
Columbus,2017-08-04,89
In Transit,2017-06-23,88
"Three Billboards Outside Ebbing, Missouri",2017-11-10,88
Quest,2017-12-08,88
Foxtrot,2017-12-08,88
Restless Creature: Wendy Whelan,2017-05-24,87
The Farthest,2017-08-11,87
Jane,2017-10-20,87
My Journey Through French Cinema,2017-06-23,87
The Shape of Water,2017-12-01,87
Dawson City: Frozen Time,2017-06-09,86
The Red Turtle,2017-01-20,86
My Happy Family,2017-12-01,86
Chasing Coral,2017-07-14,86
Loveless,2017-12-01,86
The Big Sick,2017-06-23,86
City of Ghosts,2017-07-07,86
Strong Island,2017-09-15,86
Baby Driver,2017-06-28,86
The Salesman,2017-01-27,85
Get Out,2017-02-24,85
I Am Another You,2017-09-27,85
The Ornithologist,2017-06-23,85
Mudbound,2017-11-17,85
My Life as a Zucchini,2017-02-24,85
God's Own Country,2017-10-25,85
Behemoth,2017-01-27,85
The Departure,2017-10-13,85
Starless Dreams,2017-01-20,85
The Work,2017-10-20,84
After the Storm,2017-03-17,84
BPM (Beats Per Minute),2017-10-20,84
Harmonium,2017-06-16,84
Graduation,2017-04-07,84
The Other Side of Hope,2017-12-01,84
A Ghost Story,2017-07-07,84
Star Wars: Episode VIII - The Last Jedi,2017-12-15,84
Glory,2017-04-12,83
Rat Film,2017-09-15,83
The Post,2017-12-22,83
A Fantastic Woman,2017-11-17,83
The Happiest Day in the Life of Olli Mäki,2017-04-21,83
The Woman Who Left,2017-05-19,83
Nowhere to Hide,2017-06-23,82
War for the Planet of the Apes,2017-07-14,82
Marjorie Prime,2017-08-18,82
Sieranevada,2017-09-03,82
Heal the Living,2017-04-14,82
