title,release_date,metacritic_score
War of the Worlds,2005-06-29,73
New York Doll,2005-10-28,72
Charlie and the Chocolate Factory,2005-07-15,72
3-Iron,2005-04-29,72
The Tunnel,2005-04-29,72
Tell Them Who You Are,2005-05-13,72
The Aristocrats,2005-07-29,72
Army of One,2005-01-27,72
Walk the Line,2005-11-18,72
Control,2005-04-01,72
Match Point,2005-12-28,72
The Talent Given Us,2005-06-17,72
Isn't This a Time! A Tribute Concert for Harold Leventhal,2005-12-09,72
Paradise Now,2005-10-28,71
Land of the Dead,2005-06-24,71
Wal-Mart: The High Cost of Low Price,2005-11-04,71
Red Eye,2005-08-19,71
Travelers and Magicians,2005-01-28,71
Deep Blue,2005-06-03,71
Mad Hot Ballroom,2005-05-13,71
The Nomi Song,2005-02-04,71
Separate Lies,2005-09-16,71
Magnificent Desolation: Walking on the Moon 3D,2005-09-23,71
Aliens of the Deep,2005-01-28,71
71 Fragments of a Chronology of Chance,2005-10-26,71
The Boys of Baraka,2005-11-30,71
Games of Love and Chance,2005-08-31,71
Mrs Henderson Presents,2005-12-09,71
Double Dare,2005-04-22,70
Batman Begins,2005-06-15,70
Ushpizin,2005-10-19,70
Lost Embrace,2005-01-28,70
Electric Shadows,2005-12-16,70
Waging a Living,2005-06-22,70
Gunner Palace,2005-03-04,70
The Syrian Bride,2005-11-16,70
Twist of Faith,2005-07-01,70
The Letter: An American Town and the 'Somali Invasion',2005-02-09,70
Save the Green Planet!,2005-04-20,70
Pure,2005-06-17,70
Thumbsucker,2005-09-16,69
Up for Grabs,2005-05-06,69
Cinderella Man,2005-06-03,69
Be Here to Love Me: A Film About Townes Van Zandt,2005-12-02,69
This Divided State,2005-08-19,69
William Eggleston in the Real World,2005-08-31,69
"Good Morning, Night",2005-11-11,69
Ong Bak,2005-02-11,69
North Country,2005-10-14,68
The World's Fastest Indian,2005-12-07,68
The Edukators,2005-07-22,68
Pulse,2005-08-12,68
Hustle & Flow,2005-07-22,68
Off the Map,2005-03-11,68
The Last Mogul,2005-06-24,68
With God on Our Side: George W. Bush and the Rise of the Religious Right in America,2005-01-19,68
Star Wars: Episode III - Revenge of the Sith,2005-05-19,68
El Crimen Perfecto (The Perfect Crime),2005-08-19,68
The President's Last Bang,2005-10-14,68
Mondovino,2005-03-23,67
Melancholian 3 huonetta,2005-07-27,67
Last Days,2005-07-22,67
Mrs Palfrey at The Claremont,2005-11-25,67
The Ninth Day,2005-05-27,67
Watermarks,2005-01-21,67
Music from the Inside Out,2005-09-09,67
Schultze Gets the Blues,2005-02-18,67
Zathura: A Space Adventure,2005-11-11,67
The Swenkas,2005-11-09,67
The Goebbles Experiment,2005-08-12,67
Rock School,2005-06-03,67
We Jam Econo: The Story of the Minutemen,2005-08-26,66
Whisky,2005-03-04,66
On the Outs,2005-07-13,66
Three... Extremes,2005-10-28,66
Innocent Voices,2005-10-14,66
Steamboy,2005-03-18,66
Crash,2005-05-06,66
Beautiful Boxer,2005-01-21,66
