title,release_date,metacritic_score
The Passenger (re-release),2005-10-28,90
The Best of Youth,2005-03-02,89
Capote,2005-09-30,88
Nobody Knows,2005-02-04,88
Grizzly Man,2005-08-12,87
Wallace & Gromit: The Curse of the Were-Rabbit,2005-10-05,87
Brokeback Mountain,2005-12-09,87
Murderball,2005-07-08,87
Caché (Hidden),2005-12-23,87
Kings & Queen,2005-05-13,85
Turtles Can Fly,2005-02-18,85
The Intruder,2005-12-23,85
The Big Risk,2005-11-18,84
Darwin's Nightmare,2005-08-03,84
Corpse Bride,2005-09-16,83
The White Diamond,2005-06-01,83
Memories of Murder,2005-06-24,82
Enron: The Smartest Guys in the Room,2005-04-22,82
Duma,2005-08-05,82
The Constant Gardener,2005-08-31,82
A History of Violence,2005-09-23,82
Pride & Prejudice,2005-11-11,82
The Squid and the Whale,2005-10-05,82
Howl's Moving Castle,2005-06-10,82
Downfall,2005-02-18,82
Once Upon a Time in the West (re-release),2005-09-30,82
My Summer of Love,2005-06-17,82
Gilles' Wife,2005-11-16,82
Tropical Malady,2005-06-29,81
Ballets Russes,2005-10-26,81
Harry Potter and the Goblet of Fire,2005-11-18,81
King Kong,2005-12-14,81
The World,2005-07-01,81
Shake Hands with the Devil: The Journey of Roméo Dallaire,2005-05-18,80
Junebug,2005-08-03,80
Café Lumière,2005-06-10,80
Tony Takitani,2005-07-29,80
The Untold Story of Emmett Louis Till,2005-08-17,80
The Wild Parrots of Telegraph Hill,2005-02-11,80
Saraband,2005-07-08,80
Nine Lives,2005-10-14,80
Sunset Story,2005-02-04,80
"Good Night, and Good Luck.",2005-10-07,80
March of the Penguins,2005-06-24,79
Broken Flowers,2005-08-05,79
Look at Me,2005-04-01,79
Keane,2005-09-09,79
Henri Langlois: The Phantom of the Cinematheque,2005-10-12,78
Head-On,2005-01-21,78
Funny Ha Ha,2005-04-29,78
Innocence,2005-10-21,78
Up and Down,2005-02-25,78
The Fearless Freaks,2005-05-27,78
Oldboy,2005-03-25,78
2046,2005-08-05,78
Kung Fu Hustle,2005-04-08,78
The Holy Girl,2005-04-29,77
The Three Burials of Melquiades Estrada,2005-12-16,77
Machuca,2005-01-19,76
Syriana,2005-11-23,76
Intimate Stories,2005-03-04,76
Cinévardaphoto,2005-02-16,76
Brothers,2005-05-06,76
Me and You and Everyone We Know,2005-06-17,76
The Animation Show 2005,2005-02-18,76
The Far Side of the Moon,2005-12-02,76
Down to the Bone,2005-11-25,76
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005-12-09,75
Clean,2005-08-12,75
Touch the Sound: A Sound Journey with Evelyn Glennie,2005-09-07,75
The Beat That My Heart Skipped,2005-07-01,75
Make It Funky!,2005-09-09,75
Another Road Home,2005-04-29,75
Rize,2005-06-24,74
My Mother's Smile,2005-02-11,74
Serenity,2005-09-30,74
After Innocence,2005-10-21,74
Forty Shades of Blue,2005-09-28,74
Mysterious Skin,2005-05-06,74
Munich,2005-12-23,74
Millions,2005-03-11,74
Genesis,2005-05-27,74
Sin City,2005-04-01,74
The Memory of a Killer,2005-08-26,73
Layer Cake,2005-05-13,73
Kiss Kiss Bang Bang,2005-10-21,73
The New World,2005-12-25,73
The 40 Year Old Virgin,2005-08-19,73
Trilogy: The Weeping Meadow,2005-09-14,73
