title,release_date,metacritic_score
The Hurt Locker,2009-06-26,95
Sita Sings the Blues,2009-12-25,93
35 Shots of Rum,2009-09-16,92
Still Walking,2009-08-21,89
Goodbye Solo,2009-03-27,89
Tulpan,2009-04-01,88
Up,2009-05-29,88
A Serious Man,2009-10-02,88
Gomorrah,2009-02-13,87
The Beaches of Agnès,2009-07-01,86
Summer Hours,2009-05-15,86
Ponyo,2009-08-14,86
An Education,2009-10-09,85
The Sun,2009-11-20,85
Forbidden Lie$,2009-04-03,85
Passing Strange,2009-08-21,85
Revanche,2009-05-01,84
Séraphine,2009-06-05,84
The White Ribbon,2009-12-30,84
The Cove,2009-07-31,84
Crazy Heart,2009-12-16,83
Fantastic Mr. Fox,2009-11-13,83
In the Loop,2009-07-24,83
Avatar,2009-12-18,83
Taxidermia,2009-08-14,83
Drag Me to Hell,2009-05-29,83
Up in the Air,2009-12-04,83
Tyson,2009-04-24,83
Sugar,2009-04-03,82
Star Trek,2009-05-07,82
Anvil! The Story of Anvil,2009-04-10,82
Burma VJ: Reporter i et lukket land,2009-05-20,82
The Maid,2009-10-16,82
The Damned United,2009-10-09,81
Katyn,2009-02-18,81
Bright Star,2009-09-16,81
The Headless Woman,2009-08-19,81
Il Divo,2009-04-24,81
"Police, Adjective",2009-12-23,81
Of Time and the City,2009-01-21,81
"You, the Living",2009-07-29,81
District 9,2009-08-14,81
"Food, Inc.",2009-06-12,80
Everlasting Moments,2009-03-06,80
Coraline,2009-02-06,80
Tokyo Sonata,2009-03-13,80
Lorna's Silence,2009-07-31,80
Silent Light,2009-01-07,79
The Boys: The Sherman Brothers' Story,2009-05-22,78
Precious: Based on the Novel 'Push' by Sapphire,2009-11-06,78
O'Horten,2009-05-22,78
Harry Potter and the Half-Blood Prince,2009-07-15,78
Afghan Star,2009-06-26,78
Red Riding Trilogy,2009-03-03,77
A Single Man,2009-12-11,77
The Messenger,2009-11-13,77
Under the Sea 3D,2009-02-13,77
Sin Nombre,2009-03-20,77
Somers Town,2009-07-15,77
Service (Serbis),2009-01-30,76
Broken Embraces,2009-11-20,76
Adventureland,2009-04-03,76
Every Little Step,2009-04-17,76
The Baader Meinhof Complex,2009-08-21,76
Soul Power,2009-07-10,76
The Last Station,2009-12-04,76
(500) Days of Summer,2009-07-17,76
