title,release_date,metacritic_score
Children of Paradise (1945),2012-03-09,96
Amour,2012-12-19,95
Zero Dark Thirty,2012-12-19,95
It's Such a Beautiful Day,2012-10-05,90
This Is Not a Film,2012-03-02,90
Lincoln,2012-11-09,87
Elena,2012-05-18,87
The Kid with a Bike,2012-03-16,87
Gregory Crewdson: Brief Encounters,2012-11-02,87
How to Survive a Plague,2012-09-21,86
Barbara,2012-12-21,86
Argo,2012-10-12,86
The Master,2012-09-14,86
Beasts of the Southern Wild,2012-06-27,86
Wake in Fright (1971),2012-10-05,85
Holy Motors,2012-10-17,85
Moonrise Kingdom,2012-05-25,84
"Oslo, August 31st",2012-05-25,84
Looper,2012-09-28,84
The Waiting Room,2012-09-28,84
The Day He Arrives,2012-04-20,83
The Flat,2012-10-12,83
Footnote,2012-03-09,83
Monsieur Lazhar,2012-04-13,82
The Deep Blue Sea,2012-03-23,82
In the Family,2012-04-22,82
Marley,2012-04-20,82
Under African Skies,2012-05-11,82
Side by Side,2012-08-17,82
Once Upon a Time in Anatolia,2012-01-04,82
Sister,2012-10-05,81
Django Unchained,2012-12-25,81
Tchoupitoulas,2012-12-07,81
Skyfall,2012-11-09,81
Consuming Spirits,2012-12-12,81
Battle Royale,2012-05-25,81
Ai Weiwei: Never Sorry,2012-07-27,81
Silver Linings Playbook,2012-11-16,81
The Turin Horse,2012-02-10,80
The Secret World of Arrietty,2012-02-17,80
The Queen of Versailles,2012-07-20,80
I Wish,2012-05-11,80
Goodbye First Love,2012-04-20,80
West of Memphis,2012-12-25,80
The Sessions,2012-10-19,79
Photographic Memory,2012-10-12,79
The Central Park Five,2012-11-23,79
Wagner's Dream,2012-07-20,79
Life of Pi,2012-11-21,79
Keep the Lights On,2012-09-07,79
Searching for Sugar Man,2012-06-29,79
The Law in These Parts,2012-11-14,79
Beware of Mr. Baker,2012-11-28,78
Tabu,2012-12-26,78
5 Broken Cameras,2012-05-25,78
The Dark Knight Rises,2012-07-20,78
Booker's Place: A Mississippi Story,2012-04-27,78
A Simple Life,2012-04-12,78
China Heavyweight,2012-07-06,77
Jiro Dreams of Sushi,2012-03-09,77
Neighboring Sounds,2012-08-24,77
The Imposter,2012-07-13,77
Ornette: Made in America (1985),2012-08-31,77
Gerhard Richter - Painting,2012-03-14,77
The House I Live In,2012-10-05,77
Brooklyn Castle,2012-10-19,77
Chico & Rita,2012-02-10,76
The Hunter,2012-01-04,76
Hara-Kiri: Death of a Samurai,2012-07-20,76
Flight,2012-11-02,76
The Loneliest Planet,2012-10-26,76
Patience (After Sebald),2012-05-11,75
Easy Money,2012-07-11,75
Sleepless Night,2012-05-11,75
Ballplayer: Pelotero,2012-07-13,75
Bernie,2012-04-27,75
Chasing Ice,2012-11-09,75
The Invisible War,2012-06-22,75
Middle of Nowhere,2012-10-12,75
Marina Abramovic: The Artist Is Present,2012-06-13,74
The Rabbi's Cat,2012-12-07,74
Frankenweenie,2012-10-05,74
Polisse,2012-05-18,74
Bully ,2012-03-30,74
In Darkness,2012-02-10,74
Neil Young Journeys,2012-06-29,74
Starlet,2012-11-09,74
Rust and Bone,2012-11-23,73
Arbitrage,2012-09-14,73
The Raid: Redemption,2012-03-23,73
The Impossible,2012-12-21,73
The Pirates! Band of Misfits,2012-04-27,73
The Forgiveness of Blood,2012-02-24,73
Indie Game: The Movie,2012-05-18,73
Declaration of War,2012-01-27,73
Whores' Glory,2012-04-20,73
Planet of Snail,2012-07-25,73
Mea Maxima Culpa: Silence in the House of God,2012-11-16,73
A Royal Affair,2012-11-09,73
Attenberg,2012-03-09,73
Knuckleball!,2012-09-21,73
Sing Your Song,2012-01-13,73
Magic Mike,2012-06-29,72
The Island President,2012-03-28,72
The Cabin in the Woods,2012-04-13,72
Headhunters,2012-04-27,72
Shut Up and Play the Hits,2012-07-18,72
Wreck-It Ralph,2012-11-02,72
ParaNorman,2012-08-17,72
Paul Williams Still Alive,2012-06-08,72
Radio Unnameable,2012-09-21,72
Safety Not Guaranteed,2012-06-08,72
Beauty Is Embarrassing,2012-09-07,72
First Position,2012-05-04,72
Post Mortem,2012-04-11,72
Your Sister's Sister,2012-06-15,72
Crazy Horse,2012-01-18,72
Sound of Noise,2012-03-09,72
Undefeated,2012-02-10,71
Smashed,2012-10-12,71
Bestiaire,2012-10-19,71
The Zen of Bennett,2012-10-26,71
Last Days Here,2012-03-02,71
Only the Young,2012-12-07,71
Sleepwalk with Me,2012-08-24,71
The Big Picture,2012-10-12,71
The Road,2012-05-11,71
The Pruitt-Igoe Myth,2012-01-20,70
Jason Becker: Not Dead Yet,2012-12-14,70
Portrait of Wally,2012-05-11,70
"Turn Me On, Dammit!",2012-03-30,70
Sleep Tight,2012-10-26,70
Teddy Bear,2012-08-24,70
Wuthering Heights,2012-10-05,70
Rampart,2012-02-10,70
Boy,2012-03-02,70
In Another Country,2012-11-09,69
Brave,2012-06-22,69
Head Games,2012-09-21,69
Diana Vreeland: The Eye Has to Travel,2012-09-21,69
Bill W.,2012-05-18,69
Alps,2012-07-13,69
The Avengers,2012-05-04,69
The Matchmaker,2012-08-17,69
Bad 25,2012-10-19,69
Chronicle,2012-02-03,69
The Other Dream Team,2012-09-28,69
Chicken with Plums,2012-08-17,69
21 Jump Street,2012-03-16,69
Hitler's Children,2012-11-16,69
Compliance,2012-08-17,68
Bullhead,2012-02-17,68
The Hunger Games,2012-03-23,68
Step Up To The Plate,2012-09-14,68
End of Watch,2012-09-21,68
They Call It Myanmar: Lifting the Curtain,2012-09-21,68
Here,2012-04-13,68
Meet the Fokkens,2012-08-10,68
Last Ride,2012-06-29,68
Take This Waltz,2012-06-29,68
Girl Model,2012-09-07,68
Detropia,2012-09-07,68
The Ballad of Genesis and Lady Jaye,2012-03-09,68
Robot and Frank,2012-08-17,67
The Well Digger's Daughter,2012-07-20,67
Sound of My Voice,2012-04-27,67
Kite,2012-06-15,67
The Iran Job,2012-09-28,67
Escape Fire: The Fight to Rescue American Healthcare,2012-10-05,67
The Ambassador,2012-08-31,67
Haywire,2012-01-20,67
A Late Quartet,2012-11-02,67
The Perks of Being a Wallflower,2012-09-21,67
Unforgivable,2012-06-29,67
Aquí y Allá (Here and There),2012-12-21,67
The Green Wave,2012-08-10,67
"Farewell, My Queen",2012-07-13,67
Carol Channing: Larger Than Life,2012-01-20,67
Somewhere Between,2012-08-24,67
Damsels in Distress,2012-04-06,67
Hipsters,2012-02-24,67
Price Check,2012-11-16,67
Ruby Sparks,2012-07-25,67
Kill List,2012-02-03,67
Bones Brigade: An Autobiography,2012-11-02,66
Dark Horse,2012-06-08,66
"Pink Ribbons, Inc.",2012-06-01,66
"OC87: The Obsessive Compulsive, Major Depression, Bipolar, Asperger's Movie",2012-05-25,66
Seven Psychopaths,2012-10-12,66
Tales of the Night,2012-09-28,66
Something from Nothing: The Art of Rap,2012-06-15,66
Wish Me Away,2012-06-01,66
Harvest of Empire,2012-09-28,66
The Snowtown Murders,2012-03-02,66
Mosquita y Mari,2012-08-03,66
Let the Bullets Fly,2012-03-02,66
Premium Rush,2012-08-24,66
Black Butterflies,2012-03-02,66
Breathing,2012-08-31,66
The Amazing Spider-Man,2012-07-03,66
Pitch Perfect,2012-09-28,66
The Fairy,2012-02-24,66
Hope Springs,2012-08-08,65
The Bay,2012-11-02,65
Not Fade Away,2012-12-21,65
Windfall,2012-02-03,65
Corpo Celeste,2012-06-08,65
The Salt of Life,2012-03-02,65
Francine,2012-09-14,65
Love in the Buff,2012-03-30,65
Samsara,2012-08-24,65
Generation P,2012-11-16,65
Bonsái,2012-05-11,65
Comic-Con Episode IV: A Fan's Hope,2012-04-06,64
The Innkeepers,2012-02-03,64
Quartet,2012-12-28,64
Prometheus,2012-06-08,64
Goon,2012-03-30,64
Domain,2012-01-13,64
Toys in the Attic,2012-09-07,64
Gypsy,2012-06-29,64
Killing Them Softly,2012-11-30,64
We Have a Pope,2012-04-06,64
Last Call at the Oasis,2012-05-04,64
The Grey,2012-01-27,64
Michael,2012-02-15,64
Nobody Else But You (Poupoupidou),2012-05-11,63
Return,2012-02-03,63
Splinters,2012-01-31,63
A Cat in Paris,2012-06-01,63
The Other Son,2012-10-26,63
Anna Karenina,2012-11-16,63
The Hunter,2012-04-06,63
Les Miserables,2012-12-25,63
North Sea Texas,2012-11-02,63
Keyhole,2012-04-06,63
