title,release_date,metacritic_score
Apocalypse Now Redux,2001-08-03,92
The Lord of the Rings: The Fellowship of the Ring,2001-12-19,92
Werckmeister Harmonies,2001-10-10,92
Ghost World,2001-07-20,90
My Voyage to Italy,2001-10-19,90
Gosford Park,2001-12-26,90
In the Mood for Love,2001-02-02,87
Mulholland Dr.,2001-10-12,86
In the Bedroom,2001-11-23,86
Under the Sand,2001-05-04,86
The Gleaners & I,2001-03-07,86
Children Underground,2001-09-19,85
The Endurance,2001-09-21,85
Hedwig and the Angry Inch,2001-07-20,85
The Circle,2001-04-13,85
Waking Life,2001-10-19,84
Lantana,2001-12-14,84
No Man's Land,2001-12-07,84
Shrek,2001-05-18,84
The Day I Became a Woman,2001-04-06,84
Together,2001-08-24,84
Fighter,2001-08-24,83
Amores Perros,2001-03-30,83
Memento,2001-03-16,83
"Sobibór, 14 Octobre 1943, 16 heures",2001-10-12,81
Faat Kiné,2001-03-30,81
Kiss of the Spider Woman (re-release),2001-06-29,80
Jung (War) in the Land of the Mujaheddin,2001-11-23,80
Fever Heat [re-release],2001-07-27,80
Last Resort,2001-02-23,80
"Monsters, Inc.",2001-11-02,79
Dinner Rush,2001-09-28,79
Eureka,2001-05-04,79
Baran,2001-12-07,79
Sexy Beast,2001-06-13,79
Iron Monkey,2001-10-12,79
Trolösa,2001-01-26,79
Va Savoir (Who Knows?),2001-09-29,79
The Deep End,2001-08-08,78
Aberdeen,2001-08-17,78
The Taste of Others,2001-02-09,78
Lumumba,2001-06-27,78
Diamond Men,2001-09-28,78
The Devil's Backbone,2001-11-21,78
Southern Comfort,2001-02-23,78
La Ciénaga,2001-10-03,78
Last Orders,2001-12-07,78
Panic,2001-01-12,77
Our Song,2001-05-23,77
Fat Girl,2001-10-10,77
Kandahar,2001-12-14,76
Djomeh,2001-09-05,76
La grande strada azzurra,2001-06-08,76
Iris,2001-12-14,76
The Royal Tenenbaums,2001-12-14,76
Joy Ride,2001-10-05,75
Down from the Mountain,2001-06-15,75
Startup.com,2001-05-11,75
Harry Is Here to Help,2001-04-20,75
Black Hawk Down,2001-12-28,74
Code Unknown: Incomplete Tales of Several Journeys,2001-11-30,74
The Others,2001-08-10,74
Mysterious Object at Noon,2001-11-01,74
Scottsboro: An American Tragedy,2001-01-19,74
Ocean's Eleven,2001-12-07,74
Liam,2001-09-21,74
Little Otik,2001-12-19,74
The Dish,2001-03-14,74
A Matter of Taste,2001-09-07,74
Cool and Crazy,2001-10-19,73
Behind the Sun,2001-12-12,73
Himalaya,2001-05-25,73
Himalaya,2001-05-25,73
L.I.E.,2001-09-07,73
Our Lady of the Assassins,2001-09-07,73
The Widow of Saint-Pierre,2001-02-23,73
Innocence,2001-08-17,73
A Song for Martin,2001-12-21,72
Kissing Jessica Stein,2001-03-13,72
Zheng hun qi shi,2001-01-12,72
A Beautiful Mind,2001-12-21,72
The Vertical Ray of the Sun,2001-07-06,72
Journey to the Sun,2001-02-09,72
The Closet,2001-06-29,72
Spy Kids,2001-03-30,71
The Score,2001-07-13,71
The Pledge,2001-01-19,71
The Road Home,2001-05-25,71
Training Day,2001-10-05,71
"Jails, Hospitals & Hip-Hop",2001-10-12,71
Tape,2001-11-02,71
In July,2001-12-07,71
Donnie Darko,2001-10-26,71
Bad Company,2001-02-09,70
Cure,2001-07-27,70
Audition,2001-08-08,70
Ginger Snaps,2001-10-26,70
Adanggaman,2001-07-11,70
Amélie,2001-11-02,69
Monster's Ball,2001-12-26,69
Go Tigers!,2001-09-21,69
Divided We Fall,2001-06-08,69
Intimacy,2001-10-19,69
Jump Tomorrow,2001-07-06,68
Così ridevano,2001-11-21,68
Chain Camera,2001-06-22,68
Burnt Money,2001-10-19,68
Chopper,2001-04-11,68
Born Romantic,2001-09-28,68
Bread and Tulips,2001-07-27,68
Erleuchtung garantiert,2001-06-08,68
I Remember Me,2001-11-09,68
Reykjavík,2001-07-25,68
Come Undone,2001-06-29,68
Ha-Chaverim Shel Yana,2001-10-12,67
Berlin Babylon,2001-10-17,67
The Business of Strangers,2001-12-07,67
Life and Debt,2001-06-16,67
Too Much Sleep,2001-03-23,67
Shadow Magic,2001-04-06,66
Me You Them,2001-03-02,66
Barking Dogs Never Bite,2001-05-27,66
Trembling Before G-d,2001-10-24,66
The Tailor of Panama,2001-03-30,66
Moulin Rouge!,2001-05-18,66
Bridget Jones's Diary,2001-04-13,66
Heist,2001-11-09,66
Jimmy Neutron: Boy Genius,2001-12-21,65
Harry Potter and the Sorcerer's Stone,2001-11-16,65
The Turandot Project,2001-08-10,65
A.I. Artificial Intelligence,2001-06-29,65
The Town Is Quiet,2001-10-26,65
Ali,2001-12-25,65
About Adam,2001-05-09,64
Grateful Dawg,2001-10-05,64
The Low Down,2001-04-20,64
The Princess and the Warrior,2001-06-22,64
The Luzhin Defence,2001-04-20,64
Wadd: The Life & Times of John C. Holmes,2001-01-12,64
Vengo,2001-09-07,64
Keep the River on Your Right: A Modern Cannibal Tale,2001-03-16,63
Songcatcher,2001-06-15,63
Spy Game,2001-11-21,63
"Booye kafoor, atre yas",2001-04-06,63
