title,release_date,metacritic_score
The Social Network,2010-10-01,95
Carlos,2010-10-15,94
Toy Story 3,2010-06-18,92
Winter's Bone,2010-06-11,90
A Prophet,2010-02-26,90
A Film Unfinished,2010-08-18,88
Inside Job,2010-10-08,88
The King's Speech,2010-11-26,88
45365,2010-06-18,88
The Tillman Story,2010-08-20,86
The Kids Are All Right,2010-07-09,86
Last Train Home,2010-09-03,86
Lebanon,2010-08-06,85
Exit Through the Gift Shop,2010-04-16,85
Vincere,2010-03-19,85
Restrepo,2010-06-25,85
Boxing Gym,2010-10-22,83
Guy and Madeline on a Park Bench,2010-11-05,83
Neil Young Trunk Show,2010-03-19,83
Animal Kingdom,2010-08-13,83
Hadewijch,2010-12-24,83
Ajami,2010-02-03,82
127 Hours,2010-11-05,82
The Illusionist,2010-12-25,82
Our Beloved Month of August,2010-09-03,82
Marwencol,2010-10-08,82
Mademoiselle Chambon,2010-05-28,82
Another Year,2010-12-29,81
Blue Valentine,2010-12-29,81
The Secret of Kells,2010-03-05,81
White Material,2010-11-19,81
Fish Tank,2010-01-15,81
Waiting for 'Superman',2010-09-24,81
True Grit,2010-12-22,80
The Secret in Their Eyes,2010-04-16,80
My Dog Tulip,2010-09-01,80
Sweetgrass,2010-01-06,80
Joan Rivers: A Piece of Work,2010-06-11,79
The Fighter,2010-12-10,79
IMAX: Hubble 3D,2010-03-19,79
Let Me In,2010-10-01,79
Mother,2010-03-12,79
I Am Love,2010-06-18,79
Black Swan,2010-12-03,79
Racing Dreams,2010-05-21,78
Please Give,2010-04-30,78
Waste Land,2010-10-29,78
I Killed My Mother,2010-07-30,77
Mugabe and the White African,2010-07-23,77
Alamar (To the Sea),2010-07-16,77
The Ghost Writer,2010-02-19,77
Get Low,2010-07-30,77
The Army of Crime,2010-08-20,76
And Everything Is Going Fine,2010-12-10,76
Father of My Children,2010-05-28,76
Living in Emergency: Stories of Doctors Without Borders,2010-06-04,76
Soul Kitchen,2010-08-20,76
Undertow,2010-11-26,76
Rabbit Hole,2010-12-17,76
Greenberg,2010-03-19,76
The Girl with the Dragon Tattoo,2010-03-19,76
Beetle Queen Conquers Tokyo,2010-05-14,75
The Art of the Steal,2010-02-26,75
Anton Chekhov's The Duel,2010-04-28,75
Samson and Delilah,2010-10-15,75
The Strange Case of Angelica,2010-12-29,75
How to Train Your Dragon,2010-03-26,75
Oceans,2010-04-22,75
The Square,2010-04-09,75
Mid-August Lunch,2010-03-17,75
Prodigal Sons,2010-02-26,74
Terribly Happy,2010-02-05,74
Daddy Longlegs,2010-05-14,74
Jean-Michel Basquiat: The Radiant Child,2010-07-21,74
Inception,2010-07-16,74
Farewell,2010-07-23,74
Stonewall Uprising,2010-06-18,74
The Town,2010-09-17,74
Cyrus,2010-06-18,74
Ahead of Time,2010-09-10,74
Cropsey,2010-06-04,73
Blue Beard,2010-03-26,73
Dogtooth,2010-06-25,73
Harlan: In the Shadow of Jew Suess,2010-03-03,73
Mesrine: Public Enemy No. 1,2010-09-03,72
Genius Within: The Inner Life of Glenn Gould,2010-09-10,72
Easier with Practice,2010-02-26,72
Let It Rain,2010-06-18,72
Easy A,2010-09-17,72
The Oath,2010-05-07,72
The Lottery,2010-06-11,72
Tiny Furniture,2010-11-12,72
Amer,2010-10-29,72
Despicable Me,2010-07-09,72
Inspector Bellamy,2010-10-29,71
Everyone Else,2010-04-09,71
