title,release_date,metacritic_score
Aftersun,2022-10-21,95
No Bears,2022-12-23,93
TÁR,2022-10-07,92
All the Beauty and the Bloodshed,2022-11-23,91
Hit the Road,2022-04-22,91
The Worst Person in the World,2022-02-04,90
Great Freedom,2022-03-04,89
Mr. Bachmann and His Class,2022-02-20,89
The Quiet Girl,2022-12-16,89
Three Minutes: A Lengthening,2022-08-19,88
Aftershock,2022-07-19,87
A Night of Knowing Nothing,2022-02-11,87
Return to Seoul,2022-12-02,87
All That Breathes,2022-10-21,87
Descendant,2022-10-21,87
The Banshees of Inisherin,2022-10-21,87
Playground,2022-02-11,86
Happening,2022-05-06,86
My Imaginary Country,2022-09-23,86
One Fine Morning,2022-12-09,86
In Front of Your Face,2022-05-06,85
Decision to Leave,2022-10-14,85
EO,2022-11-18,85
The Fabelmans,2022-11-11,84
Fire of Love,2022-07-06,84
To Leslie,2022-10-07,84
The Fallout,2022-01-27,84
"Lingui, The Sacred Bonds",2022-02-04,83
The Girl and the Spider,2022-04-08,83
The Territory,2022-08-19,83
Turning Red,2022-03-11,83
Belle,2022-01-14,83
Moonage Daydream,2022-09-16,83
The Novelist's Film,2022-10-28,83
Is That Black Enough for You?!?,2022-10-28,83
Neptune Frost,2022-06-03,83
RRR,2022-03-25,83
Dos Estaciones,2022-09-09,82
Bad Axe,2022-11-18,82
"Riotsville, U.S.A.",2022-09-16,82
Vortex,2022-04-29,82
Hold Me Tight,2022-09-09,82
The Super 8 Years,2022-12-16,82
Poly Styrene: I Am a Cliché,2022-02-02,82
Navalny,2022-04-11,82
Soft & Quiet,2022-11-04,82
A Hero,2022-01-07,82
The Northman,2022-04-22,82
Hold Your Fire,2022-05-20,82
This Much I Know to Be True,2022-05-11,81
Everything Everywhere All at Once,2022-03-25,81
Master of Light,2022-11-16,81
Turn Every Page: The Adventures of Robert Caro and Robert Gottlieb,2022-12-30,81
The Janes,2022-06-08,81
You Won't Be Alone,2022-04-01,81
Glass Onion: A Knives Out Mystery,2022-11-23,81
Benediction,2022-06-03,81
Living,2022-12-23,81
Lost Illusions,2022-06-10,81
Nitram,2022-03-30,81
Tantura,2022-12-02,81
X,2022-03-18,80
Dinner in America,2022-05-27,80
