title,release_date,metacritic_score
Killer of Sheep,2007-03-30,96
Ratatouille,2007-06-29,96
There Will Be Blood,2007-12-26,93
The Diving Bell and the Butterfly,2007-11-30,92
No Country for Old Men,2007-11-09,92
Once,2007-05-16,90
Persepolis,2007-12-25,90
No End in Sight,2007-07-27,89
Away from Her,2007-05-04,88
Mafioso [re-release],2007-01-19,88
Before the Devil Knows You're Dead,2007-10-26,86
This Is England,2007-07-27,86
The Bourne Ultimatum,2007-08-03,85
The Savages,2007-11-28,85
Offside,2007-03-23,85
Knocked Up,2007-06-01,85
Atonement,2007-12-07,85
The Host,2007-03-09,85
In the Shadow of the Moon,2007-09-07,84
My Name Is Albert Ayler,2007-11-08,83
The King of Kong: A Fistful of Quarters,2007-08-17,83
Triad Election,2007-04-25,83
Lake of Fire,2007-10-03,83
Eastern Promises,2007-09-14,83
Sweeney Todd: The Demon Barber of Fleet Street,2007-12-21,83
The Wind That Shakes the Barley,2007-03-16,82
The Namesake,2007-03-09,82
Michael Clayton,2007-10-05,82
Ten Canoes,2007-06-01,82
Juno,2007-12-05,81
Pete Seeger: The Power of Song,2007-09-14,81
Bamako,2007-02-14,81
Hot Fuzz,2007-04-20,81
Paprika,2007-05-25,81
Hairspray,2007-07-20,81
The Simpsons Movie,2007-07-27,80
Lady Chatterley,2007-06-22,80
Deep Water,2007-08-24,80
Joe Strummer: The Future Is Unwritten,2007-11-02,79
Manufactured Landscapes,2007-06-20,79
Zodiac,2007-03-02,79
Brand Upon the Brain!,2007-05-09,79
28 Weeks Later,2007-05-11,78
Private Property,2007-05-18,78
Control,2007-10-10,78
Starting Out in the Evening,2007-11-23,78
Into Great Silence,2007-02-28,78
After the Wedding,2007-03-30,78
