title,release_date,metacritic_score
"Quo Vadis, Aida?",2021-03-05,97
"Summer of Soul (...Or, When the Revolution Could Not Be Televised)",2021-07-02,96
Rocks,2021-02-01,95
Petite Maman,2021-12-03,93
Days,2021-08-13,92
Memoria,2021-12-26,92
Drive My Car,2021-11-24,91
Flee,2021-12-03,91
"This Is Not a Burial, It's a Resurrection",2021-04-02,91
Licorice Pizza,2021-11-26,90
Procession,2021-11-19,90
Wojnarowicz,2021-03-19,90
The Souvenir: Part II,2021-10-29,90
The Power of the Dog,2021-11-17,89
Azor,2021-09-10,88
The Father,2021-02-26,88
Parallel Mothers,2021-12-24,88
The Human Voice,2021-03-12,88
The Velvet Underground,2021-10-15,87
Attica,2021-10-29,87
Can You Bring It: Bill T. Jones and D-Man in the Waters,2021-07-16,87
About Endlessness,2021-04-30,87
Hope,2021-04-16,87
The Tragedy of Macbeth,2021-12-25,87
The Inheritance,2021-03-12,86
The Lost Daughter,2021-12-17,86
Wheel of Fortune and Fantasy,2021-10-15,86
Sabaya,2021-07-30,86
The First Wave,2021-11-19,85
West Side Story,2021-12-10,85
The Novice,2021-12-17,85
The Green Knight,2021-07-30,85
Passing,2021-10-27,85
In the Same Breath,2021-08-13,85
Atlantis,2021-01-22,85
Judas and the Black Messiah,2021-02-12,85
Oasis Knebworth 1996,2021-09-23,85
Identifying Features,2021-01-22,85
All Is Forgiven (2007),2021-11-05,85
Evangelion: 3.0+1.0 Thrice Upon a Time,2021-08-13,85
The Truffle Hunters,2021-03-05,84
Writing with Fire,2021-11-26,84
Ascension,2021-10-08,84
In the Heights,2021-06-11,84
The Rescue,2021-10-08,84
Stray,2021-03-05,83
The Disciple,2021-04-30,83
Limbo,2021-04-30,83
Prayers for the Stolen,2021-11-17,83
Rose Plays Julie,2021-03-19,83
Come from Away,2021-09-10,83
I Was a Simple Man,2021-11-19,83
The Reason I Jump,2021-01-08,83
Saint Maud,2021-01-29,83
The Killing of Two Lovers,2021-05-14,82
Night of the Kings,2021-02-26,82
Labyrinth of Cinema,2021-10-20,82
There Is No Evil,2021-05-14,82
"Acasă, My Home",2021-01-15,82
Two of Us,2021-02-05,82
Street Gang: How We Got to Sesame Street,2021-04-23,82
What Do We See When We Look at the Sky?,2021-11-12,82
C'mon C'mon,2021-11-19,82
Sator,2021-02-09,82
Pig,2021-07-16,82
Sisters with Transistors,2021-04-23,82
Derek DelGaudio’s In & Of Itself,2021-01-22,82
The Woman Who Ran,2021-07-09,81
Mass,2021-10-08,81
State Funeral,2021-05-07,81
MLK/FBI,2021-01-15,81
Beginning,2021-01-29,81
Test Pattern,2021-02-19,81
Tina,2021-03-27,81
Riders of Justice,2021-05-14,81
Faya Dayi,2021-09-03,81
The Macaluso Sisters,2021-08-06,81
Listening to Kenny G,2021-12-02,81
The Mitchells vs. The Machines,2021-04-30,81
The Sparks Brothers,2021-06-18,80
Uppercase Print,2021-11-10,80
Little Girl,2021-09-17,80
Bill Traylor: Chasing Ghosts,2021-04-16,80
Arrebato (1979),2021-10-01,80
Last and First Men,2021-12-10,80
Compartment No. 6,2021-11-19,80
7 Prisoners,2021-11-05,80
"Anne at 13,000 ft",2021-09-03,80
Bergman Island,2021-10-15,80
The Road to Mandalay,2021-01-12,80
"Introducing, Selma Blair",2021-10-15,80
The Lost Leonardo,2021-08-13,79
Wife of a Spy,2021-09-17,79
The Fever,2021-03-19,79
The Auschwitz Report,2021-09-24,79
Shiva Baby,2021-04-02,79
The One and Only Dick Gregory,2021-07-04,79
Luzzu,2021-10-15,78
Roadrunner: A Film About Anthony Bourdain,2021-07-16,78
The Humans,2021-11-24,78
The Summit of the Gods,2021-11-24,78
Playing with Sharks,2021-07-23,78
The Velvet Queen,2021-12-22,78
I'm Your Man,2021-09-24,78
At the Ready,2021-10-22,78
The Human Factor,2021-01-22,78
Rita Moreno: Just a Girl Who Decided to Go for It,2021-06-18,77
Asia,2021-06-11,77
You Will Die At Twenty,2021-01-22,77
Ailey,2021-07-23,77
Slalom,2021-04-09,77
Jockey,2021-12-29,77
The Card Counter,2021-09-10,77
Changing the Game,2021-06-01,77
The Amusement Park,2021-06-08,77
"All Light, Everywhere",2021-06-04,76
Two Gods,2021-05-21,76
I Carry You with Me,2021-06-25,76
The White Tiger,2021-01-13,76
A Cop Movie,2021-10-20,76
The County,2021-04-30,76
The Meaning of Hitler,2021-08-13,76
Zola,2021-06-30,76
The Hand of God,2021-12-03,76
Son of Monarchs,2021-10-15,76
Spencer,2021-11-05,76
No Sudden Move,2021-07-01,76
King Richard,2021-11-19,76
Pray Away,2021-08-03,76
Red Rocket,2021-12-10,76
Holler,2021-06-11,76
El Planeta,2021-09-24,76
Final Account,2021-05-21,76
Encanto,2021-11-24,75
My Little Sister,2021-01-15,75
Undine,2021-06-04,75
Notturno,2021-01-22,75
Fever Dream,2021-10-06,75
Belfast,2021-11-12,75
The French Dispatch,2021-10-22,75
Benedetta,2021-12-03,75
Lucky,2021-03-03,75
Titane,2021-10-01,75
Mandibles,2021-07-23,74
Citizen Ashe,2021-12-03,74
Beans,2021-11-05,74
Raya and the Last Dragon,2021-03-05,74
Dune: Part One,2021-10-22,74
Plan B,2021-05-28,74
Becoming Cousteau,2021-10-22,74
Enemies of the State,2021-07-30,74
Cryptozoo,2021-08-20,74
The Duke,2021-12-10,74
Sweat,2021-06-18,74
"tick, tick...Boom!",2021-11-12,74
Bad Luck Banging or Loony Porn,2021-11-19,74
Wild Indian,2021-09-03,74
Some Kind of Heaven,2021-01-15,73
Woodstock 99: Peace Love and Rage,2021-07-23,73
Val,2021-07-23,73
Not Going Quietly,2021-08-13,73
The World to Come,2021-02-12,73
Supernova,2021-01-29,73
Never Gonna Snow Again,2021-07-30,73
Tiny Tim: King for a Day,2021-04-23,73
Wet Season,2021-04-23,73
Boiling Point,2021-11-19,73
My Name Is Pauli Murray,2021-09-17,73
The Most Beautiful Boy in the World,2021-09-24,73
Hive,2021-11-05,73
Dead Pigs,2021-02-12,73
The Dig,2021-01-15,73
CODA,2021-08-13,72
Sisters on Track,2021-06-24,72
No Ordinary Man,2021-07-16,72
Sophie Jones,2021-03-02,72
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,2021-04-23,72
Nine Days,2021-07-30,72
The Mad Women's Ball,2021-09-17,72
Four Hours at the Capitol,2021-10-20,72
Sweet Thing,2021-06-18,72
My Rembrandt,2021-01-06,72
The Beta Test,2021-11-05,72
Candyman,2021-08-27,72
The Suicide Squad,2021-08-06,72
Scales,2021-07-09,72
The Year of the Everlasting Storm,2021-09-03,72
Mogul Mowgli,2021-09-03,71
Shang-Chi and the Legend of the Ten Rings,2021-09-03,71
Luca,2021-06-18,71
Ema,2021-08-13,71
Spider-Man: No Way Home,2021-12-17,71
Freeland,2021-10-15,71
Lorelei,2021-07-30,71
Escape from Mogadishu,2021-08-06,71
Twilight's Kiss,2021-02-10,71
A Quiet Place Part II,2021-05-28,71
The Perfect Candidate,2021-05-14,71
Little Fish,2021-02-05,71
Preparations to be Together for an Unknown Period of Time,2021-01-22,71
Undergods,2021-05-07,71
Fauci,2021-09-10,70
Sun Children,2021-06-25,70
Together Together,2021-04-23,70
Who You Think I Am,2021-09-03,70
"Tom Petty, Somewhere You Feel Free",2021-10-20,70
Nightmare Alley,2021-12-17,70
Billie Eilish: The World's a Little Blurry,2021-02-26,70
Truman & Tennessee: An Intimate Conversation,2021-06-18,70
Swimming Out Till the Sea Turns Blue,2021-05-28,70
Kurt Vonnegut: Unstuck in Time,2021-11-19,70
Summertime,2021-07-09,70
Operation Varsity Blues: The College Admissions Scandal,2021-03-17,70
Violation,2021-03-25,70
Old Henry,2021-10-01,69
Only the Animals,2021-10-29,69
Censor,2021-06-11,69
The Outside Story,2021-04-30,69
The Vigil,2021-02-26,69
Julia,2021-11-12,69
The Dry,2021-05-21,69
Moffie,2021-04-09,69
The Boy from Medellín,2021-05-07,69
Finding 'Ohana,2021-01-29,69
The Harder They Fall,2021-10-22,68
The Night,2021-01-29,68
Paper Spiders,2021-05-07,68
Lamb,2021-10-08,68
Minyan,2021-10-22,68
Homeroom,2021-08-12,68
Spring Blossom,2021-05-21,68
The Water Man,2021-05-07,68
The Night House,2021-08-20,68
Language Lessons,2021-09-10,68
I'm Fine (Thanks for Asking),2021-08-07,68
Dream Horse,2021-05-21,68
Come True,2021-03-12,68
No Time to Die,2021-10-08,68
Fear Street Part Three: 1666,2021-07-16,68
Black Widow,2021-07-09,68
Akilla's Escape,2021-06-11,67
Concrete Cowboy,2021-04-02,67
Kid 90,2021-03-12,67
Fear Street Part One: 1994,2021-07-02,67
The Last Duel,2021-10-15,67
PG: Psycho Goreman,2021-01-22,67
Brian Wilson: Long Promised Road,2021-11-19,67
The Loneliest Whale: The Search for 52,2021-07-09,67
Spoor,2021-01-22,67
Annette,2021-08-06,67
The Wanting Mare,2021-02-05,67
The Paper Tigers,2021-05-07,67
No Man of God,2021-08-27,67
Fathom,2021-06-25,67
Sublet,2021-06-11,67
The Alpinist,2021-09-10,67
Oxygen,2021-05-12,67
Worth,2021-09-03,67
Werewolves Within,2021-06-25,66
Cyrano,2021-12-17,66
Charlatan,2021-07-23,66
Cowboys,2021-02-12,66
Swan Song,2021-12-17,66
The Real Charlie Chaplin,2021-11-19,66
Mothering Sunday,2021-11-19,66
Shadow in the Cloud,2021-01-01,66
I Care a Lot,2021-02-19,66
Vivo,2021-08-06,66
Summer of 85,2021-06-18,65
Last Night in Soho,2021-10-29,65
Drunk Bus,2021-05-21,65
Swan Song,2021-08-06,65
Ron's Gone Wrong,2021-10-22,65
To All the Boys: Always and Forever,2021-02-12,65
Sin,2021-02-19,65
The SpongeBob Movie: Sponge on the Run,2021-03-04,65
The Courier,2021-03-19,65
Knocking,2021-10-08,65
Agnes,2021-12-10,65
True Mothers,2021-01-29,64
Les Nôtres,2021-06-18,64
Enforcement,2021-03-19,64
Gaia,2021-06-18,64
Wolfgang,2021-06-25,64
Keep an Eye Out,2021-03-05,64
Barb & Star Go to Vista Del Mar,2021-02-12,64
Bombay Rose,2021-03-08,64
Cliff Walkers,2021-04-30,64
The Man Who Sold His Skin,2021-04-02,64
Nobody,2021-03-26,64
The Capote Tapes,2021-09-10,64
Misha and the Wolves,2021-08-11,63
The Guilty,2021-09-24,63
The Feast,2021-11-19,63
The Electrical Life of Louis Wain,2021-10-22,63
V/H/S/94,2021-10-06,63
Falling,2021-02-05,63
Blizzard of Souls,2021-01-08,63
Stowaway,2021-04-22,63
Mayor Pete,2021-11-12,63
In the Earth,2021-04-16,63
The Matrix Resurrections,2021-12-22,63
Tove,2021-06-04,63
New Order,2021-05-21,62
"Mark, Mary & Some Other People",2021-11-05,62
Everybody's Talking About Jamie,2021-09-10,62
Biggie: I Got a Story to Tell,2021-03-01,62
Free Guy,2021-08-13,62
The Salt of Tears,2021-01-20,62
Flora & Ulysses,2021-02-19,62
A Glitch in the Matrix,2021-02-05,62
Rams,2021-02-05,62
Copshop,2021-09-17,61
A Boy Called Christmas,2021-11-24,61
WeWork: Or the Making and Breaking of a $47 Billion Unicorn,2021-04-02,61
Land,2021-02-12,61
Funny Face,2021-03-30,61
PVT Chat,2021-02-05,61
The Map of Tiny Perfect Things,2021-02-12,61
Fear Street Part Two: 1978,2021-07-09,61
John and the Hole,2021-08-06,61
Respect,2021-08-13,61
Speer Goes to Hollywood,2021-10-29,61
Port Authority,2021-05-28,61
The Oak Room,2021-04-02,61
Violet,2021-10-29,61
Zeros and Ones,2021-11-19,61
Bad Trip,2021-03-26,61
The Many Saints of Newark,2021-10-01,60
Stillwater,2021-07-30,60
The Nowhere Inn,2021-09-17,60
Jumbo,2021-02-19,60
Caveat,2021-06-03,60
The Power,2021-04-08,60
Bad Tales,2021-06-04,60
The Columnist,2021-05-07,60
Being the Ricardos,2021-12-10,60
The Djinn,2021-05-14,59
Godzilla vs. Kong,2021-03-31,59
House of Gucci,2021-11-24,59
Together,2021-08-27,59
Jakob's Wife,2021-04-16,59
My Zoe,2021-02-26,59
Those Who Wish Me Dead,2021-05-14,59
Siberia,2021-06-18,59
Cruella,2021-05-28,59
Mama Weed,2021-07-16,58
F9: The Fast Saga,2021-06-25,58
The Spine of Night,2021-10-29,58
Happily,2021-03-19,58
Cry Macho,2021-09-17,58
Blue Bayou,2021-09-17,58
Monday,2021-04-16,58
Last Letter from Your Lover,2021-07-23,57
Birds of Paradise,2021-09-24,57
Small Engine Repair,2021-09-10,57
India Sweets and Spices,2021-11-19,57
Antlers,2021-10-29,57
Encounter,2021-12-03,57
Army of the Dead,2021-05-14,57
Our Friend,2021-01-22,57
Days of the Bagnold Summer,2021-02-19,57
France,2021-12-10,57
Finch,2021-11-05,57
How It Ends,2021-07-20,57
Wrath of Man,2021-05-07,57
Settlers,2021-07-23,56
Hard Luck Love Song,2021-10-15,56
Monster,2021-05-07,56
Percy Vs Goliath,2021-04-30,56
Mosquito State,2021-08-26,56
French Exit,2021-02-12,56
Boss Level,2021-03-05,56
"Bob Ross: Happy Accidents, Betrayal & Greed",2021-08-25,55
Clifford the Big Red Dog,2021-11-10,55
Beast Beast,2021-04-16,55
Old,2021-07-23,55
JFK Revisited: Through The Looking Glass,2021-11-12,55
Last Man Standing: Suge Knight and the Murders of Biggie & Tupac,2021-08-20,55
Bingo Hell,2021-10-01,55
The Eyes of Tammy Faye,2021-09-17,55
Ride the Eagle,2021-07-30,54
Best Sellers,2021-09-17,54
Rare Beasts,2021-08-20,54
Zack Snyder's Justice League,2021-03-18,54
Joe Bell,2021-07-23,54
The Voyeurs,2021-09-10,54
False Positive,2021-06-25,54
Moxie,2021-03-03,54
Profile,2021-05-14,54
Boogie,2021-03-05,54
Life in a Day 2020,2021-02-06,54
Good on Paper,2021-06-23,54
My Wonderful Wanda,2021-04-23,54
The Little Things,2021-01-29,54
Giants Being Lonely,2021-04-06,54
Penguin Bloom,2021-01-27,54
Prisoners of the Ghostland,2021-09-17,53
The Mauritanian,2021-02-12,53
The Forever Purge,2021-07-02,53
Palmer,2021-01-29,53
We Broke Up,2021-04-16,53
Flag Day,2021-08-20,53
Fatherhood,2021-06-18,53
The Tender Bar,2021-12-17,53
The Conjuring: The Devil Made Me Do It,2021-06-04,53
American Underdog,2021-12-25,53
Long Weekend,2021-03-12,53
Malcolm & Marie,2021-02-05,53
Black as Night,2021-10-01,53
Bruised,2021-11-17,52
A Mouthful of Air,2021-10-29,52
Four Good Days,2021-04-30,52
Wolf,2021-12-03,52
Coming 2 America,2021-03-05,52
Moby Doc,2021-05-28,52
Eternals,2021-11-05,52
The United States vs. Billie Holiday,2021-02-26,52
Queen Bees,2021-06-11,52
First Date,2021-07-02,52
Silent Night,2021-12-03,52
Materna,2021-08-06,52
National Champions,2021-12-10,52
No Man's Land,2021-01-22,52
Malmkrog,2021-04-02,52
Beckett,2021-08-13,52
Bloody Hell,2021-01-14,52
Surge,2021-09-24,51
Malignant,2021-09-10,51
PAW Patrol: The Movie,2021-08-20,50
Jungle Cruise,2021-07-30,50
Shoplifters of the World,2021-03-26,50
