league,year,team,city,state,lat,lng
MLB,1936,New York Yankees,New York,NY,40.7128,-74.0059
NHL,1936,Detroit Red Wings,Detroit,MI,42.3314,-83.0458
MLB,1937,New York Yankees,New York,NY,40.7128,-74.0059
NHL,1937,Detroit Red Wings,Detroit,MI,42.3314,-83.0458
MLB,1938,New York Yankees,New York,NY,40.7128,-74.0059
NHL,1938,Chicago Black Hawks,Chicago,IL,41.8781,-87.6298
MLB,1939,New York Yankees,New York,NY,40.7128,-74.0059
NHL,1939,Boston Bruins,Boston,MA,42.3601,-71.0589
MLB,1940,Cincinnati Reds,Cincinnati,OH,39.1031,-84.512
NHL,1940,New York Rangers,New York,NY,40.7128,-74.0059
MLB,1941,New York Yankees,New York,NY,40.7128,-74.0059
NHL,1941,Boston Bruins,Boston,MA,42.3601,-71.0589
MLB,1942,St. Louis Cardinals,St. Louis,MO,38.627,-90.1994
NHL,1942,Toronto Maple Leafs,Toronto,CAN,43.6532,-79.3832
MLB,1943,New York Yankees,New York,NY,40.7128,-74.0059
NHL,1943,Detroit Red Wings,Detroit,MI,42.3314,-83.0458
MLB,1944,St. Louis Cardinals,St. Louis,MO,38.627,-90.1994
NHL,1944,Montreal Canadiens,Montreal,CAN,45.5017,-73.5673
MLB,1945,Detroit Tigers,Detroit,MI,42.3314,-83.0458
NHL,1945,Toronto Maple Leafs,Toronto,CAN,43.6532,-79.3832
MLB,1946,St. Louis Cardinals,St. Louis,MO,38.627,-90.1994
NHL,1946,Montreal Canadiens,Montreal,CAN,45.5017,-73.5673
MLB,1947,New York Yankees,New York,NY,40.7128,-74.0059
NBA,1947,Philadelphia Warriors,Philadelphia,PA,39.9526,-75.1652
NHL,1947,Toronto Maple Leafs,Toronto,CAN,43.6532,-79.3832
MLB,1948,Cleveland Indians,Cleveland,OH,41.4993,-81.6944
NBA,1948,Baltimore Bullets,Baltimore,MD,39.2904,-76.6122
NHL,1948,Toronto Maple Leafs,Toronto,CAN,43.6532,-79.3832
MLB,1949,New York Yankees,New York,NY,40.7128,-74.0059
NBA,1949,Minneapolis Lakers,Minneapolis,MN,44.9778,-93.265
NHL,1949,Toronto Maple Leafs,Toronto,CAN,43.6532,-79.3832
MLB,1950,New York Yankees,New York,NY,40.7128,-74.0059
NBA,1950,Minneapolis Lakers,Minneapolis,MN,44.9778,-93.265
NHL,1950,Detroit Red Wings,Detroit,MI,42.3314,-83.0458
MLB,1951,New York Yankees,New York,NY,40.7128,-74.0059
NBA,1951,Rochester Royals,Rochester,NY,43.161,-77.6109
NHL,1951,Toronto Maple Leafs,Toronto,CAN,43.6532,-79.3832
MLB,1952,New York Yankees,New York,NY,40.7128,-74.0059
NBA,1952,Minneapolis Lakers,Minneapolis,MN,44.9778,-93.265
NHL,1952,Detroit Red Wings,Detroit,MI,42.3314,-83.0458
MLB,1953,New York Yankees,New York,NY,40.7128,-74.0059
NBA,1953,Minneapolis Lakers,Minneapolis,MN,44.9778,-93.265
NHL,1953,Montreal Canadiens,Montreal,CAN,45.5017,-73.5673
MLB,1954,New York Giants,New York,NY,40.7128,-74.0059
NBA,1954,Minneapolis Lakers,Minneapolis,MN,44.9778,-93.265
NHL,1954,Detroit Red Wings,Detroit,MI,42.3314,-83.0458
MLB,1955,Brooklyn Dodgers,New York,NY,40.7128,-74.0059
NBA,1955,Syracuse Nationals,Syracuse,NY,43.0481,-76.1474
NHL,1955,Detroit Red Wings,Detroit,MI,42.3314,-83.0458
MLB,1956,New York Yankees,New York,NY,40.7128,-74.0059
NBA,1956,Philadelphia Warriors,Philadelphia,PA,39.9526,-75.1652
NHL,1956,Montreal Canadiens,Montreal,CAN,45.5017,-73.5673
MLB,1957,Milwaukee Braves,Milwaukee,WI,43.0389,-87.9065
NBA,1957,Boston Celtics,Boston,MA,42.3601,-71.0589
NHL,1957,Montreal Canadiens,Montreal,CAN,45.5017,-73.5673
MLB,1958,New York Yankees,New York,NY,40.7128,-74.0059
NBA,1958,St. Louis Hawks,St. Louis,MO,38.627,-90.1994
NHL,1958,Montreal Canadiens,Montreal,CAN,45.5017,-73.5673
MLB,1959,Los Angeles Dodgers,Los Angeles,CA,34.0522,-118.2437
NBA,1959,Boston Celtics,Boston,MA,42.3601,-71.0589
NHL,1959,Montreal Canadiens,Montreal,CAN,45.5017,-73.5673
MLB,1960,Pittsburgh Pirates,Pittsburgh,PA,40.4406,-79.9959
NBA,1960,Boston Celtics,Boston,MA,42.3601,-71.0589
NHL,1960,Montreal Canadiens,Montreal,CAN,45.5017,-73.5673
MLB,1961,New York Yankees,New York,NY,40.7128,-74.0059
NBA,1961,Boston Celtics,Boston,MA,42.3601,-71.0589
NHL,1961,Chicago Black Hawks,Chicago,IL,41.8781,-87.6298
MLB,1962,New York Yankees,New York,NY,40.7128,-74.0059
NBA,1962,Boston Celtics,Boston,MA,42.3601,-71.0589
NHL,1962,Toronto Maple Leafs,Toronto,CAN,43.6532,-79.3832
MLB,1963,Los Angeles Dodgers,Los Angeles,CA,34.0522,-118.2437
NBA,1963,Boston Celtics,Boston,MA,42.3601,-71.0589
NHL,1963,Toronto Maple Leafs,Toronto,CAN,43.6532,-79.3832
MLB,1964,St. Louis Cardinals,St. Louis,MO,38.627,-90.1994
NBA,1964,Boston Celtics,Boston,MA,42.3601,-71.0589
NHL,1964,Toronto Maple Leafs,Toronto,CAN,43.6532,-79.3832
MLB,1965,Los Angeles Dodgers,Los Angeles,CA,34.0522,-118.2437
NBA,1965,Boston Celtics,Boston,MA,42.3601,-71.0589
NHL,1965,Montreal Canadiens,Montreal,CAN,45.5017,-73.5673
MLB,1966,Baltimore Orioles,Baltimore,MD,39.2904,-76.6122
NBA,1966,Boston Celtics,Boston,MA,42.3601,-71.0589
NHL,1966,Montreal Canadiens,Montreal,CAN,45.5017,-73.5673
MLB,1967,St. Louis Cardinals,St. Louis,MO,38.627,-90.1994
