"","Code-3","Country","Code-2","Sport","Games","G","S","B","Year"
"35","GBR","United Kingdom","GB","Snowboard","Sochi 2014",0,0,1,2014
"36","GER","Germany","DE","Alpine Skiing","Sochi 2014",1,1,1,2014
"37","GER","Germany","DE","Biathlon","Sochi 2014",0,2,0,2014
"38","GER","Germany","DE","Cross-Country Skiing","Sochi 2014",0,0,1,2014
"39","GER","Germany","DE","Figure Skating","Sochi 2014",0,0,1,2014
"40","GER","Germany","DE","Luge","Sochi 2014",4,1,0,2014
"41","GER","Germany","DE","Nordic Combined","Sochi 2014",0,0,1,2014
"42","GER","Germany","DE","Ski Jumping","Sochi 2014",2,0,0,2014
"43","GER","Germany","DE","Snowboard","Sochi 2014",0,1,1,2014
"44","ITA","Italy","IT","Alpine Skiing","Sochi 2014",0,1,1,2014
"45","ITA","Italy","IT","Biathlon","Sochi 2014",0,0,1,2014
"46","ITA","Italy","IT","Figure Skating","Sochi 2014",0,0,1,2014
"47","ITA","Italy","IT","Luge","Sochi 2014",0,0,1,2014
"48","ITA","Italy","IT","Short Track Speed Skating","Sochi 2014",0,1,2,2014
"49","JPN","Japan","JP","Figure Skating","Sochi 2014",1,0,0,2014
"50","JPN","Japan","JP","Freestyle Skiing","Sochi 2014",0,0,1,2014
"51","JPN","Japan","JP","Ski Jumping","Sochi 2014",0,1,1,2014
"52","JPN","Japan","JP","Snowboard","Sochi 2014",0,2,1,2014
"53","KAZ","Kazakhstan","KZ","Figure Skating","Sochi 2014",0,0,1,2014
"54","KOR","Korea","KR","Figure Skating","Sochi 2014",0,1,0,2014
"55","KOR","Korea","KR","Short Track Speed Skating","Sochi 2014",2,1,2,2014
"56","KOR","Korea","KR","Speed Skating","Sochi 2014",0,1,0,2014
"57","LAT","Latvia","LV","Bobsleigh","Sochi 2014",0,1,0,2014
"58","LAT","Latvia","LV","Luge","Sochi 2014",0,0,2,2014
"59","LAT","Latvia","LV","Skeleton","Sochi 2014",0,1,0,2014
"60","NED","Netherlands","NL","Short Track Speed Skating","Sochi 2014",0,0,1,2014
"61","NED","Netherlands","NL","Speed Skating","Sochi 2014",7,6,6,2014
"62","NOR","Norway","NO","Alpine Skiing","Sochi 2014",1,0,2,2014
"63","NOR","Norway","NO","Biathlon","Sochi 2014",3,1,2,2014
"64","NOR","Norway","NO","Cross-Country Skiing","Sochi 2014",5,2,4,2014
"65","NOR","Norway","NO","Nordic Combined","Sochi 2014",1,1,0,2014
"66","NOR","Norway","NO","Ski Jumping","Sochi 2014",0,0,1,2014
"67","NOR","Norway","NO","Snowboard","Sochi 2014",0,1,0,2014
"68","POL","Poland","PL","Cross-Country Skiing","Sochi 2014",1,0,0,2014
"69","POL","Poland","PL","Ski Jumping","Sochi 2014",2,0,0,2014
"70","POL","Poland","PL","Speed Skating","Sochi 2014",1,1,1,2014
"71","RUS","Russia","RU","Biathlon","Sochi 2014",1,0,1,2014
"72","RUS","Russia","RU","Cross-Country Skiing","Sochi 2014",0,0,1,2014
"73","RUS","Russia","RU","Figure Skating","Sochi 2014",3,1,1,2014
"74","RUS","Russia","RU","Freestyle Skiing","Sochi 2014",0,0,1,2014
"75","RUS","Russia","RU","Short Track Speed Skating","Sochi 2014",3,1,1,2014
"76","RUS","Russia","RU","Snowboard","Sochi 2014",2,0,1,2014
"77","RUS","Russia","RU","Speed Skating","Sochi 2014",0,0,2,2014
"78","SLO","Slovania","SI","Alpine Skiing","Sochi 2014",2,0,0,2014
"79","SLO","Slovania","SI","Biathlon","Sochi 2014",0,0,1,2014
"80","SLO","Slovania","SI","Cross-Country Skiing","Sochi 2014",0,0,1,2014
"81","SLO","Slovania","SI","Ski Jumping","Sochi 2014",0,1,1,2014
"82","SLO","Slovania","SI","Snowboard","Sochi 2014",0,1,1,2014
"83","SUI","Switzerland","CH","Alpine Skiing","Sochi 2014",2,0,1,2014
"84","SUI","Switzerland","CH","Biathlon","Sochi 2014",0,1,0,2014
"85","SUI","Switzerland","CH","Bobsleigh","Sochi 2014",0,1,0,2014
"86","SUI","Switzerland","CH","Cross-Country Skiing","Sochi 2014",2,0,0,2014
"87","SUI","Switzerland","CH","Ice Hockey","Sochi 2014",0,0,1,2014
"88","SUI","Switzerland","CH","Snowboard","Sochi 2014",2,1,0,2014
"89","SVK","Slovakia","SK","Biathlon","Sochi 2014",1,0,0,2014
"90","SWE","Sweden","SE","Cross-Country Skiing","Sochi 2014",2,5,4,2014
"91","SWE","Sweden","SE","Curling","Sochi 2014",0,1,1,2014
"92","SWE","Sweden","SE","Freestyle Skiing","Sochi 2014",0,0,1,2014
"93","SWE","Sweden","SE","Ice Hockey","Sochi 2014",0,1,0,2014
"94","UKR","Ukraine","UA","Biathlon","Sochi 2014",1,0,1,2014
"95","USA","United States","US","Alpine Skiing","Sochi 2014",2,1,2,2014
"96","USA","United States","US","Bobsleigh","Sochi 2014",0,1,3,2014
"97","USA","United States","US","Figure Skating","Sochi 2014",1,0,1,2014
"98","USA","United States","US","Freestyle Skiing","Sochi 2014",3,2,2,2014
"99","USA","United States","US","Ice Hockey","Sochi 2014",0,1,0,2014
"100","USA","United States","US","Luge","Sochi 2014",0,0,1,2014
"101","USA","United States","US","Short Track Speed Skating","Sochi 2014",0,1,0,2014
"102","USA","United States","US","Skeleton","Sochi 2014",0,1,1,2014
"103","USA","United States","US","Snowboard","Sochi 2014",3,0,1,2014
"104","AUS","Australia","AU","Freestyle Skiing","Vancouver 2010",1,1,0,2010
"105","AUS","Australia","AU","Snowboard","Vancouver 2010",1,0,0,2010
"106","AUT","Austria","AT","Alpine Skiing","Vancouver 2010",1,1,2,2010
"107","AUT","Austria","AT","Biathlon","Vancouver 2010",0,2,0,2010
"108","AUT","Austria","AT","Freestyle Skiing","Vancouver 2010",0,1,0,2010
"109","AUT","Austria","AT","Luge","Vancouver 2010",1,1,0,2010
"110","AUT","Austria","AT","Ski Jumping","Vancouver 2010",1,0,2,2010
"111","AUT","Austria","AT","Snowboard","Vancouver 2010",0,1,1,2010
