title,imdb_id,release_year,best_picture,top_grossing,box_office,imdb_rating,rt_rating,metacritic_rating,mean_rating
Madagascar 3: Europe's Most Wanted,tt1277953,2012,0,1,216366733,0.69,0.79,0.6,0.693333333
Kung Fu Panda,tt0441773,2008,0,1,215395021,0.76,0.87,0.73,0.786666667
Fast Five,tt1596343,2011,0,1,209805005,0.73,0.77,0.66,0.72
Mission: Impossible - Ghost Protocol,tt1229238,2011,0,1,209364921,0.74,0.93,0.73,0.8
Spectre,tt2379713,2015,0,1,208777731,0.68,0.63,0.6,0.636666667
Sherlock Holmes,tt0988045,2009,0,1,208711166,0.76,0.71,0.57,0.68
Transformers: Age of Extinction,tt2109248,2014,0,1,206755538,0.57,0.18,0.32,0.356666667
The Martian,tt3659388,2015,1,1,202313768,0.8,0.91,0.8,0.836666667
Tangled,tt0398286,2010,0,1,200803309,0.78,0.89,0.71,0.793333333
X-Men: Days of Future Past,tt1877832,2014,0,1,199305306,0.8,0.9,0.75,0.816666667
Cars 2,tt1216475,2011,0,1,191450875,0.62,0.39,0.57,0.526666667
Twilight,tt1099212,2008,0,1,191449475,0.52,0.49,0.56,0.523333333
Maleficent,tt1587310,2014,0,1,190871149,0.7,0.5,0.56,0.586666667
Dunkirk,tt5013056,2017,1,0,188042171,0.8,0.92,0.94,0.886666667
The Hobbit: The Battle of the Five Armies,tt2310332,2014,0,1,187747747,0.74,0.59,0.59,0.64
Sherlock Holmes: A Game of Shadows,tt1515091,2011,0,1,186830669,0.75,0.59,0.48,0.606666667
The Revenant,tt1663202,2015,1,0,183637894,0.8,0.8,0.76,0.786666667
Cinderella,tt1661199,2015,0,1,183327144,0.69,0.84,0.67,0.733333333
Thor,tt0800369,2011,0,1,181015141,0.7,0.77,0.57,0.68
The Hobbit: The Desolation of Smaug,tt1170358,2013,0,1,180443783,0.79,0.75,0.66,0.733333333
Madagascar: Escape 2 Africa,tt0479952,2008,0,1,179982968,0.67,0.64,0.61,0.64
Get Out,tt5052448,2017,1,0,175428355,0.77,0.99,0.84,0.866666667
True Grit,tt1403865,2010,1,0,171031347,0.76,0.96,0.8,0.84
The Help,tt1454029,2011,1,0,169705587,0.81,0.75,0.62,0.726666667
Hidden Figures,tt4846340,2016,1,0,169385416,0.78,0.93,0.74,0.816666667
Quantum of Solace,tt0830515,2008,0,1,168400000,0.66,0.65,0.58,0.63
Django Unchained,tt1853728,2012,1,0,162804648,0.84,0.87,0.81,0.84
Horton Hears a Who!,tt0451079,2008,0,1,154388002,0.68,0.79,0.71,0.726666667
La La Land,tt3783958,2016,1,0,151058124,0.81,0.92,0.93,0.886666667
Les Miserables,tt1707386,2012,1,0,148775460,0.76,0.69,0.63,0.693333333
Slumdog Millionaire,tt1010048,2008,1,0,141243551,0.8,0.91,0.86,0.856666667
The King's Speech,tt1504320,2010,1,0,138300000,0.8,0.95,0.88,0.876666667
Argo,tt1024648,2012,1,0,136019448,0.77,0.96,0.86,0.863333333
Silver Linings Playbook,tt1045658,2012,1,0,132088910,0.77,0.92,0.81,0.833333333
Mad Max: Fury Road,tt1392190,2015,1,0,129483877,0.81,0.97,0.9,0.893333333
Lincoln,tt0443272,2012,1,0,129477447,0.74,0.9,0.86,0.833333333
The Curious Case of Benjamin Button,tt0421715,2008,1,0,127490802,0.78,0.72,0.7,0.733333333
Inglourious Basterds,tt0361748,2009,1,0,120523073,0.83,0.88,0.69,0.8
District 9,tt1136608,2009,1,0,115646235,0.79,0.9,0.81,0.833333333
Captain Phillips,tt1535109,2013,1,0,107100855,0.78,0.93,0.83,0.846666667
Black Swan,tt0947798,2010,1,0,106952327,0.8,0.86,0.79,0.816666667
Life of Pi,tt0454876,2012,1,0,103500000,0.79,0.87,0.79,0.816666667
Arrival,tt2543164,2016,1,0,100501349,0.79,0.94,0.81,0.846666667
American Hustle,tt1800241,2013,1,0,99165609,0.73,0.93,0.9,0.853333333
The Social Network,tt1285016,2010,1,0,96400000,0.77,0.96,0.95,0.893333333
Zero Dark Thirty,tt1790885,2012,1,0,95720716,0.74,0.91,0.95,0.866666667
The Fighter,tt0964517,2010,1,0,93571803,0.78,0.9,0.79,0.823333333
The Wolf of Wall Street,tt0993846,2013,1,0,91330760,0.82,0.78,0.75,0.783333333
The Imitation Game,tt2084970,2014,1,0,91125683,0.8,0.9,0.73,0.81
Up in the Air,tt1193138,2009,1,0,83775048,0.74,0.91,0.83,0.826666667
The Post,tt6294822,2017,1,0,80369969,0.72,0.87,0.83,0.806666667
War Horse,tt1568911,2011,1,0,79883359,0.72,0.76,0.72,0.733333333
The Descendants,tt1033575,2011,1,0,78500000,0.73,0.89,0.84,0.82
