Babel,Mumford & Sons,https://i.scdn.co/image/4d7296af8473f3d3a9853848ae59737bb5cce9e8
Mylo Xyloto,Coldplay,https://i.scdn.co/image/e7a649b3890dc849e0f1597d6d12b4342e03ce5f
Brothers,The Black Keys,https://i.scdn.co/image/fee2081afe784d2e565d9a55eb1b284d83ffac55
The Head and the Heart,The Head and the Heart,https://i.scdn.co/image/c08c25d478dc3a645c04abc000602201ce1634d8
The Lumineers,The Lumineers,https://i.scdn.co/image/178f2aa69928c5880fb16ee26e7dabeecd8d50e3
Rivers in the Wasteland,NEEDTOBREATHE,https://i.scdn.co/image/bbc8c1445e7d13cba1660b1d5841368fc52533f0
The Districts EP,The Districts,https://f4.bcbits.com/img/a3787014808_5.jpg
