city,segment_id,query_time,year_entries,query_time,month_entries,week_entries,polyline
"Washington, DC",9684019,5/7/20 23:09,765,5/9/20 1:14,52,20,aqqlFr`suMe@T_@X}@`AUb@kBnC_@^eAt@_Av@c@LiAf@cAp@c@PkCxAsChA_@ZsC~AyBj@sBZgA\e@Ve@NcAl@aAr@e@V_@Zw@dA]ZcCjB_@^mAj@e@LkBv@gAl@a@VA[Xe@`@_@hBcA@a@
"Washington, DC",8165986,5/7/20 23:12,891,5/9/20 1:14,108,44,yxglF|tduMd@g@b@y@d@[fAcB|A}@n@q@Zm@b@UTUr@[\Wb@i@\[z@a@h@e@p@a@VULQNOJCl@[n@k@nAw@`CiAbA[xAgAv@[n@S`Bw@lBcAZIXMvAw@z@Y`@S`AWjAe@t@i@^QVOlBq@jBy@rAw@~@]HMj@WXI
"Washington, DC",7939135,5/7/20 23:13,542,5/9/20 1:15,90,53,o~jlFtddvMKkE]mEA{CYiECgB@q@M{CGyFAoEBS@o@
"Washington, DC",3817843,5/7/20 23:18,562,5/9/20 1:15,98,65,aeklFnbjvMa@tB_@`CQ~AMp@OrAU~@]hBIp@i@fCUzA_@jBQdBMr@YjAQ|Aa@vBQp@s@nEQx@Ir@]pB]vAUtA?P
"New York, NY",1436278,5/7/20 23:22,15647,5/9/20 1:18,1527,947,k`~wFvylbMt@tAR`@L`@Tf@l@p@`@Tf@Lf@D\@ZDd@Cb@FjAnAp@`Ax@dDRd@NTTj@hAhBZ`@XL`Ap@lAf@`@Hh@@z@I`AU|@[f@AZI^Cj@P
"New York, NY",2498883,5/7/20 23:22,14659,5/9/20 1:19,1255,745,cr~wFfclbM_@x@BTLN`@ZHRNlBNp@v@dBHPPJRTRt@~@n@^RjA^v@f@f@JbAf@Z\\Td@`Al@~APL\d@`@Tf@Ph@DR?v@Kb@A`@RLLp@p@Th@Pp@JVNPPl@XzAHRLLl@|Aj@z@`@b@JRNLPLd@NPNrA`@RBbC[VId@YR@hAYb@ANE^Aj@Jh@f@v@f@
"New York, NY",693553,5/7/20 23:22,12911,5/9/20 1:19,1045,586,yk_xFfekbM[PUd@{@`A{@rA_@vAYfCGvAYnAEv@@j@Rf@Vb@PR^X\Ld@?b@OZ_@Na@Jk@Bq@La@Zg@`@Y^MfAE`@If@Ud@M^Gh@?
"New York, NY",5394391,5/7/20 23:23,13121,5/9/20 1:19,1104,632,wr_xFprkbMEf@CdBQv@CVAXB`@FXJR^d@f@XVHDFPBRCTGVQ`@{@DYBe@Pi@BS\u@FGb@KJ?RFT?
"New York, NY",1954079,5/7/20 23:23,15371,5/9/20 1:20,1569,999,{qywFrkobMi@[g@MQKo@]]Y_@g@Yu@c@e@IOWcACm@?YT}AVeARqAB{@Ga@GYcAgBs@Uy@_@g@m@SMKWOOWe@QSSm@Mm@GKOk@Yc@e@S}@WOIm@Q
"New York, NY",3082383,5/7/20 23:23,8720,5/9/20 1:20,1132,799,gk}wFxxkbMOG_@E[@oATYNg@b@SFMNQd@AXHX^PZ~@Rz@Fr@Eh@EPANFZ?ZCXSr@KTMLOD_@?VfAJnAHXf@p@Vd@p@r@Th@?VEX?TIl@AVAlA?XLt@@v@
"New York, NY",7107167,5/7/20 23:23,14298,5/9/20 1:20,1153,675,ss~wFhdlbM`@h@Pd@d@jB\`BL\\|@j@z@TTnA`ApAr@jBr@rAx@h@h@RZj@dBV^\\`@Xn@Nd@BhBGf@Lv@j@NRTf@n@dCb@nBVd@b@l@x@bAl@n@d@Xz@`@v@Vx@Jd@Bj@EZGv@UpB_@t@A~@Pt@^`@VtAnAfAdBt@~AZf@XZZT
"New York, NY",1673624,5/7/20 23:23,7857,5/9/20 1:21,877,616,mu|wFrdlbM]Oq@g@e@WuByA_@[]QoA{@a@Ue@Mc@?yAFiAEg@Oa@EuAa@Y?_@L[ZSf@E^@x@Lh@Rd@Ll@Hn@Bl@C`BEd@[`BKXIZAl@HhAL`@Rh@XVX^Xp@Jl@?z@CjAHlCAt@K~ABv@Ht@Px@Td@x@`A^T^Ld@HlAHnB^rBP~@Pr@HLAD@@@@CEG
"New York, NY",1132865,5/7/20 23:23,11627,5/9/20 1:21,1207,759,kozwFzpobMrBn@n@Xz@n@~@dAv@rARd@b@r@jBhClAfAvAfAz@`@^Ll@HVIdAo@TUl@{@bAeBpA{C`@kAViAFs@@}@Kc@Sc@_@i@sCuAoAk@]QoA}@yAaB]o@Oi@
"New York, NY",2633662,5/7/20 23:24,7695,5/9/20 1:21,846,592,mv|wFzclbM{BaBsE{Ce@YWIWCsBBoAG}@OgA_@OC_@B]PY\WbACf@Fp@Z~@Lj@H`C?r@Iz@Mp@Sl@G`@Ad@Bn@Lj@Vh@v@fATj@Hd@@r@CdBFbB@t@QrDDf@\rAr@dA\Xd@Xb@NlG`A`DVVE
"New York, NY",8473218,5/7/20 23:24,17213,5/9/20 1:22,1647,1033,en{wFjrmbMs@_@y@o@c@i@_@k@}@gAk@g@a@[e@SsBy@c@Wc@Yk@e@MQ[a@Kc@k@qAa@kCCm@N{@TgCCk@EYUq@[g@iBmAy@]iCiBkAm@a@_@_Ao@
"New York, NY",15038453,5/7/20 23:24,15229,5/9/20 1:22,1376,830,s}zwFj`obMVD^Nd@ZZZ^x@Fx@Lv@Tb@^d@dBhAnCnA
"New York, NY",6401050,5/7/20 23:24,1865,5/9/20 1:23,320,159,qmswFj}jbMo@BsANc@Ac@EyAU[MmFkAaEeA
"New York, NY",2394714,5/7/20 23:24,1816,5/9/20 1:23,304,147,kcswF~{jbMiA@kCLQB}ANcAPs@Dc@@o@Cc@GoFyAiAOw@MuDaA{@O}Cw@}Ai@M@WFET
"New York, NY",8538199,5/7/20 23:24,16071,5/9/20 1:23,1405,843,_k}wFlrmbMv@z@bAt@pAh@j@FlACb@I~@_@|@W`AS\El@B\Lz@j@b@`@hBjBp@bA`@`AVf@v@z@TPt@RT?`BIh@@d@B`BbAj@l@vAlCpAjBpAtAjBtBXd@Tj@h@fARXRb@v@fA`@^XPl@RvAFf@If@AbAKjAI`ADAC
"New York, NY",2528671,5/7/20 23:25,15134,5/9/20 1:24,1316,762,qxywFdvnbMOk@cA{BSSk@a@iAc@m@i@[a@U_@Mc@_A{Bk@s@]Wc@SiBw@m@GW?]DYPg@^y@Ly@GYGWQsAkAc@m@Sc@S_@gAeCc@Se@Es@F_@?y@Y_@QgCg@]Ka@OqBeAy@m@_CsCu@u@aAo@aAg@u@[qBwAg@s@Q]a@eAQu@
"New York, NY",12307026,5/7/20 23:25,16593,5/9/20 1:24,1794,1139,mk~wFrslbMlAr@hAf@jAb@
"New York, NY",8215842,5/7/20 23:25,14293,5/9/20 1:24,1205,720,k}{wFngnbMv@|Aj@|@Rd@HJHDJZd@t@V\h@`@BD|A`BjDtGXVn@`@j@LjAA`AOhBM^@VCTDv@@XRjApAZXLF@D?fAHf@Zv@n@f@vBvAbA`@n@^XJp@Jv@RRNRDXLr@j@n@n@b@f@zApC|CxDv@t@n@h@XPXJXDDD
"New York, NY",8456942,5/7/20 23:27,2100,5/9/20 1:26,248,108,iovwFziibMgAtDMZKNa@`Bi@~AG\e@rAGb@MT[`AYj@AHQb@E\e@fAYb@CR_@nAKTKb@a@pAa@zAEXg@nAQ\IVg@x@e@nAEZ[`ACR]pA[l@Qv@k@fBALYz@CNMNWr@U\CNUl@]xAWd@Sl@Kh@YRQ`@ALKb@ILQx@]p@?RIJCLKFKRCz@a@f@]rBE|ACXBVMj@Qb@o@x@OV
"New York, NY",6311299,5/7/20 23:27,10928,5/9/20 1:26,611,324,}`~wF|pkbM][a@q@mAwASQYO]K{@?_AL_AEy@Ms@Q}@O[Im@YUOw@gBc@oAWa@USKCg@BOHQRIb@Ej@Bh@Jh@f@~@Rh@Dj@Gh@IZO\WNU?WG]Q[Su@y@gA_A[Q[Ms@e@WKs@Qq@CYHo@f@i@j@u@zAe@jAWvAMlBGh@Ad@GdAOd@Bh@F\LZRVVTr@RX@TAd@a@N[J[?[N}@Pm@^e@d@U\Gz@@ZGtAi@v@EZ@XFTLTPt@~@`@|@f@dBXtAXz@TXVPdBn@ZZXb@JTH\ZpBT`An@|At@fAtAv@d@LRTTDXD`B~@t@ZXT~@tAz@~Bj@t@l@Vj@DZ?VCR?r@Gd@Jb@VPPf@j@Rn@D`@TdANZZfAPv@JVP\bBlBt@j@VJv@Rv@N`@Lb@?zEeAz@Ml@Aj@b@j@ZvCjC`@b@`@x@Tt@Xh@h@l@`@Pr@Hd@EVDt@EbA?b@Fl@d@b@^\d@zAzCh@|@l@p@\XNVf@p@l@f@p@t@\b@^z@
"New York, NY",757737,5/7/20 23:27,6426,5/9/20 1:26,165,72,guywFniobMCVOKa@c@Uc@]c@Uc@a@{@EiAFwBb@mAHs@Ai@_@_BS_@g@o@SQQIG@OKw@o@k@]Y]Ca@KWU_@G]Ug@KOaCaBcAa@_@GM?a@DyA\mAWq@EMK[OICOI}@w@_@c@Q_@K]Gk@IYSYe@_@SE_ACe@Ii@Yi@Uk@[qAUeA_@o@G}@o@WGKGYYMEg@_@a@a@kA{@OO[c@UU{@kAw@_@u@g@iBy@k@e@W[aAwBWYMWKgAS_ALu@EoAOk@Im@w@cB[a@wAmA_@OYQa@Oc@Ya@OMMq@}@YQaBaB]M_Ai@OSkAu@a@a@k@[gAw@[Qa@Oa@AQGW?SE{@Hm@AcA_@c@Ea@Ss@OOAaAZOZULSR]n@?TGX?f@Mg@OgAISOKOEu@KI?g@HUCa@[e@U[_@Ug@gBwA_@UQc@MSIWa@c@W_@]W_@Mu@PcBI_@K_@Sg@QYBe@V]GQIQEeB_AGKKW_@k@o@u@CGLi@ASQq@SW[Mm@@OLU\EV?^BLZn@RR\h@HRHv@?PMp@]\[Hc@A_@E_Ae@USKEaDq@AEqAKGH?BMJiATgA~@[t@a@f@Kj@e@~@Ih@AjAEX?THd@ATBNHXb@x@d@b@`@RV?RADENY^e@BgBLSRq@HEb@KZMbA?TAp@q@LAV?t@RpANZLJFP\z@|BR|@j@rAl@n@TLz@`@NLv@pAFj@?PLXRp@Jd@Tn@Vl@p@|@T\HTRFPTZT`@b@RHXTHDPAVLLHp@TZXbBt@\`@NVVR?Dv@j@Hf@FLxAfAVDJ?RGVLv@Nj@T`@Th@h@\tA@`@VhALb@T\r@Rz@bAXVxAbAPHp@h@rA`@r@BF?NKh@Ed@@`Bc@NATBf@`@NDT@XH^BTNVh@rAh@b@l@Xl@d@t@HZLZ~@bALH^L|AD|@Ax@Fr@NJLNFxAbAPVXhA^f@\TjAjA\Xj@`@XLXNPb@nA~Bd@dATb@NR`A|BZXTPz@Vr@Hv@Gz@ST@XE`@BfAC`@LPJh@GRDNVf@f@FLHHRZL^@dAJh@\r@LPR@\b@`@Xr@X`@TV@ZJf@?XDXNf@L|@b@RNj@TJR^Ld@b@b@bAjAbBj@d@F@TNPx@j@dAXVn@^@JMPd@~@PL
"New York, NY",14524270,5/7/20 23:28,5461,5/9/20 1:27,453,284,s`zwFv{obMOYg@o@cAeBMQiAw@_@_@_@K]Sg@Q
"New York, NY",1784533,5/7/20 23:28,10403,5/9/20 1:27,981,600,ywzwFdhobMTh@Xf@xAdA`DtAxCt@~@l@x@t@z@dAdAdBnBnCTVdBdBZXVP`Ab@^Hd@Er@]TS\_@l@aA`AoBj@uA\uATuA@_@?e@Kg@Q]c@k@SMc@OWMuAa@gA{@w@[YU]YcAoAS[Q]KYO{A?s@Hm@p@kBJg@Dm@Ec@I]g@yA[k@q@c@kBy@UOw@sAa@_A_@kA[e@W][UqAg@
"New York, NY",1806712,5/7/20 23:28,4338,5/9/20 1:28,305,195,wtywF~epbMOIM?c@Kg@WWUUKOMa@]s@{@Ug@KOiAkA}@oAGQ]YYo@]Ym@{@u@g@y@g@}@_@m@QOOMGq@SSQQKc@Ku@i@u@Wy@i@SI
"New York, NY",1782819,5/7/20 23:28,5966,5/9/20 1:28,813,501,c}twFvxubM`@NlATd@Df@AJHJBbAJp@BtAZ`BJhBTf@APBl@P`@Hb@BPDdAdAb@TNDN?NBl@Z^L^Xf@HzAFl@FDL
"New York, NY",1249276,5/7/20 23:29,7470,5/9/20 1:29,233,107,kxywF~snbMCIc@_A_@k@_As@w@Yi@a@i@c@W_@K[g@}@[}@IO{@y@cCgAYQy@Yi@AiAl@m@PaAAa@EKCs@a@iA}@e@y@]oAWk@MQWU_AWWA}@JKCwBw@{AY]Qa@MkB{@c@WEIw@{@mA_Bk@m@{@m@_Ai@qBcA}AeA[Y]i@Qi@Kk@UwBAqB@QRcB@a@Gu@M]OWQUeBmAg@c@o@_@cAy@cAq@g@k@e@]m@_@eAw@OIYW[SSSqAw@mA_Ay@]qBiAWIQCq@Mi@HM?[Ea@I{Aq@gAQu@BoAn@YFiANk@AyAi@WW_@MWOo@k@UKgAyAc@a@eAkAc@o@YWc@SeBCMBiA@s@Ii@CcAIe@GYGa@Ys@aAUi@Mo@EKOOWMUGc@Fc@RKFKVAT@JRbAVv@B^Gv@ILKFQ?_@CUGo@[k@SyAkAw@e@gBo@a@Is@HIBuA`Ac@d@q@hAOd@Oz@Ol@SbBEnAKl@Uz@C^LZ@VFR`@n@Z\RH\Fv@Gp@WXWJSBo@DQb@o@XM^DTAdA[l@Wb@IRBj@LTHHFbAx@|@|@R`@J`@Jb@L~@LXHZXf@VNnB|@n@v@FNHb@ThBR|@Rn@Td@j@r@fA|@lAt@ZVb@TlCbA\Vf@f@n@hA^fATh@HJ|@l@h@Lf@DjBCz@VVN`@j@T`@Lh@Jz@Rh@F\LZPh@HNRf@NZd@b@x@`A^\nAz@ZNVHh@HZBX?f@Ed@I`AKRGBI^Sv@Qd@Dv@Ll@Vj@b@VLh@\^`@b@n@b@v@BLLVRZLJ\h@h@l@l@VXHhADf@AHBx@@RDf@Tf@d@JF|@bAr@hA\b@Xd@JH^b@Xp@dAv@h@t@^\VZp@fADNNV\dATRp@lAPLJHXFLLrAd@bCHt@AvBOr@HRD\Nl@b@Z`@J`@@p@N|@FLRNJRf@f@TZ`Aj@h@f@^HdA^VP\FrA`@f@RXLrAnAb@j@bAnBl@p@DNb@p@l@l@~@pAbAz@`@Vt@PHFp@V
"New York, NY",8541320,5/7/20 23:29,996,5/9/20 1:29,149,75,cdrwFhujbMa@Dg@NsARkA@YFiAIg@Bc@Pc@Kc@?yAj@i@NmAFoBd@e@Pe@Re@Fe@Ci@B
"New York, NY",1806793,5/7/20 23:29,3573,5/9/20 1:29,300,186,kt}wFjxkbMZIHMNIf@UnA]^?h@Jl@BXC^?x@K`@BPDj@TlBbAXVl@ZzA~@\ZTXZN\Xj@\jBzAxAl@ZZ|A~@L@tBjBNBXT^N\Tx@hAN^Fb@Eb@Cf@MZOxA?VFR?RAj@Jp@h@|ALh@\x@X\t@^f@d@TNb@Nb@DNF~@x@v@l@^^z@dBTNd@x@d@^NHRB
"New York, NY",1046255,5/7/20 23:30,5071,5/9/20 1:30,655,382,wexwFvotbMlAv@jBfAf@XTFn@h@~At@`EpC
"New York, NY",5025317,5/7/20 23:30,5298,5/9/20 1:30,704,416,ajvwF`wubMaBc@qEuAiEiA}BqA{B}A
"New York, NY",1782874,5/7/20 23:30,6609,5/9/20 1:30,1021,660,espwFrnvbMYKOA]D]A_@C_Cs@u@HOC
"New York, NY",2510610,5/7/20 23:31,5169,5/9/20 1:31,689,404,_lwwFfbubMWUiAo@UU[U]OkAu@[OcAw@aBgAWIWSWOQC[]]KWOY]
"New York, NY",18492316,5/7/20 23:31,5251,5/9/20 1:31,653,414,odowFpowbM}Dc@c@KmAOi@AoAQ
