date,time,total_dist,total_time,total_time_min,avg_pace,avg_pace_min,mile,pace,pace_min,link
09/24/2019,06:38 PM,5.06,00:39:45,39.750,00:07:51,7.850,1,00:07:54,7.900,https://www.strava.com/activities/2737569481
09/24/2019,06:38 PM,5.06,00:39:45,39.750,00:07:51,7.850,2,00:07:41,7.683,https://www.strava.com/activities/2737569481
09/24/2019,06:38 PM,5.06,00:39:45,39.750,00:07:51,7.850,3,00:08:11,8.183,https://www.strava.com/activities/2737569481
09/24/2019,06:38 PM,5.06,00:39:45,39.750,00:07:51,7.850,4,00:07:46,7.767,https://www.strava.com/activities/2737569481
09/24/2019,06:38 PM,5.06,00:39:45,39.750,00:07:51,7.850,5,00:07:41,7.683,https://www.strava.com/activities/2737569481
09/22/2019,07:41 PM,9.22,01:19:37,79.617,00:08:38,8.633,1,00:08:47,8.783,https://www.strava.com/activities/2737526450
09/22/2019,07:41 PM,9.22,01:19:37,79.617,00:08:38,8.633,2,00:08:35,8.583,https://www.strava.com/activities/2737526450
09/22/2019,07:41 PM,9.22,01:19:37,79.617,00:08:38,8.633,3,00:08:33,8.550,https://www.strava.com/activities/2737526450
09/22/2019,07:41 PM,9.22,01:19:37,79.617,00:08:38,8.633,4,00:08:29,8.483,https://www.strava.com/activities/2737526450
09/22/2019,07:41 PM,9.22,01:19:37,79.617,00:08:38,8.633,5,00:09:08,9.133,https://www.strava.com/activities/2737526450
09/22/2019,07:41 PM,9.22,01:19:37,79.617,00:08:38,8.633,6,00:08:38,8.633,https://www.strava.com/activities/2737526450
09/22/2019,07:41 PM,9.22,01:19:37,79.617,00:08:38,8.633,7,00:08:36,8.600,https://www.strava.com/activities/2737526450
09/22/2019,07:41 PM,9.22,01:19:37,79.617,00:08:38,8.633,8,00:08:35,8.583,https://www.strava.com/activities/2737526450
09/22/2019,07:41 PM,9.22,01:19:37,79.617,00:08:38,8.633,9,00:08:20,8.333,https://www.strava.com/activities/2737526450
09/22/2019,07:41 PM,9.22,01:19:37,79.617,00:08:38,8.633,0.21,00:08:37,8.617,https://www.strava.com/activities/2737526450
09/18/2019,07:32 AM,3.16,00:24:22,24.367,00:07:41,7.683,1,00:08:00,8.000,https://www.strava.com/activities/2719765071
09/18/2019,07:32 AM,3.16,00:24:22,24.367,00:07:41,7.683,2,00:07:35,7.583,https://www.strava.com/activities/2719765071
09/18/2019,07:32 AM,3.16,00:24:22,24.367,00:07:41,7.683,3,00:07:35,7.583,https://www.strava.com/activities/2719765071
09/18/2019,07:32 AM,3.16,00:24:22,24.367,00:07:41,7.683,0.16,00:07:13,7.217,https://www.strava.com/activities/2719765071
09/16/2019,07:05 AM,8.25,01:09:45,69.750,00:08:27,8.450,1,00:08:18,8.300,https://www.strava.com/activities/2713642265
09/16/2019,07:05 AM,8.25,01:09:45,69.750,00:08:27,8.450,2,00:08:20,8.333,https://www.strava.com/activities/2713642265
09/16/2019,07:05 AM,8.25,01:09:45,69.750,00:08:27,8.450,3,00:08:34,8.567,https://www.strava.com/activities/2713642265
09/16/2019,07:05 AM,8.25,01:09:45,69.750,00:08:27,8.450,4,00:08:42,8.700,https://www.strava.com/activities/2713642265
09/16/2019,07:05 AM,8.25,01:09:45,69.750,00:08:27,8.450,5,00:08:27,8.450,https://www.strava.com/activities/2713642265
09/16/2019,07:05 AM,8.25,01:09:45,69.750,00:08:27,8.450,6,00:08:30,8.500,https://www.strava.com/activities/2713642265
09/16/2019,07:05 AM,8.25,01:09:45,69.750,00:08:27,8.450,7,00:08:16,8.267,https://www.strava.com/activities/2713642265
09/16/2019,07:05 AM,8.25,01:09:45,69.750,00:08:27,8.450,8,00:08:39,8.650,https://www.strava.com/activities/2713642265
09/16/2019,07:05 AM,8.25,01:09:45,69.750,00:08:27,8.450,0.26,00:07:46,7.767,https://www.strava.com/activities/2713642265
09/15/2019,07:49 PM,2.37,00:20:08,20.133,00:08:30,8.500,,,,https://www.strava.com/activities/2713294555
09/08/2019,10:15 AM,6.27,00:47:24,47.400,00:07:33,7.550,1,00:07:42,7.700,https://www.strava.com/activities/2691866534
