state,state_abbrev,popvotes_trump,popvotes_clinton,popvotes_total,winner,votemargin,ecvotes_trump,ecvotes_clinton,notes
Alabama,AL,"1,318,255","729,547","2,123,372",Trump,27.73%,9,0,
Alaska,AK,"163,387","116,454","318,608",Trump,14.73%,3,0,
Arizona,AZ,"1,252,401","1,161,167","2,573,165",Trump,3.55%,11,0,
Arkansas,AR,"684,872","380,494","1,130,676",Trump,26.92%,6,0,
California,CA,"4,483,814","8,753,792","14,181,604",Clinton,30.11%,0,55,
Colorado,CO,"1,202,484","1,338,870","2,780,247",Clinton,4.91%,0,9,
Connecticut,CT,"673,215","897,572","1,644,920",Clinton,13.64%,0,7,
Delaware,DE,"185,127","235,603","443,814",Clinton,11.37%,0,3,
District of Columbia,DC,"12,723","282,830","311,268",Clinton,86.78%,0,3,
Florida,FL,"4,617,886","4,504,975","9,420,039",Trump,1.20%,29,0,
Georgia,GA,"2,089,104","1,877,963","4,114,732",Trump,5.13%,16,0,
Hawaii,HI,"128,847","266,891","428,937",Clinton,32.18%,0,3,Hawaii has 4 Electoral Votes. 1 was cast for Bernie Sanders
Idaho,ID,"409,055","189,765","690,255",Trump,31.77%,4,0,
Illinois,IL,"2,146,015","3,090,729","5,536,424",Clinton,17.06%,0,20,
Indiana,IN,"1,557,286","1,033,126","2,734,958",Trump,19.17%,11,0,
Iowa,IA,"800,983","653,669","1,566,031",Trump,9.41%,6,0,
Kansas,KS,"671,018","427,005","1,184,402",Trump,20.60%,6,0,
Kentucky,KY,"1,202,971","628,854","1,924,149",Trump,29.84%,8,0,
Louisiana,LA,"1,178,638","780,154","2,029,032",Trump,19.64%,8,0,
Maine,ME,"335,593","357,735","747,927",Clinton,2.96%,1,3,
Maryland,MD,"943,169","1,677,928","2,781,446",Clinton,26.42%,0,10,
Massachusetts,MA,"1,090,893","1,995,196","3,325,046",Clinton,27.20%,0,11,
Michigan,MI,"2,279,543","2,268,839","4,799,284",Trump,0.22%,16,0,
Minnesota,MN,"1,322,951","1,367,716","2,944,813",Clinton,1.52%,0,10,
Mississippi,MS,"700,714","485,131","1,209,357",Trump,17.83%,6,0,
Missouri,MO,"1,594,511","1,071,068","2,808,605",Trump,18.64%,10,0,
Montana,MT,"279,240","177,709","497,147",Trump,20.42%,3,0,
Nebraska,NE,"495,961","284,494","844,227",Trump,25.05%,5,0,
Nevada,NV,"512,058","539,260","1,125,385",Clinton,2.42%,0,6,
New Hampshire,NH,"345,790","348,526","744,296",Clinton,0.37%,0,4,
New Jersey,NJ,"1,601,933","2,148,278","3,874,046",Clinton,14.10%,0,14,
New Mexico,NM,"319,667","385,234","798,319",Clinton,8.21%,0,5,
New York,NY,"2,819,533","4,556,118","7,721,442",Clinton,22.49%,0,29,
North Carolina,NC,"2,362,631","2,189,316","4,741,564",Trump,3.66%,15,0,
North Dakota,ND,"216,794","93,758","344,360",Trump,35.73%,3,0,
Ohio,OH,"2,841,005","2,394,164","5,496,487",Trump,8.13%,18,0,
Oklahoma,OK,"949,136","420,375","1,452,992",Trump,36.39%,7,0,
Oregon,OR,"782,403","1,002,106","2,001,336",Clinton,10.98%,0,7,
Pennsylvania,PA,"2,970,733","2,926,441","6,165,478",Trump,0.72%,20,0,
Rhode Island,RI,"180,543","252,525","464,144",Clinton,15.51%,0,4,
South Carolina,SC,"1,155,389","855,373","2,103,027",Trump,14.27%,9,0,
South Dakota,SD,"227,721","117,458","370,093",Trump,29.79%,3,0,
Tennessee,TN,"1,522,925","870,695","2,508,027",Trump,26.01%,11,0,
Texas,TX,"4,685,047","3,877,868","8,969,226",Trump,9.00%,36,0,Texas has 38 Electoral Votes. 1 was cast for John Kasich and 1 was cast for Ron Paul. 
Utah,UT,"515,231","310,676","1,131,430",Trump,18.08%,6,0,
Vermont,VT,"95,369","178,573","315,067",Clinton,26.41%,0,3,
Virginia,VA,"1,769,443","1,981,473","3,984,631",Clinton,5.32%,0,13,
Washington,WA,"1,221,747","1,742,718","3,317,019",Clinton,15.71%,0,8,Washington has 12 Electoral Votes. 3 were cast for Colin Powell and 1 was cast for Faith Spotted Eagle.
West Virginia,WV,"489,371","188,794","714,423",Trump,42.07%,5,0,
Wisconsin,WI,"1,405,284","1,382,536","2,976,150",Trump,0.76%,10,0,
Wyoming,WY,"174,419","55,973","255,849",Trump,46.30%,3,0,
